Kood;Nimetus eesti keeles;Kehtiv alates
NGE51;"Põlveliigese sideme plastiline korrektsioon proteesimaterjali kasutamisega; eesmine ristatiside, lahtine";1.1.2003
NGE52;"Põlveliigese sideme plastiline korrektsioon proteesimaterjali kasutamisega; tagumine ristatiside, lahtine";1.1.2003
NGE53;"Põlveliigese sideme plastiline korrektsioon proteesimaterjali kasutamisega; mediaalne kollateraalside";1.1.2003
NGE54;"Põlveliigese sideme plastiline korrektsioon proteesimaterjali kasutamisega; lateraalne kollateraalside";1.1.2003
NGE55;"Põlveliigese sideme plastiline korrektsioon proteesimaterjali kasutamisega; eesmine ristatiside, artroskoopiline";1.1.2003
NGE56;"Põlveliigese sideme plastiline korrektsioon proteesimaterjali kasutamisega; tagumine ristatiside, artroskoopiline";1.1.2003
NGE91;"Muu operatsioon põlveliigese kapslil või sidemel; eesmine ristatiside, lahtine";1.1.2003
NGE92;"Muu operatsioon põlveliigese kapslil või sidemel; tagumine ristatiside, lahtine";1.1.2003
NGE93;"Muu operatsioon põlveliigese kapslil või sidemel; mediaalne kollateraalside";1.1.2003
NGE94;"Muu operatsioon põlveliigese kapslil või sidemel; lateraalne kollateraalside";1.1.2003
NGE95;"Muu operatsioon põlveliigese kapslil või sidemel; eesmine ristatiside, artroskoopiline";1.1.2003
NGE96;"Muu operatsioon põlveliigese kapslil või sidemel; tagumine ristatiside, artroskoopiline";1.1.2003
NGF01;"Põlve totaalne sünovektoomia; artroskoopiline";1.1.2003
NGF02;"Põlve totaalne sünovektoomia; lahtine";1.1.2003
NGF03;"Põlve totaalne sünovektoomia; määratlemata";1.1.2003
NGF11;"Põlve osaline sünovektoomia; artroskoopiline";1.1.2003
NGF12;"Põlve osaline sünovektoomia; lahtine";1.1.2003
NGF13;"Põlve osaline sünovektoomia; määratlemata";1.1.2003
NGF21;"Põlveliigese liigespinna fragmendi fiksatsioon; artroskoopiline";1.1.2003
NGF22;"Põlveliigese liigespinna fragmendi fiksatsioon; lahtine";1.1.2003
NGF23;"Põlveliigese liigespinna fragmendi fiksatsioon; määratlemata";1.1.2003
NGF31;"Põlveliigese kõhre osaline ekstsisioon; artroskoopiline";1.1.2003
NGF32;"Põlveliigese kõhre osaline ekstsisioon; lahtine";1.1.2003
NGF33;"Põlveliigese kõhre osaline ekstsisioon; määratlemata";1.1.2003
NGF91;"Muu operatsioon põlve sünoviaalmembraanil  või liigespinnal; artroskoopiline";1.1.2003
NGF92;"Muu operatsioon põlve sünoviaalmembraanil  või liigespinnal; lahtine";1.1.2003
NGF93;"Muu operatsioon põlve sünoviaalmembraanil  või liigespinnal; määratlemata";1.1.2003
NGG09;Põlveliigese ekstsisiooni artroplastika;1.1.2003
NGG19;Põlveliigese interpositsiooni artroplastika;1.1.2003
NGG29;Muu põlveliigese artroplastika ilma proteesimiseta;1.1.2003
NGG39;Põlveliigese artrodees ilma fiksatsioonita;1.1.2003
NGG49;Põlveliigese artrodees sisemise fiksatsiooniga;1.1.2003
NGG59;Põlveliigese artrodees välise fiksatsiooniga;1.1.2003
NGG99;Põlveliigese muu ekstsisioon, rekonstruktsioon või artrodees;1.1.2003
NGH00;"Põlveliigese luksatsiooni paigaldamine; kinnine";1.1.2003
NGH01;"Põlveliigese luksatsiooni paigaldamine; artroskoopiline";1.1.2003
NGH02;"Põlveliigese luksatsiooni paigaldamine; lahtine";1.1.2003
NGH09;"Põlveliigese luksatsiooni paigaldamine; määratlemata";1.1.2003
NGH10;"Kederluu luksatsiooni paigaldamine; kinnine";1.1.2003
NGH11;"Kederluu luksatsiooni paigaldamine; artroskoopiline";1.1.2003
NGH12;"Kederluu luksatsiooni paigaldamine; lahtine";1.1.2003
NGH19;"Kederluu luksatsiooni paigaldamine; määratlemata";1.1.2003
NGH20;"Põlveliigese proteesi luksatsiooni paigaldamine; kinnine";1.1.2003
NGH21;"Põlveliigese proteesi luksatsiooni paigaldamine; artroskoopiline";1.1.2003
NGH22;"Põlveliigese proteesi luksatsiooni paigaldamine; lahtine";1.1.2003
NGH29;"Põlveliigese proteesi luksatsiooni paigaldamine; määratlemata";1.1.2003
NGH30;"Põlveliigese liidete vabastamine; kinnine";1.1.2003
NGH31;"Põlveliigese liidete vabastamine; artroskoopiline";1.1.2003
NGH32;"Põlveliigese liidete vabastamine; lahtine";1.1.2003
NGH39;"Põlveliigese liidete vabastamine; määratlemata";1.1.2003
NGH40;"Võõrkeha või vaba keha eemaldamine põlveliigesest; kinnine";1.1.2003
NGH41;"Võõrkeha või vaba keha eemaldamine põlveliigesest; artroskoopiline";1.1.2003
NGH42;"Võõrkeha või vaba keha eemaldamine põlveliigesest; lahtine";1.1.2003
NGH49;"Võõrkeha või vaba keha eemaldamine põlveliigesest; määratlemata";1.1.2003
NGH50;"Põlveliigese-sisese eksostoosi või osteofüüdi ekstsisioon; kinnine";1.1.2003
NGH51;"Põlveliigese-sisese eksostoosi või osteofüüdi ekstsisioon; artroskoopiline";1.1.2003
NGH52;"Põlveliigese-sisese eksostoosi või osteofüüdi ekstsisioon; lahtine";1.1.2003
NGH59;"Põlveliigese-sisese eksostoosi või osteofüüdi ekstsisioon; määratlemata";1.1.2003
NGH70;"Operatsioon põlveliigese habituaalse luksatsiooni korral; kinnine";1.1.2003
NGH71;"Operatsioon põlveliigese habituaalse luksatsiooni korral; artroskoopiline";1.1.2003
NGH72;"Operatsioon põlveliigese habituaalse luksatsiooni korral; lahtine";1.1.2003
NGH79;"Operatsioon põlveliigese habituaalse luksatsiooni korral; määratlemata";1.1.2003
NGH90;"Muu operatsioon põlveliigesel; kinnine";1.1.2003
NGH91;"Muu operatsioon põlveliigesel; artroskoopiline";1.1.2003
NGH92;"Muu operatsioon põlveliigesel; lahtine";1.1.2003
NGH99;"Muu operatsioon põlveliigesel; määratlemata";1.1.2003
NGJ00;"Põlve- või sääreluu murru kinnine paigaldamine; kederluu";1.1.2003
NGJ01;"Põlve- või sääreluu murru kinnine paigaldamine; sääreluu proksimaalne osa";1.1.2003
NGJ02;"Põlve- või sääreluu murru kinnine paigaldamine; sääreluu keskosa";1.1.2003
NGJ03;"Põlve- või sääreluu murru kinnine paigaldamine; pindluu";1.1.2003
NGJ04;"Põlve- või sääreluu murru kinnine paigaldamine; muu või määratlemata";1.1.2003
NGJ10;"Põlve- või sääreluu murru lahtine paigaldamine; kederluu";1.1.2003
NGJ11;"Põlve- või sääreluu murru lahtine paigaldamine; sääreluu proksimaalne osa";1.1.2003
NGJ12;"Põlve- või sääreluu murru lahtine paigaldamine; sääreluu keskosa";1.1.2003
NGJ13;"Põlve- või sääreluu murru lahtine paigaldamine; pindluu";1.1.2003
NGJ14;"Põlve- või sääreluu murru lahtine paigaldamine; muu või määratlemata";1.1.2003
NGJ20;"Põlve- või sääreluu murru väline fiksatsioon; kederluu";1.1.2003
NGJ21;"Põlve- või sääreluu murru väline fiksatsioon; sääreluu proksimaalne osa";1.1.2003
NGJ22;"Põlve- või sääreluu murru väline fiksatsioon; sääreluu keskosa";1.1.2003
NGJ23;"Põlve- või sääreluu murru väline fiksatsioon; pindluu";1.1.2003
NGJ24;"Põlve- või sääreluu murru väline fiksatsioon; muu või määratlemata";1.1.2003
NGJ30;"Põlve- või sääreluu murru sisemine fiksatsioon bioimplantaadiga; kederluu";1.1.2003
NGJ31;"Põlve- või sääreluu murru sisemine fiksatsioon bioimplantaadiga; sääreluu proksimaalne osa";1.1.2003
NGJ32;"Põlve- või sääreluu murru sisemine fiksatsioon bioimplantaadiga; sääreluu keskosa";1.1.2003
NGJ33;"Põlve- või sääreluu murru sisemine fiksatsioon bioimplantaadiga; pindluu";1.1.2003
NGJ34;"Põlve- või sääreluu murru sisemine fiksatsioon bioimplantaadiga; muu või määratlemata";1.1.2003
NGJ40;"Põlve- või sääreluu murru sisemine fiksatsioon traadi, varda, lingu või nõelaga; kederluu";1.1.2003
NGJ41;"Põlve- või sääreluu murru sisemine fiksatsioon traadi, varda, lingu või nõelaga; sääreluu proksimaalne osa";1.1.2003
NGJ42;"Põlve- või sääreluu murru sisemine fiksatsioon traadi, varda, lingu või nõelaga; sääreluu keskosa";1.1.2003
NGJ43;"Põlve- või sääreluu murru sisemine fiksatsioon traadi, varda, lingu või nõelaga; pindluu";1.1.2003
NGJ44;"Põlve- või sääreluu murru sisemine fiksatsioon traadi, varda, lingu või nõelaga; muu või määratlemata";1.1.2003
NGJ50;"Põlve- või sääreluu murru sisemine fiksatsioon intramedullaarse naelaga; kederluu";1.1.2003
NGJ51;"Põlve- või sääreluu murru sisemine fiksatsioon intramedullaarse naelaga; sääreluu proksimaalne osa";1.1.2003
NGJ52;"Põlve- või sääreluu murru sisemine fiksatsioon intramedullaarse naelaga; sääreluu keskosa";1.1.2003
NGJ53;"Põlve- või sääreluu murru sisemine fiksatsioon intramedullaarse naelaga; pindluu";1.1.2003
NGJ54;"Põlve- või sääreluu murru sisemine fiksatsioon intramedullaarse naelaga; muu või määratlemata";1.1.2003
NGJ60;"Põlve- või sääreluu murru sisemine fiksatsioon plaadi ja kruvidega; kederluu";1.1.2003
NGJ61;"Põlve- või sääreluu murru sisemine fiksatsioon plaadi ja kruvidega; sääreluu proksimaalne osa";1.1.2003
NGJ62;"Põlve- või sääreluu murru sisemine fiksatsioon plaadi ja kruvidega; sääreluu keskosa";1.1.2003
NGJ63;"Põlve- või sääreluu murru sisemine fiksatsioon plaadi ja kruvidega; pindluu";1.1.2003
NGJ64;"Põlve- või sääreluu murru sisemine fiksatsioon plaadi ja kruvidega; muu või määratlemata";1.1.2003
NGJ70;"Põlve- või sääreluu murru sisemine fiksatsioon ainult kruvidega; kederluu";1.1.2003
NGJ71;"Põlve- või sääreluu murru sisemine fiksatsioon ainult kruvidega; sääreluu proksimaalne osa";1.1.2003
NGJ72;"Põlve- või sääreluu murru sisemine fiksatsioon ainult kruvidega; sääreluu keskosa";1.1.2003
NGJ73;"Põlve- või sääreluu murru sisemine fiksatsioon ainult kruvidega; pindluu";1.1.2003
NGJ74;"Põlve- või sääreluu murru sisemine fiksatsioon ainult kruvidega; muu või määratlemata";1.1.2003
NGJ80;"Põlve- või sääreluu murru sisemine fiksatsioon muul või kombineeritud meetodil; kederluu";1.1.2003
NGJ81;"Põlve- või sääreluu murru sisemine fiksatsioon muul või kombineeritud meetodil; sääreluu proksimaalne osa";1.1.2003
NGJ82;"Põlve- või sääreluu murru sisemine fiksatsioon muul või kombineeritud meetodil; sääreluu keskosa";1.1.2003
NGJ83;"Põlve- või sääreluu murru sisemine fiksatsioon muul või kombineeritud meetodil; pindluu";1.1.2003
NGJ84;"Põlve- või sääreluu murru sisemine fiksatsioon muul või kombineeritud meetodil; muu või määratlemata";1.1.2003
NGJ90;"Põlve- või sääreluu murru muu kirurgia; kederluu";1.1.2003
NGJ91;"Põlve- või sääreluu murru muu kirurgia; sääreluu proksimaalne osa";1.1.2003
NGJ92;"Põlve- või sääreluu murru muu kirurgia; sääreluu keskosa";1.1.2003
NGJ93;"Põlve- või sääreluu murru muu kirurgia; pindluu";1.1.2003
NGJ94;"Põlve- või sääreluu murru muu kirurgia; muu või määratlemata";1.1.2003
NGK09;Põlve- või sääreluu fragmendi ekstsisioon;1.1.2003
NGK19;Põlve- või sääreluu murru osaline või täielik ekstsisioon;1.1.2003
NGK29;Põlve- või sääreluu fenestratsioon või mulgustamine;1.1.2003
NGK39;Põlve- või sääreluu tsüsti ekskohleatsioon;1.1.2003
NGK47;Sääreluu kasvuplaadi täielik eraldamine;1.1.2010
NGK48;Sääreluu kasvuplaadi osaline eraldamine;1.1.2010
NGK49;Põlve- või sääreluu epifüsiodees;1.1.2003
NGK59;Põlve- või sääreluu angulatsioon, rotatsioon või nihutus-osteotoomia;1.1.2003
NGK69;Põlve- või sääreluu lühendav või pikendav osteotoomia;1.1.2003
NGK79;Luu transport-operatsioon põlve või sääreluul;1.1.2003
NGK89;Põlve- või sääreluu epifüsaarplaadi distraktsioon-pikendamine;1.1.2003
NGK99;Muu operatsioon põlve- või sääreluu;1.1.2003
NGL09;Põlve piirkonna lihase või säärelihase vabastamine;1.1.2003
NGL19;Põlve piirkonna lihase või säärelihase suturatsioon või plastiline korrektsioon;1.1.2003
NGL29;Põlve piirkonna lihase või säärelihase transpositsioon;1.1.2003
NGL39;Põlve piirkonna lihase või säärelihase müotoomia või tenotoomia;1.1.2003
NGL49;Põlve piirkonna kõõluse või säärekõõluse suturatsioon või tagasikinnitamine;1.1.2003
NGL59;Põlve piirkonna või sääre tenolüüs või tenosünovektoomia;1.1.2003
NGL69;Põlve piirkonna kõõluse või säärekõõluse tenodees, lühendamine või pikendamine;1.1.2003
NGL79;Põlve või sääre lihase või kõõluse ekstsisioon;1.1.2003
NGL89;Põlve piirkonna kõõluse või säärekõõluse transpositsioon;1.1.2003
NGL99;Muu operatsioon põlve piirkonna või säärelihasel või -kõõlusel;1.1.2003
NGM09;Põlve või sääre fastsiotoomia;1.1.2003
NGM19;Põlve või sääre fastsia osaline või täielik ekstsisioon;1.1.2003
NGM29;Põlve või sääre fastsia suturatsioon;1.1.2003
NGM39;Põlve või sääre sünoviaalganglioni ekstsisioon;1.1.2003
NGM79;Põlve või sääre limapauna ekstsisioon;1.1.2003
NGM99;Muu operatsioon põlve või sääre fastsial, ganglionil või limapaunal;1.1.2003
NGN09;Luu autotransplantaat põlve või sääreluule;1.1.2003
NGN19;Luu allotransplantaat põlve või sääreluule;1.1.2003
NGN29;Luu ksenotransplantaat põlve või sääreluule;1.1.2003
NGN39;Kõõluse transplantatsioon põlvele või säärele;1.1.2003
NGN49;Kõhre, periosti või fastsia transplantatsioon põlvele või säärele;1.1.2003
NGN99;Muu transplantatsioon põlve või sääre kirurgias;1.1.2003
NGP29;Jäseme replantatsioon põlve ja sääre tasandil;1.1.2003
NGQ09;Põlve eksartikulatsioon;1.1.2003
NGQ19;Sääre amputatsioon;1.1.2003
NGQ29;Põlve või sääre amputatsiooni- või eksartikulatsiooniköndi revisioon;1.1.2003
NGQ99;Muu amputatsioon või sellega seotud operatsioon põlvel või säärel;1.1.2003
NGR09;Põlve ja sääre pehme koe tuumori mittetäielik ekstsisioon;1.1.2003
NGR19;Põlve ja sääre pehme koe tuumori täielik ekstsisioon;1.1.2003
NGR29;Põlve ja sääre pehme koe tuumori laiendatud ekstsisioon;1.1.2003
NGR39;Põlve ja sääre pehme koe tuumori plokk-ekstsisioon;1.1.2003
NGR49;Põlve või sääre luu või kõhre tuumori mittetäielik ekstsisioon;1.1.2003
NGR59;Põlve või sääre luu või kõhre tuumori täielik ekstsisioon;1.1.2003
NGR69;Põlve või sääre luu või kõhre tuumori laiendatud ekstsisioon;1.1.2003
NGR79;Põlve või sääre luu või kõhre tuumori plokk-ekstsisioon;1.1.2003
NGR99;Muu operatsioon põlve või sääre tuumori korral;1.1.2003
NGS09;Intsisioon ja nekrektoomia sääre või põlve kõõluse infektsiooni korral;1.1.2003
NGS19;Intsisioon ja nekrektoomia põlveliigese infektsiooni korral;1.1.2003
NGS29;Intsisioon ja nekrektoomia põlve või sääre luu infektsiooni korral;1.1.2003
NGS39;Intsisioon ja nekrektoomia sääre või põlve kõõluse infektsiooni korral koos raviaine sisseviimisega infektsioonikoldesse;1.1.2003
NGS49;Intsisioon ja nekrektoomia põlveliigese infektsiooni korral koos raviaine sisseviimisega infektsioonikoldesse;1.1.2003
NGS59;Intsisioon ja nekrektoomia põlve või sääre luu infektsiooni korral koos raviaine sisseviimisega infektsioonikoldesse;1.1.2003
NGS99;Muu operatsioon põlve või sääre kõõluse, liigese või luu infektsiooni korral;1.1.2003
NGT09;Võõrkeha eemaldamine põlve või sääreluu koest;1.1.2010
NGT19;Põlveliigese redressioon;1.1.2003
NGT39;Põlve või sääre deformatsiooni korrektsioon lihase, kõõluse või sideme abil;1.1.2003
NGT49;Põlve või sääre deformatsiooni korrektsioon välise või sisemise fiksatsiooniga;1.1.2003
NGT99;Muu operatsioon põlvel või säärel;1.1.2003
NGU00;"Osalise proteesi eemaldamine põlveliigesest; kõik osad";1.1.2003
NGU01;"Osalise proteesi eemaldamine põlveliigesest; üks osa  - proksimaalne";1.1.2003
NGU02;"Osalise proteesi eemaldamine põlveliigesest; üks osa - distaalne";1.1.2003
NGU03;"Osalise proteesi eemaldamine põlveliigesest; üks osa - muu";1.1.2003
NGU04;"Osalise proteesi eemaldamine põlveliigesest; rohkem kui üks, aga mitte kõik osad";1.1.2003
NGU09;"Osalise proteesi eemaldamine põlveliigesest; muu või määratlemata";1.1.2003
NGU10;"Totaalse proteesi eemaldamine põlveliigesest; kõik osad";1.1.2003
NGU11;"Totaalse proteesi eemaldamine põlveliigesest; üks osa  - proksimaalne";1.1.2003
NGU12;"Totaalse proteesi eemaldamine põlveliigesest; üks osa - distaalne";1.1.2003
NGU13;"Totaalse proteesi eemaldamine põlveliigesest; üks osa - muu";1.1.2003
NGU14;"Totaalse proteesi eemaldamine põlveliigesest; rohkem kui üks, aga mitte kõik osad";1.1.2003
NGU19;"Totaalse proteesi eemaldamine põlveliigesest; muu või määratlemata";1.1.2003
NGU39;Välise fiksatsioonivahendi eemaldamine põlvelt või säärelt;1.1.2003
NGU49;Sisemise fiksatsioonivahendi eemaldamine põlvelt või säärelt;1.1.2003
NGU69;Proteessideme eemaldamine põlvelt või säärelt;1.1.2003
NGU89;Terapeutilise implantaadi eemaldamine põlve või sääre infektsiooni ravi korral;1.1.2003
NGU99;Muu implantaadi eemaldamine põlvelt või säärelt;1.1.2003
NGW49;Haava dehistsentsi korrektsioon põlve või sääre kirurgias;1.1.2003
NGW59;Kordusoperatsioon pindmise infektsiooni korral põlve või sääre kirurgias;1.1.2003
NGW69;Kordusoperatsioon süvainfektsiooni korral põlve või sääre kirurgias;1.1.2003
NGW79;Kordusoperatsioon pindmise verejooksu korral põlve või sääre kirurgias;1.1.2003
NGW89;Kordusoperatsioon sisemise verejooksu korral põlve või sääre kirurgias;1.1.2003
NGW99;Muu kordusoperatsioon põlve või sääre kirurgias;1.1.2003
NHA00;"Hüppeliigese või labajala pehme koe eksploratsioon; perkutaanne";1.1.2003
NHA01;"Hüppeliigese või labajala pehme koe eksploratsioon; artroskoopiline";1.1.2003
NHA02;"Hüppeliigese või labajala pehme koe eksploratsioon; lahtine";1.1.2003
NHA09;"Hüppeliigese või labajala pehme koe eksploratsioon; määratlemata";1.1.2003
NHA10;"Hüppeliigese või labajala eksploratsioon; perkutaanne";1.1.2003
NHA11;"Hüppeliigese või labajala eksploratsioon; artroskoopiline";1.1.2003
NHA12;"Hüppeliigese või labajala eksploratsioon; lahtine";1.1.2003
NHA19;"Hüppeliigese või labajala eksploratsioon; määratlemata";1.1.2003
NHA20;"Hüppeliigese või labajala pehme koe või liigese biopsia; perkutaanne";1.1.2003
NHA21;"Hüppeliigese või labajala pehme koe või liigese biopsia; artroskoopiline";1.1.2003
NHA22;"Hüppeliigese või labajala pehme koe või liigese biopsia; lahtine";1.1.2003
NHA29;"Hüppeliigese või labajala pehme koe või liigese biopsia; määratlemata";1.1.2003
NHA30;"Hüppeliigese- või labajalaluude biopsia; perkutaanne";1.1.2003
NHA31;"Hüppeliigese- või labajalaluude biopsia; artroskoopiline";1.1.2003
NHA32;"Hüppeliigese- või labajalaluude biopsia; lahtine";1.1.2003
NHA39;"Hüppeliigese- või labajalaluude biopsia; määratlemata";1.1.2003
NHB00;"Hüppeliigese esmane proteesimine osalise proteesiga ilma tsemendita; kõik osad";1.1.2003
NHB01;"Hüppeliigese esmane proteesimine osalise proteesiga ilma tsemendita; üks osa  - proksimaalne";1.1.2003
NHB02;"Hüppeliigese esmane proteesimine osalise proteesiga ilma tsemendita; üks osa - distaalne";1.1.2003
NHB03;"Hüppeliigese esmane proteesimine osalise proteesiga ilma tsemendita; üks osa - muu";1.1.2003
NHB09;"Hüppeliigese esmane proteesimine osalise proteesiga ilma tsemendita; muu või määratlemata";1.1.2003
NHB10;"Hüppeliigese esmane proteesimine osalise proteesiga kasutades tsementi; kõik osad";1.1.2003
NHB11;"Hüppeliigese esmane proteesimine osalise proteesiga kasutades tsementi; üks osa  - proksimaalne";1.1.2003
NHB12;"Hüppeliigese esmane proteesimine osalise proteesiga kasutades tsementi; üks osa - distaalne";1.1.2003
NHB13;"Hüppeliigese esmane proteesimine osalise proteesiga kasutades tsementi; üks osa - muu";1.1.2003
NHB19;"Hüppeliigese esmane proteesimine osalise proteesiga kasutades tsementi; muu või määratlemata";1.1.2003
NHB20;Hüppeliigese esmane proteesimine totaalse proteesiga ilma tsemendita;1.1.2003
NHB30;Hüppeliigese esmane proteesimine totaalse proteesiga hübriid-meetodil;1.1.2003
NHB40;Hüppeliigese esmane proteesimine totaalse proteesiga kasutades tsementi;1.1.2003
NHB59;Hüppeliigese esmane interpositsiooni proteesimine;1.1.2003
NHB60;"Esimese metatarsofalangeaalliigese esmane proteesimine; kõik osad";1.1.2003
NHB61;"Esimese metatarsofalangeaalliigese esmane proteesimine; üks osa  - proksimaalne";1.1.2003
NHB62;"Esimese metatarsofalangeaalliigese esmane proteesimine; üks osa - distaalne";1.1.2003
NHB63;"Esimese metatarsofalangeaalliigese esmane proteesimine; üks osa - muu";1.1.2003
NHB69;"Esimese metatarsofalangeaalliigese esmane proteesimine; muu või määratlemata";1.1.2003
NHB70;"Muu metatarsofalangeaalliigese esmane proteesimine; kõik osad";1.1.2003
NHB71;"Muu metatarsofalangeaalliigese esmane proteesimine; üks osa  - proksimaalne";1.1.2003
NHB72;"Muu metatarsofalangeaalliigese esmane proteesimine; üks osa - distaalne";1.1.2003
NHB73;"Muu metatarsofalangeaalliigese esmane proteesimine; üks osa - muu";1.1.2003
NHB79;"Muu metatarsofalangeaalliigese esmane proteesimine; muu või määratlemata";1.1.2003
NHB80;"Muu labajalaliigese esmane proteesimine; kõik osad";1.1.2003
NHB81;"Muu labajalaliigese esmane proteesimine; üks osa  - proksimaalne";1.1.2003
NHB82;"Muu labajalaliigese esmane proteesimine; üks osa - distaalne";1.1.2003
NHB83;"Muu labajalaliigese esmane proteesimine; üks osa - muu";1.1.2003
NHB89;"Muu labajalaliigese esmane proteesimine; muu või määratlemata";1.1.2003
NHB99;Hüppeliigese või labajalaliigese muu esmane proteesimine;1.1.2003
NHC00;"Hüppeliigese teisene proteesimine osalise proteesiga ilma tsemendita; kõik osad";1.1.2003
NHC01;"Hüppeliigese teisene proteesimine osalise proteesiga ilma tsemendita; üks osa - proksimaalne";1.1.2003
NHC02;"Hüppeliigese teisene proteesimine osalise proteesiga ilma tsemendita; üks osa - distaalne";1.1.2003
NHC03;"Hüppeliigese teisene proteesimine osalise proteesiga ilma tsemendita; üks osa – muu";1.1.2003
NHC09;"Hüppeliigese teisene proteesimine osalise proteesiga ilma tsemendita; muu või määratlemata";1.1.2003
NHC10;"Hüppeliigese teisene proteesimine osalise proteesiga kasutades tsementi; kõik osad";1.1.2003
NHC11;"Hüppeliigese teisene proteesimine osalise proteesiga kasutades tsementi; üks osa - proksimaalne";1.1.2003
NHC12;"Hüppeliigese teisene proteesimine osalise proteesiga kasutades tsementi; üks osa - distaalne";1.1.2003
NHC13;"Hüppeliigese teisene proteesimine osalise proteesiga kasutades tsementi; üks osa – muu";1.1.2003
NHC19;"Hüppeliigese teisene proteesimine osalise proteesiga kasutades tsementi; muu või määratlemata";1.1.2003
NHC20;"Hüppeliigese teisene proteesimine totaalse proteesiga ilma tsemendita; kõik osad";1.1.2003
NHC21;"Hüppeliigese teisene proteesimine totaalse proteesiga ilma tsemendita; üks osa - proksimaalne";1.1.2003
NHC22;"Hüppeliigese teisene proteesimine totaalse proteesiga ilma tsemendita; üks osa - distaalne";1.1.2003
NHC23;"Hüppeliigese teisene proteesimine totaalse proteesiga ilma tsemendita; üks osa – muu";1.1.2003
NHC29;"Hüppeliigese teisene proteesimine totaalse proteesiga ilma tsemendita; muu või määratlemata";1.1.2003
NHC30;"Hüppeliigese teisene proteesimine totaalse proteesiga hübriid-meetodil; kõik osad";1.1.2003
NHC31;"Hüppeliigese teisene proteesimine totaalse proteesiga hübriid-meetodil; üks osa - proksimaalne";1.1.2003
NHC32;"Hüppeliigese teisene proteesimine totaalse proteesiga hübriid-meetodil; üks osa - distaalne";1.1.2003
NHC33;"Hüppeliigese teisene proteesimine totaalse proteesiga hübriid-meetodil; üks osa – muu";1.1.2003
NHC39;"Hüppeliigese teisene proteesimine totaalse proteesiga hübriid-meetodil; muu või määratlemata";1.1.2003
NHC40;"Hüppeliigese teisene proteesimine totaalse proteesiga kasutades tsementi; kõik osad";1.1.2003
NHC41;"Hüppeliigese teisene proteesimine totaalse proteesiga kasutades tsementi; üks osa - proksimaalne";1.1.2003
NHC42;"Hüppeliigese teisene proteesimine totaalse proteesiga kasutades tsementi; üks osa - distaalne";1.1.2003
NHC43;"Hüppeliigese teisene proteesimine totaalse proteesiga kasutades tsementi; üks osa – muu";1.1.2003
NHC49;"Hüppeliigese teisene proteesimine totaalse proteesiga kasutades tsementi; muu või määratlemata";1.1.2003
NHC59;Hüppeliigese teisene interpositsiooni proteesimine;1.1.2003
NHC60;"Esimese metatarsofalangeaalliigese teisene proteesimine; kõik osad";1.1.2003
NHC61;"Esimese metatarsofalangeaalliigese teisene proteesimine; üks osa - proksimaalne";1.1.2003
NHC62;"Esimese metatarsofalangeaalliigese teisene proteesimine; üks osa - distaalne";1.1.2003
NHC63;"Esimese metatarsofalangeaalliigese teisene proteesimine; üks osa – muu";1.1.2003
NHC69;"Esimese metatarsofalangeaalliigese teisene proteesimine; muu või määratlemata";1.1.2003
NHC70;"Muu metatarsofalangeaalliigese teisene proteesimine; kõik osad";1.1.2003
NHC71;"Muu metatarsofalangeaalliigese teisene proteesimine; üks osa - proksimaalne";1.1.2003
NHC72;"Muu metatarsofalangeaalliigese teisene proteesimine; üks osa - distaalne";1.1.2003
NHC73;"Muu metatarsofalangeaalliigese teisene proteesimine; üks osa – muu";1.1.2003
NHC79;"Muu metatarsofalangeaalliigese teisene proteesimine; muu või määratlemata";1.1.2003
NHC80;"Muu labajalaliigese teisene proteesimine; kõik osad";1.1.2003
NHC81;"Muu labajalaliigese teisene proteesimine; üks osa - proksimaalne";1.1.2003
NHC82;"Muu labajalaliigese teisene proteesimine; üks osa - distaalne";1.1.2003
NHC83;"Muu labajalaliigese teisene proteesimine; üks osa – muu";1.1.2003
NHC89;"Muu labajalaliigese teisene proteesimine; muu või määratlemata";1.1.2003
NHC99;Hüppeliigese või labajalaliigese muu teisene proteesimine;1.1.2003
NHE09;Hüppe- või labajalaliigese kapsli intsisioon või suturatsioon;1.1.2003
NHE19;Hüppe- või labajalaliigese sideme transtsisioon või ekstsisioon;1.1.2003
NHE29;Hüppe- või labajalaliigese sideme suturatsioon või tagasikinnitamine;1.1.2003
NHE39;Hüppe- või labajalaliigese sideme transpositsioon;1.1.2003
NHE49;Hüppe- või labajalaliigese sideme plastiline korrektsioon ilma proteesimaterjali kasutamiseta;1.1.2003
NHE59;Hüppe- või labajalaliigese sideme plastiline korrektsioon proteesimaterjali kasutamisega;1.1.2003
NHE99;Muu operatsioon hüppe- või labajalaliigese kapslil või sidemel;1.1.2003
NHF01;"Hüppe- või labajalaliigese totaalne sünovektoomia; artroskoopiline";1.1.2003
NHF02;"Hüppe- või labajalaliigese totaalne sünovektoomia; lahtine";1.1.2003
NHF09;"Hüppe- või labajalaliigese totaalne sünovektoomia; määratlemata";1.1.2003
NHF11;"Hüppe- või labajalaliigese osaline sünovektoomia; artroskoopiline";1.1.2003
NHF12;"Hüppe- või labajalaliigese osaline sünovektoomia; lahtine";1.1.2003
NHF19;"Hüppe- või labajalaliigese osaline sünovektoomia; määratlemata";1.1.2003
NHF21;"Hüppe- või labajalaliigese liigespinna fragmendi fiksatsioon; artroskoopiline";1.1.2003
