Code	Text in Estonian	Text in English	Valid from	
ACC91	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. medianus"	"Other operation for impaired function of peripheral nerve; median"	1.1.2003	
ACC92	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. radialis"	"Other operation for impaired function of peripheral nerve; radial"	1.1.2003	
ACC93	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. ulnaris"	"Other operation for impaired function of peripheral nerve; ulnar"	1.1.2003	
ACC94	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. peroneus"	"Other operation for impaired function of peripheral nerve; peroneal"	1.1.2003	
ACC95	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. tibialis"	"Other operation for impaired function of peripheral nerve; tibial"	1.1.2003	
ACC96	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. ischiadicus"	"Other operation for impaired function of peripheral nerve; sciatic"	1.1.2003	
ACC97	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; plexus lumbalis"	"Other operation for impaired function of peripheral nerve; lumbar plexus"	1.1.2003	
ACC98	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; mlexus brachialis"	"Other operation for impaired function of peripheral nerve; brachial plexus"	1.1.2003	
ACC99	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; muu või määratlemata"	"Other operation for impaired function of peripheral nerve; other or unspecified"	1.1.2003	
ACW99	Muu operatsioon perifeersel närvil	Other operation on peripheral nerve	1.1.2003	
ADA10	Tservikaalsümpatektoomia	Cervical sympathectomy	1.1.2003	
ADA20	Torakaalsümpatektoomia	Thoracic sympathectomy	1.1.2003	
ADA30	Lumbaalsümpatektoomia	Lumbal sympathectomy	1.1.2003	
ADA99	Muu operatsioon sümpaatilisel närvil	Other operation on sympathetic nerve	1.1.2003	
ADB00	N. vagus’t stimuleeriva vahendi asetamine	Implantation of vagus nerve stimulating device	1.1.2003	
ADW99	Muu operatsioon autonoomsel närvisüsteemil	Other operation on autonomic nervous system	1.1.2003	
AEA00	Stimulatsioonivahendi impulssgeneraatori asendamine närvisüsteemis	Replacement of impulse generator of stimulation device in the nervous system	1.1.2003	
AEA20	Stimulatsioonivahendi impulssgeneraatori eemaldamine närvisüsteemist	Removal of impulse generator of stimulation device in the nervous system	1.1.2003	
AEA23	Intrakraniaalse elektroodi eemaldamine	Removal of intracranial electrode	1.1.2003	
AEA24	Seljaaju stimulatsiooni elektroodi eemaldamine	Removal of spinal stimulation electrode	1.1.2003	
AEA25	Nervus vagus’e stimulatsiooni elektroodi eemaldamine	Removal of vagus nerve stimulation electrode	1.1.2003	
AEA27	Spinaalse stimulatsiooni elektroodi asendamine	Replacement of spinal stimulation electrode	1.1.2010	
AEA30	Asetatud süstevahendi pumba asendamine närvisüsteemis	Replacement of implanted pump of injection device in the nervous system	1.1.2003	
AEA40	Asetatud süstevahendi pumba eemaldamine närvisüsteemist	Removal of implanted pump of injection device in the nervous system	1.1.2003	
AEA43	Intrakraniaalse süstevahendi kateetri eemaldamine	Removal of catheter of intracranial injection device	1.1.2003	
AEA44	Seljaaju süstevahendi kateetri eemaldamine	Removal of catheter of spinal injection device	1.1.2003	
AWA00	Haava dehistsentsi korrektsioon neurokirurgias	Repair of wound dehiscence in surgery of the nervous system	1.1.2003	
AWB00	Kordusoperatsioon pindmise infektsiooni korral neurokirurgias	Reoperation for superficial infection in surgery of the nervous system	1.1.2003	
AWC00	Kordusoperatsioon süvainfektsiooni korral neurokirurgias	Reoperation for deep infection in surgery of the nervous system	1.1.2003	
AWD00	Kordusoperatsioon pindmise verejooksu korral neurokirurgias	Reoperation for superficial haemorrhage in surgery of the nervous system	1.1.2003	
AWE00	Kordusoperatsioon sisemise verejooksu korral neurokirurgias	Reoperation for deep haemorrhage in surgery of the nervous system	1.1.2003	
AWW99	Muu kordusoperatsioon neurokirurgias	Other reoperation in surgery of the nervous system	1.1.2003	
BAA00	Kilpnäärme biopsia	Biopsy of thyroid gland	1.1.2003	
BAA05	Kilpnäärme eksploratsioon	Exploration of thyroid gland	1.1.2003	
BAA10	Kilpnäärme intsisioon	Incision of thyroid gland	1.1.2003	
BAA20	Ühepoolne osaline kilpnäärme ekstsisioon	Unilateral partial excision of thyroid gland	1.1.2003	
BAA25	Mõlemapoolne osaline kilpnäärme ekstsisioon	Bilateral partial excision of thyroid gland	1.1.2003	
BAA30	Kilpnäärme istmuse ekstsisioon	Excision of thyroid isthmus	1.1.2003	
BAA40	Ühepoolne kilpnäärme lobektoomia	Unilateral lobectomy of thyroid gland	1.1.2003	
BAA50	Lobektoomia ja vastaspoolse kilpnäärmesagara resektsioon	Lobectomy and resection of contralateral lobe of thyroid gland	1.1.2003	
BAA60	Totaalne türeoidektoomia	Total thyroidectomy	1.1.2003	
BAA99	Muu operatsioon kilpnäärmel	Other operation on thyroid gland	1.1.2003	
BBA10	Kõrvalkilpnäärme biopsia	Biopsy of parathyroid gland	1.1.2003	
BBA20	Kõrvalkilpnäärme eksploratsioon	Exploration of parathyroid gland	1.1.2003	
BBA30	Kõrvalkilpnäärme lesiooni ekstsisioon	Excision of parathyroid gland	1.1.2003	
BBA40	Subtotaalne paratüreoidektoomia	Subtotal parathyroidectomy	1.1.2003	
BBA50	Totaalne paratüreoidektoomia	Total parathyroidectomy	1.1.2003	
BBA70	Kõrvalkilpnäärme implantatsioon või transplantatsioon	Implantation or transplantation of parathyroid gland	1.1.2003	
BBA99	Muud operatsioonid kõrvalkilpnäärmel	Other operation on parathyroid gland	1.1.2003	
BCA10	Neerupealise biopsia	Biopsy of adrenal gland	1.1.2003	
BCA11	Laparoskoopiline neerupealise biopsia	Laparoscopic biopsy of adrenal gland	1.1.2003	
BCA15	Neerupealise intsisioon	Incision of adrenal gland	1.1.2003	
BCA20	Neerupealise lesiooni ekstsisioon	Excision of lesion of adrenal gland	1.1.2003	
BCA30	Ühepoolne adrenalektoomia	Unilateral adrenalectomy	1.1.2003	
BCA31	Laparoskoopiline ühepoolne adrenalektoomia	Laparoscopic unilateral adrenalectomy	1.1.2003	
BCA40	Bilateraalne adrenalektoomia	Bilateral adrenalectomy	1.1.2003	
BCA41	Laparoskoopiline bilateraalne adrenalektoomia	Laparoscopic bilateral adrenalectomy	1.1.2003	
BCA99	Muud operatsioonid neerupealisel	Other operation on adrenal gland	1.1.2003	
BDA10	Operatsioon karotiidkehal	Operation on carotid body	1.1.2003	
BWA00	Haava dehistsentsi korrektsioon endokriinkirurgias	Repair of wound dehiscence in endocrine surgery	1.1.2003	
BWB00	Kordusoperatsioon pindmise infektsiooni korral endokriinkirurgias	Reoperation for superficial infection in endocrine surgery	1.1.2003	
BWC00	Kordusoperatsioon süvainfektsiooni korral endokriinkirurgias	Reoperation for deep infection in endocrine surgery	1.1.2003	
BWD00	Kordusoperatsioon pindmise verejooksu korral endokriinkirurgias	Reoperation for superficial haemorrhage in endocrine surgery	1.1.2003	
BWE00	Kordusoperatsioon sisemise verejooksu korral endokriinkirurgias	Reoperation for deep haemorrhage in endocrine surgery	1.1.2003	
BWW99	Muu kordusoperatsioon endokriinkirurgias	Other reoperation in endocrine surgery	1.1.2003	
CAA00	Orbita abstsessi punktsioon	Puncture of orbital abscess	1.1.2003	
CAA10	Diagnostiline eesmine orbitotoomia	Exploratory anterior orbitotomy	1.1.2003	
CAA20	Diagnostiline lateraalne orbitotoomia	Exploratory lateral orbitotomy	1.1.2003	
CAA30	Orbita biopsia	Biopsy of orbit	1.1.2003	
CAB00	Eesmine orbitotoomia koos kahjustuse ekstsisiooniga	Anterior orbitotomy with excision of lesion	1.1.2003	
CAB10	Lateraalne orbitotoomia koos kahjustuse ekstsisiooniga	Lateral orbitotomy with excision of lesion	1.1.2003	
CAB40	Transkraniaalne orbitotoomia koos kahjustuse ekstsisiooniga	Transcranial orbitotomy with excision of lesion	1.1.2003	
CAB50	Orbitotoomia koos võõrkeha eemaldamisega	Orbitotomy with removal of foreign body	1.1.2003	
CAC00	Orbita seina rekonstruktsioon	Reconstruction of orbital wall	1.1.2003	
CAC10	Orbita seina rekonstruktsioon luulise transplantaadi või plaadiga	Reconstruction of orbital wall using bone graft or plate	1.1.2003	
CAC20	Orbita lateraalne dekompressioon	Lateral decompression of orbit	1.1.2003	
CAC30	Orbita dekompressioon siinusteni	Decompression of orbit to sinuses	1.1.2003	
CAC40	Orbita ülaseina või optilise kanali transkraniaalne dekompressioon	Transcranial decompression of orbital roof or optic canal	1.1.2003	
CAC42	Orbita dekompressioon kasutades koronaaljuurdepääsu	Decompression of orbit by coronal approach	1.1.2003	
CAC44	Orbita kombineeritud dekompressioon	Combined decompression of orbit	1.1.2003	
CAC50	Orbita seina kaasasündinud anomaaliaid likvideeriv operatsioon	Repair of congenital malformation of orbital wall	1.1.2003	
CAD00	Orbita eksenteratsioon koos transplantaadi või koelapi kasutamisega	Exenteration of orbit with use of graft or flap	1.1.2003	
CAE00	Implantaadi eemaldamine orbitast	Removal of implant from orbit	1.1.2003	
CAE10	Revisioon ja sekundaarse implantaadi paigaldamine orbitasse	Revision and secondary implant in orbit	1.1.2003	
CAE20	Konjuktiivkoti revisioon koos konjuktiivi siirdamisega	Revision of conjunctival sac with graft	1.1.2003	
CAW99	Muu operatsioon orbital	Other operation on orbit	1.1.2003	
CBA00	Silmalau intsisioon	Incision of eyelid	1.1.2003	
CBA10	Silmalau biopsia	Biopsy of eyelid	1.1.2003	
CBB00	Halasiooni (rahetera) ekstsisioon	Excision of chalazion	1.1.2003	
CBB10	Silmalau üleliigse naha ekstsisioon	Excision of redundant skin of eyelid	1.1.2003	
CBB15	Silmalaust väljavõlvunud rasvkoe resektsioon	Resection of herniated fat from eyelid	1.1.2003	
CBB20	Silmalau lodeva naha korrektsioon ja väljavõlvunud rasvkoe resektsioon	Correction of lax skin of eyelid and resection of herniated fat	1.1.2003	
CBB30	Silmalau kahjustuse ekstsisioon	Excision of lesion of eyelid	1.1.2003	
CBB35	Krüoteraapia silmalau kahjustuse korral	Cryotherapy of lesion of eyelid	1.1.2003	
CBB40	Elektrokoagulatsioon silmalau kahjustuse korral	Electrocoagulation of lesion of eyelid	1.1.2003	
CBB50	Silmalau kahjustuse ekstsisioon ja rekonstruktsioon transplantaadiga	Excision of lesion of eyelid and reconstruction using graft or flap	1.1.2003	
CBB99	Silmalau kahjustuse muu ekstsisioon või korrektsioon	Other excision or destruction of lesion of eyelid	1.1.2003	
CBC00	Silmalau õmblus	Suture of eyelid	1.1.2003	
CBC10	Võõrkeha eemaldamine silmalault	Removal of foreign body from eyelid	1.1.2003	
CBC99	Muu operatsioon silmalau vigastuse korral	Other operation on eyelid for injury	1.1.2003	
CBD00	Silmalau plastiline rekonstruktsioon õmblusega	Plastic reconstruction of eyelid using suture	1.1.2003	
CBD10	Silmalau plastiline rekonstruktsioon transplantaadi või koelapiga	Plastic reconstruction of eyelid using graft or flap	1.1.2003	
CBD99	Silmalau muu plastiline rekonstruktsioon	Other plastic reconstruction of eyelid	1.1.2003	
CBE00	Silmalau õmblus entroopiumi korral	Suture of eyelid for entropion	1.1.2003	
CBE10	Orbikulaarlihase transpositsioon ja lühendamine entroopiumi korral	Transposition and shortening of orbicularis muscle for entropion	1.1.2003	
CBE20	Silmalau tõsturlihaste lühendamine entroopiumi korral	Shortening of eyelid retractors for entropion	1.1.2003	
CBE30	Horisontaalne lühendamine entroopiumi korral	Horizontal shortening for entropion	1.1.2003	
CBE40	Kombineeritud entroopiumi korrektsioon	Combined correction of entropion	1.1.2003	
CBE99	Muu operatsioon entroopiumi korral	Other operation for entropion	1.1.2003	
CBF00	Silmalau elektrokauterisatsioon ektroopiumi korral	Electrocauterisation of eyelid for ectropion	1.1.2003	
CBF10	Lauligamendi lühendamine ektroopiumi korral	Shortening of canthal ligaments for ectropion	1.1.2003	
CBF20	Laukõhre ekstsisioon ektroopiumi korral	Excision of tarsus for ectropion	1.1.2003	
CBF30	Laukõhre ja naha ekstsisioon ektroopiumi korral	Excision of tarsus and skin for ectropion	1.1.2003	
CBF40	Silmalau plastiline korrektsioon armilise ektroopiumi korral	Plastic repair of eyelid for cicatricial ectropion	1.1.2003	
CBF99	Muu operatsioon ektroopiumi korral	Other operation for ectropion	1.1.2003	
CBG00	Ripsmete epilatsioon elektrolüüsiga	Epilation of cilia by electrolysis	1.1.2003	
CBG10	Krüoteraapia trihhiaasi korral	Cryotherapy for trichiasis	1.1.2003	
CBG20	Silmalau serva plastiline korrektsioon trihhiaasi korral	Plastic repair of margin of eyelid for trichiasis	1.1.2003	
CBG99	Muu operatsioon trihhiaasi korral	Other operation for trichiasis	1.1.2003	
CBH00	Kantotoomia	Canthotomy	1.1.2003	
CBH05	Kantopeksia	Canthopexy	1.1.2003	
CBH10	Silmanurga plastiline korrektsioon	Plastic repair of canthus	1.1.2003	
CBH20	Tsentraalne tarsorraafia	Central tarsorrhaphy	1.1.2003	
CBH30	Lateraalne või mediaalne tarsorraafia	Lateral or medial tarsorrhaphy	1.1.2003	
CBH40	Tarsorraafia lahtilõikamine	Division of tarsorrhaphy	1.1.2003	
CBH50	Rekonstruktiivne operatsioon epikantuse korral	Reconstructive operation for epicanthus	1.1.2003	
CBH99	Muu operatsioon silmanurgal	Other operation on canthus	1.1.2003	
CBJ00	Frontaalsuspensioon	Suture of eyelid for ptosis	1.1.2003	
CBJ10	Fascia lata ling silmalau ptoosi korral	Fascia lata sling for ptosis of eyelid	1.1.2003	
CBJ20	Tarsomüektoomia ptoosi korral	Tarsomyectomy for ptosis	1.1.2003	
CBJ30	Silmalau tõsturlihase plastiline korrektsioon	Plastic repair of levator aponeurosis of eyelid	1.1.2003	
CBJ40	Silmalau tõsturlihase resektsioon	Resection of levator muscle of eyelid	1.1.2003	
CBJ50	Operatsioon kulmu ptoosi korral	Operation for ptosis of eyebrow	1.1.2003	
CBJ99	Muu operatsioon ptoosi korral	Other operation for ptosis	1.1.2003	
CBK00	Silmalau müotoomia retraktsiooni korral	Myotomy of eyelid for retraction	1.1.2003	
CBK10	Operatsioonid lagoftalmi korral	Operation for lagophthalmus	1.1.2003	
CBK99	Muu operatsioon silmalau retraktsiooni korral	Other operation for retraction of eyelid	1.1.2003	
CBL00	Müektoomia ja neurotoomia blefarospasmi korral	Myectomy or neurotomy for blepharospasm	1.1.2003	
CBL99	Muu operatsioon blefarospasmi korral	Other operation for blepharospasm	1.1.2003	
CBW99	Muu operatsioon silmalaul	Other operation on eyelid	1.1.2003	
CCA00	Pisaranäärme intsisioon	Incision of lacrimal gland	1.1.2003	
CCA10	Pisaranäärme biopsia	Biopsy of lacrimal gland	1.1.2003	
CCA20	Pisaratäpi ja pisarakanalikese intsisioon	Incision of lacrimal punctum or canaliculus	1.1.2003	
CCA30	Pisarakoti intsisioon	Incision of lacrimal sac	1.1.2003	
CCA40	Pisarateede biopsia	Biopsy of lacrimal passages	1.1.2003	
CCB00	Osaline pisaranäärme eemaldamine	Partial dacryoadenectomy	1.1.2003	
CCB10	Totaalne pisaranäärme eemaldamine	Total dacryoadenectomy	1.1.2003	
CCB99	Muu operatsioon pisaranäärmel	Other operation on lacrimal gland	1.1.2003	
CCC00	Pisaratäpi ja pisarakanalikeste sulgemine	Occlusion of lacrimal punctum or canaliculus	1.1.2003	
CCC50	Pisarakoti eemaldamine	Dacryocystectomy	1.1.2003	
CCC99	Muu operatsioon pisarateedel	Other operation on lacrimal passages	1.1.2003	
CCD00	Pisarafistuli sulgemine	Occlusion of lacrimal fistula	1.1.2003	
CCD10	Pisarakanalikese õmblus	Suture of lacrimal canaliculus	1.1.2003	
CCD20	Pisarakanalikese õmblus koos dreenimisega	Suture of lacrimal canaliculus with insertion of tube	1.1.2003	
CCD30	Pisarakanalikese rekonstruktsioon	Reconstruction of lacrimal canaliculus	1.1.2003	
CCD40	Perkutaanne dakrüotsüstorinostoomia	Percutaneous dacryocystorhinostomy	1.1.2003	
CCD50	Dakrüotsüstorinostoomia koos dreenimisega	Dacryocystorhinostomy with insertion of tube	1.1.2003	
CCD60	Transnasaalne dakrüotsüstorinostoomia	Transnasal dacryocystorhinostomy	1.1.2003	
CCD70	Konjuktivotsüstorinostoomia koos dreenimisega	Conjunctivocystorhinostomy with insertion of tube	1.1.2003	
CCD99	Muu rekonstruktiivne operatsioon pisaraaparaadil	Other reconstructive operation on lacrimal apparatus	1.1.2003	
CCW99	Muu operatsioon pisaraaparaadil	Other operation on lacrimal apparatus	1.1.2003	
CDB00	Silmasisese võõrkeha eemaldamine	Removal of intraocular foreign body	1.1.2003	
CDB10	Silmasisese võõrkeha eemaldamine magnetiga	Removal of intraocular foreign body using magnet	1.1.2003	
CDB99	Muu operatsioon silmasisese võõrkeha korral	Other operation for intraocular foreign body	1.1.2003	
CDC00	Silma enukleatsioon	Enucleation of eye	1.1.2003	
CDC10	Silma enukleatsioon primaarse implantaadiga	Enucleation of eye with insertion of prosthesis	1.1.2003	
CDC20	Silma enukleatsioon transplantaadiga	Enucleation of eye with use of graft	1.1.2003	
CDC30	Silma evistseratsioon	Evisceration of eye	1.1.2003	
CDC40	Silma evistseratsioon primaarse implantaadiga	Evisceration of eye with insertion of prosthesis	1.1.2003	
CDC50	Silma evistseratsioon transplantaadiga	Evisceration of eye with use of graft	1.1.2003	
CDW99	Muu operatsioon silmamunal	Other operation on eyeball	1.1.2003	
CEA00	Silmaliigutajalihase biopsia	Biopsy of extraocular muscle	1.1.2003	
CEB00	Silmaliigutajalihase müektoomia	Myectomy of extraocular muscle	1.1.2003	
CEB10	Silmaliigutajalihase osaline müotoomia	Partial myotomy of extraocular muscle	1.1.2003	
CEB20	Silmaliigutajalihase totaalne müotoomia	Total myotomy of extraocular muscle	1.1.2003	
CEB30	Silmaliigutajalihase tenotoomia	Tenotomy of extraocular muscle	1.1.2003	
CEC00	Silmaliigutajalihase tahapoole kinnitamine	Recession of extraocular muscle	1.1.2003	
CEC10	Silmaliigutajalihase nõrgestamine ja lühendamine	Recession and resection of extraocular muscle	1.1.2003	
CEC20	Silmaliigutajalihase nõrgestamine ja edasiviimine	Recession and advancement of extraocular muscle	1.1.2003	
CEC30	Silmaliigutajalihase lühendamine	Resection of extraocular muscle	1.1.2003	
CEC40	Silmaliigutajalihase lühendamine ja ettepoole kinnitamine	Resection and advancement of extraocular muscle	1.1.2003	
CEC50	Silmaliigutajalihase ettepoole kinnitamine	Advancement of extraocular muscle	1.1.2003	
