OPR	OPRNAVN
KPCE40	Thrombektomi/embolektomi i a. renalis
KPCE99	Thrombektomi/embolektomi i anden visceralarterie
KPCF	Thrombendarterektomi i visceralarterier
KPCF20	Thrombendarterektomi i truncus coeliacus og dens grene
KPCF30	Thrombendarterektomi i a. mesenterica superior
KPCF40	Thrombendarterektomi i a. renalis
KPCF99	Thrombendarterektomi i anden visceralarterie
KPCG	Aneurismeop. på suprarenale aorta abdomin./visceralarterier
KPCG10	Op. for aneurisme, bugaorta (supracoeliakalt el juxtarenalt
KPCG20	Operation for aneurisme på truncus coeliacus og dens grene
KPCG30	Operation for aneurisme på a. mesenterica superior
KPCG40	Operation for aneurisme på a. renalis
KPCG99	Operation for aneurisme på anden visceralarterie
KPCH	By-pass fra suprarenale aorta abdominal. og visceralarterie
KPCH10	By-pass, aorta abdominalis (supracoeliakalt el juxtarenalt)
KPCH20	By-pass fra truncus coeliacus og dens grene
KPCH30	By-pass fra a. mesenterica superior
KPCH40	By-pass fra a. renalis
KPCH99	By-pass fra anden visceralarterie
KPCJ	Transposition af visceralarterier
KPCJ30	Transposition af a. mesenterica superior
KPCJ40	Transposition af a. renalis
KPCJ99	Transposition af anden visceralarterie
KPCK	Reimplantation af visceralarterier
KPCK20	Reimplantation af truncus coeliacus og dens grene
KPCK30	Reimplantation af a. mesenterica superior
KPCK40	Reimplantation af a. renalis
KPCK50	Reimplantation af a. mesenterica inferior
KPCK99	Reimplantation af anden visceralarterie
KPCN	Plastik på visceralarterier
KPCN20	Plastik på truncus coeliacus og dens grene
KPCN30	Plastik på a. mesenterica superior
KPCN40	Plastik på a. renalis
KPCN99	Plastik på anden visceralarterie
KPCP	Perkutan plastik på visceralarterier
KPCP20	Plastik på truncus coeliacus og dens grene, perkutan
KPCP30	Plastik på a. mesenterica superior, perkutan
KPCP40	Plastik på a. renalis, perkutan
KPCP40A	Perkutan plastik på a. renalis, transplanteret nyre
KPCP50	Perkutan indlæggelse af stent i visceralarterie
KPCP99	Plastik på anden visceralarterie, perkutan
KPCQ	Indlæggelse af endovaskulært implantat i visceralarterier
KPCQ20	Indlægg. endovaskulært implantat, truncus coeliacus (grene)
KPCQ30	Indlæggelse af endovaskulært implantat i a. mesenterica sup
KPCQ40	Indlæggelse af endovaskulært implantat i a. renalis
KPCQ99	Indlæggelse af endovask. implantat i anden visceralarterie
KPCR	Udtagning af endovasculært implantat fra visceralarterier
KPCR20	Udtagn af endovask implantat fra truncus coeliacus m grene
KPCR30	Udtagning af endovaskulært implantat fra a. mesenterica sup
KPCR40	Udtagning af endovaskulært implantat fra a. renalis
KPCR99	Udtagning af endovask. implantat fra anden visceralarterie
KPCS	Endoskopisk/ultralyd operation på visceralarterier
KPCS40	Operation på a. renalis, endoskopisk/ultralyd
KPCS99	Operation på anden visceralarterie, endoskopisk/ultralyd
KPCT	Injekt. af lægemiddel/okkluderende mat. i visceralarterier
KPCT20	Inj. af lægemiddel/embolisation i truncus coeliacus og gren
KPCT30	Injektion af lægemiddel/embolisation i a. mesenterica sup.
KPCT40	Injektion af lægemiddel/embolisation i a. renalis
KPCT99	Injektion af lægemiddel/embolisation, anden visceralarterie
KPCU	Op.eft. tidl.rekonstrukt. på supraren.aorta/visceralarterie
KPCU74	Thrombekt/embolekt i by-pass på supraren aorta og visc.arte
KPCU80	Excision af by-pass på suprarenale aorta og visceralarterie
KPCU82	Plastik på by-pass på infrarenale aorta og a. poplitea
KPCU83	Perkut.plastik på by-pass fra suprarenale aorta/visceralart.
KPCU84	Indl. af endovask. implantat i by-pass på aorta/visceralart
KPCU85	Udtagn af endovask implantat fra by-pass på supraren aorta
KPCU86	Op. på by-pass, supraren aorta og visc.art, endosk/ultralyd
KPCU87	Inj. lægemiddel/embol. i bypass, supraren. aorta og visc.ar
KPCU99	Op. efter rekonstr. på supraren aorta og visceralart, anden
KPCW	Andre operationer på suprarenale aorta og visceralarterier
KPCW99	Operation på suprarenale aorta og visceralarterier, anden
KPD	Opr. på infrarenale a. abdominalis og a. iliaca, opr. derfra
KPDA	Eksploration af infrarenale aorta og a. iliaca
KPDA10	Eksploration af infrarenale aorta
KPDA30	Eksploration af a. iliaca
KPDC	Sutur af infrarenale aorta og a. iliaca
KPDC10	Sutur af infrarenale aorta
KPDC30	Sutur af a. iliaca
KPDE	Trombektomi/embolektomi i infrarenale aorta og a. iliaca
KPDE10	Thrombektomi/embolektomi i infrarenale aorta
KPDE30	Thrombektomi/embolektomi i a. iliaca
KPDF	Trombendarterektomi i infrarenale aorta og a. iliaca
KPDF10	Thrombendarterektomi i infrarenale aorta
KPDF15	Trombendarterektomi i aorto-iliakalt segment
KPDF30	Thrombendarterektomi i a. iliaca
KPDF35	Trombendarterektomi i iliaka-femoral segmentet
KPDG	Aneurismeoperation på infrarenale aorta og a. iliaca
KPDG10	Operation for aneurisme på infrarenale aorta
KPDG20	Operation for aneurisme med aorto-iliakal by-pass
KPDG21	Operation for aneurisme med aorto-biiliakal by-pass
KPDG22	Op. for aneurisme med iliaca/-femoral by-pass, kontralatera
KPDG23	Operation for aneurisme med aorto-femoral by-pass
KPDG24	Operation for aneurisme med aorto-bifemoral by-pass
KPDG30	Operation for aneurisme på a. iliaca
KPDG35	Operation for aneurisme med iliaco-femoral by-pass
KPDG99	Op. for aneur på infraren aorta og a. iliaca m anden by-pas
KPDH	By-pass fra infrarenale aorta og a. iliaca
KPDH10	By-pass af segment af infrarenale aorta
KPDH20	By-pass, aorto(pars infrarenalis)-iliacal
KPDH21	By-pass, aorto(pars infrarenalis)-biiliacal
KPDH22	By-pass, aorto(pars infrarenalis)-iliakal-femoral, kontrala
KPDH23	By-pass, aorto(pars infrarenalis)-femoral
KPDH24	By-pass, aorto(pars infrarenalis)-bifemoral
KPDH30	By-pass af segment af a. iliaca
KPDH35	By-pass, iliaco-femoral
KPDH99	By-pass fra infrarenale aorta og a. iliaca, anden
KPDN	Plastik på infrarenale aorta og a. iliaca
KPDN10	Plastik på infrarenale aorta
KPDN30	Plastik på a. iliaca
KPDP	Perkutan plastik på infrarenale aorta og a. iliaca
KPDP10	Plastik på infrarenale aorta, perkutan
KPDP30	Plastik på a. iliaca, perkutan
KPDP50	Perkutan indlæggelse af stent i infrarenale aorta/a.iliaca
KPDQ	Indlæg.af endovask.implantat i infrarenale aorta og a.iliac
KPDQ10	Indlæggelse af endovaskulært implantat i infrarenale aorta
KPDQ30	Indlæggelse af endovaskulært implantat i a. iliaca
KPDR	Udtag.af endovask.implantat fra infraren.aorta og a.iliaca
KPDR10	Udtagning af endovaskulært implantat fra infrarenale aorta
KPDR30	Udtagning af endovaskulært implantat fra a. iliaca
KPDS	Endoskopisk/ultralyd op. på infrarenale aorta og a.iliaca
KPDS10	Operation på infrarenale aorta, endoskopisk/ultralyd
KPDS30	Operation på a. iliaca, endoskopisk/ultralyd
KPDT	Injekt.af lægemiddel/embolisation i infraren.aorta/a.iliaca
KPDT10	Injektion af lægemiddel/embolisation i infrarenale aorta
KPDT30	Injektion af lægemiddel/embolisation i a. iliaca
KPDT40	Embolisering af a. uterina
KPDU	Op. eft. tidl. rekonstrukt. på infrarenale aorta og a.iliac
KPDU74	Thrombekt/embolekt i by-pass fra infraren aorta og a. iliac
KPDU82	Angioplastik af by-pass fra infrarenale aorta og a. iliaca
KPDU83	Perkut.plastik på by-pass fra infrarenale aorta/a. iliaca
KPDU84	Indlægg.endovask.implantat i by-pass, infraren.aorta/iliaca
KPDU85	Udtagn af endovask implant fra by-pass fra aorta og a. ilia
KPDU86	Endoskopisk operation på by-pass fra infraren.aorta/iliaca
KPDU87	Inj.lægemiddel/embolisation i by-pass,infraren.aorta/iliaca
KPDU88	Excision af by-pass fra infrarenale aorta og a. iliaca
KPDU99	Op. efter rekonstr. på infrarenale aorta og a. iliaca, ande
KPDW	Andre operationer på infrarenale aorta og a. iliaca
KPDW99	Op. på infraren aorta og a. iliaca, op. derfra og perifert
KPE	Opr. på a. femoralis og dens grene samt opr. derfra til a. p
KPEA	Eksploration af a. femoralis og dens grene
KPEA10	Eksploration af a. femoralis communis
KPEA11	Eksploration af a. profunda femoris
KPEA12	Eksploration af a. femoralis superficialis
KPEC	Sutur af a. femoralis og dens grene
KPEC10	Sutur af a. femoralis communis
KPEC11	Sutur af a. profunda femoris
KPEC12	Sutur af a. femoralis superficialis
KPEE	Trombektomi/embolektomi i a. femoralis og dens grene
KPEE10	Thrombektomi/embolektomi i a. femoralis communis
KPEE11	Thrombektomi/embolektomi i a. profunda femoris
KPEE12	Thrombektomi/embolektomi i a. femoralis superficialis
KPEF	Thromendarterektomi i a. femoralis og dens grene
KPEF10	Thrombendarterektomi i a. femoralis communis
KPEF11	Thrombendarterektomi i a. profunda femoris
KPEF12	Thrombendarterektomi i a. femoralis superficialis
KPEG	Aneurismeoperation på a. femoralis og dens grene
KPEG10	Operation for aneurisme på a. femoralis communis
KPEG11	Operation for aneurisme på a. profunda femoris
KPEG12	Operation for aneurisme på a. femoralis superficialis
KPEG80	Okklud. kompression af pseudoaneurisme på a.femoralis/grene
KPEH	By-pass fra a. femoralis og dens grene
KPEH10	By-pass fra a. femoralis communis
KPEH11	By-pass fra a. profunda femoris
KPEH12	By-pass fra a. femoralis superficialis
KPEH20	By-pass fra a. femoralis til a. poplitea oven for knæled
KPEH30	By-pass fra a. femoralis til a. poplitea nedenfor knæled
KPEL10	Anlæg. af arteriovenøs fistel fra art. til vena femoralis
KPEM10	Nedlæg. af arteriovenøs fistel fra art. til vena femoralis
KPEN	Plastik på a. femoralis og dens grene
KPEN10	Plastik på a. femoralis communis
KPEN11	Plastik på a. profunda femoris
KPEN12	Plastik på a. femoralis superficialis
KPEP	Perkutan plastik på a. femoralis og dens grene
KPEP10	Plastik på a. femoralis communis, perkutan
KPEP11	Plastik på a. profunda femoris, perkutan
KPEP12	Plastik på a. femoralis superficialis, perkutan
KPEP50	Perkutan indlæggelse af stent i a. femoralis/femoralis gren
KPEQ	Indlæg. af endovask. implantat i a.femoralis og dens grene
KPEQ10	Indlæggelse af endovaskulært implantat i a. fem. communis
KPEQ11	Indlægg. af endovaskulært implantat i a. profunda femoris
KPEQ12	Indlæggelse af endovaskulært implantat i a. fem. superfic.
KPEQ99	Indlæggelse af endovask implantat, a. fem. og grene, anden
KPER	Udtag. af endovask. implantat fra a.femoralis og dens grene
KPER10	Udtagning af endovaskulært implantat fra a. fem. communis
KPER11	Udtagning af endovaskulært implantat fra a. profunda femori
KPER12	Udtagning af endovask. implantat fra a. fem. superficialis
KPES	Endoskopisk/ultrasonograf. op. på a.femoralis og dens grene
KPES10	Operation på a. femoralis communis, endoskopisk/ultralyd
KPES11	Operation på a. profunda femoris, endoskopisk/ultralyd
KPES12	Operation på a. femor. superficialis, endoskopisk/ultralyd
KPET	Injekt.af lægemid./embolisation i a.femoralis og dens grene
KPET10	Injektion af lægemiddel/embolisation i a.femoralis communis
KPET11	Injektion af lægemiddel/embolisation i a. profunda femoris
KPET12	Injektion af lægemiddel/embolisation i a.femoralis superfic.
KPET20	Inj. af lægemiddel/embolis. i by-pass fra a. fem til a. pop
KPEU	Op.eft.tidl.rekonstrukt,a.femoralis/grene/forb.til a.poplit
KPEU74	Thrombektomi/embolektomi i by-pass fra a. fem. til a. popl.
KPEU76	Op. for anuerisme på by-pass fra a. femoralis til a. popl.
KPEU81	Ligatur af a-v fistel efter by-pass fra a. femoralis
KPEU82	Plastik på by-pass fra a. femoralis og dens grene
KPEU83	Perkutan plastik på by-pass fra a. femoralis til a. poplit.
KPEU84	Indl. af endovask. implant i by-pass fra a. fem. til a. pop
KPEU85	Udtagning af endovask implant fra by-pass a. fem til a. pop
KPEU86	Op. på by-pass fra a. fem. til a. popl, endoskopisk/ultraly
KPEU87	Perkut.okklusion af AV-fistel fra by-pass, a.femor.-poplit.
KPEU88	Excision af by-pass fra a. femoralis
KPEU89	Ligatur af by-pass til a. femoralis
KPEU99	Op. efter rekonstr på a fem og grene samt til a. popl, ande
KPEW	Andre op.på a.femoralis, grene samt forbind. til a.poplit.
KPEW99	Op. på a. fem. og grene samt forb. til a. poplitea, anden
KPF	Opr. fra a. femoralis til infrapoplitale arterier samt opr.
KPFA	Eksploration af a. poplitea
KPFA10	Eksploration af a. poplitea
KPFB	Ligatur af a. poplitea, crus- eller fodarterie
KPFB10	Ligatur af a. poplitea
KPFB30	Ligatur af crus - eller fodarterie
KPFC	Sutur af a. poplitea
KPFC10	Sutur af a. poplitea
KPFE	Tromb-/embolektomi,a.femoral, a.poplitea, crus-, fodarterie
KPFE10	Thrombektomi/embolektomi i a. poplitea
KPFE30	Thrombektomi/embolektomi i crus- eller fodarterie
KPFG	Aneurismeoperation på a. poplitea
KPFG10	Operation for aneurisme på a. poplitea
KPFG80	Okklud. kompression af pseudoaneurisme på a.poplitea/grene
KPFH	By-pass fra a. femoralis og a. poplitea
KPFH10	By-pass fra a. poplitea
KPFH20	By-pass fra a. femoralis/a. poplitea til crusarterie
KPFH21	By-pass, a. femoralis/a. poplitea til a. tibialis ant, prox
KPFH22	By-pass, a. femoralis/a. poplitea til a. tib. ant, distal
KPFH23	By-pass, a. femoralis/a. poplitea til truncus tibioperon.
KPFH24	By-pass, a. femoralis/a. poplitea til a. tib. post. prox.
KPFH25	By-pass, a. femoralis/a. poplitea til a. tib. post, distal
KPFH26	By-pass, a. femoralis/a. poplitea til a. peronealis, prox.
KPFH27	By-pass, a. femoralis/a. poplitea til a. peronealis, distal
KPFH28	By-pass fra a. femoralis/a. poplitea til a. dorsalis pedis
KPFH29	By-pass, a. femoralis/a. poplitea til a. tib. post. på fode
KPFH99	By-pass fra a. femoralis og a. poplitea, anden
KPFN	Plastik på a. poplitea
KPFN10	Plastik på a. poplitea
KPFP	Perkutan plastik på a. poplitea, crus- eller fodarterie
KPFP10	Plastik på a. poplitea, perkutan
KPFP30	Plastik på crus- eller fodarterie, perkutan
KPFP50	Perkutan indlæggelse af stent i a. poplitea/crus/fodarterie
KPFQ	Indlæg.af endovask. implantat, a. poplitea el. crusarterie
KPFQ10	Indlæggelse af endovaskulært implantat i a. poplitea
KPFQ30	Indlæggelse af endovaskulært implantat i crusarterie
KPFR	Udtagning af endovasculært implantat fra a. poplitea
KPFR10	Udtagning af endovaskulært implantat fra a. poplitea
KPFS	Endoskopisk/ultrasonografisk operation på a. poplitea
KPFS10	Operation på a. poplitea, endoskopisk/ultralyd
KPFT	Injekt.af lægemid/embolisation, a.poplitea,crus-,fodarterie
KPFT10	Injektion af lægemiddel/embolisation i a. poplitea
KPFT30	Injekt. af lægemiddel/embolisation i arterie i underben/fod
KPFU	Op. efter tidl. rekonstrukt. på a. femoralis og a. poplitea
KPFU74	Thrombektomi i by-pass fra a. femoralis eller a. poplitea
KPFU76	Op. for aneurisme på by-pass fra a. femoralis/a. poplitea
KPFU81	Ligatur af fistel efter by-pass fra a.fem. til a. poplitea
KPFU82	Plastik på by-pass fra femoral/popliteal til infrapopl. arte
KPFU83	Plastik på by-pass fra a. femoralis/a. poplitea, perkutan
KPFU84	Indlægg.endovask.implant. i by-pass fra a. femoral./poplit.
KPFU85	Udtagning af endovask implant fra by-pass fra a. fem/a. pop
KPFU86	Op. på by-pass fra a. fem./a. popl, endoskopisk/ultralyd
KPFU87	Inj.lægemiddel/embolis. i by-pass fra a. femoral./poplitea
KPFU88	Excision af by-pass fra a. femoralis eller a. poplitea
KPFU89	Ligatur af by-pass fra a. femoralis eller a. poplitea
KPFU99	Op. efter rekonstr. fra a. fem. til infrapopl. art, anden
KPFW	Andre op. fra a. femoralis og distalt, og andre distale op.
KPFW99	Op fra a.fem til inf.popl art, op på a popl, dist art, ande
KPG	Ekstraanatomiske by-pass operationer
KPGH	Ekstraanatomiske by-pass operationer
KPGH10	By-pass, axillo-axillær crossover
KPGH20	By-pass, axillo-iliacal
KPGH21	By-pass, axillo-biiliacal
KPGH22	By-pass, axillo-femoral
KPGH23	By-pass, axillo-bifemoral
KPGH30	By-pass, iliaco-femoral crossover
KPGH31	By-pass, iliaco-femoral via foramen obturatum
KPGH40	By-pass, femoro-femoral
KPGH99	By-pass, anden ekstraanatomisk
KPGU	Op. eft. tidl. rekonstruktion med ekstraanatomiske forløb
KPGU74	Thrombektomi i by-pass på ekstraanatomiske forløb
KPGU76	Op. for aneurisme på by-pass på ekstraanatomiske forløb
KPGU83	Perkutan plastik på by-pass med ekstraanatomisk forløb
KPGU84	Indlægg.endovaskulært implant.i by-pass m.ekstraanat.forløb
KPGU85	Udtagn af endov implantat fra by-pass på ekstraanat forløb
KPGU86	Op. på by-pass på ekstraanat. forløb, endoskopisk/ultralyd
KPGU87	Injekt.lægemiddel/embolisat. i by-pass m.ekstraanat.forløb
KPGU88	Excision af by-pass på ekstraanatomiske forløb
KPGU89	Ligatur af by-pass på ekstraanatomiske forløb
KPGU99	Reoperation efter opr. på ekstraanatomisk forløb, anden
KPGW	Andre operationer på ekstraanatomiske forløb
KPGW99	Operation på ekstraanatomiske forløb, anden
KPH	Operationer på vener
KPHB	Ligatur (inkl. deling) af vene
KPHB10	Ligatur af v. saphena magna
KPHB12	Ligatur af v. saphena parva
KPHB13	Ligatur af perforanter på crus
KPHB14	Ligatur af perforanter på femur
KPHB15	Perforantligatur på crus, endoskopisk
KPHB16	Perforantligatur på femur, endoskopisk
KPHB23	Ligatur af v. iliaca
KPHB30	Ligatur af v. cava inferior
KPHB31	Ligatur af v. renalis
KPHB32	Ligatur af v. mesenterica eller v. porta
KPHB99	Ligatur af anden vene
KPHC	Sutur af vene
KPHC22	Sutur af v. femoralis
KPHC23	Sutur af v. iliaca
KPHC30	Sutur af v. cava inferior
KPHC31	Sutur af v. renalis
KPHC32	Sutur af v. mesenterica eller v. porta
KPHC99	Sutur af anden vene
KPHD	Resektion af vene
KPHD10	Resektion af v. saphena magna
KPHD11	Resektion af stella venosa
KPHD11A	Re-resection af stella venosa
KPHD12	Resektion af v. saphena parva
KPHD12A	Re-resection af v. parva
KPHD15	Resektion af kommunikanter på crus og femur
KPHD99	Resektion af anden vene
KPHE	Trombektomi i vene
KPHE22	Thrombektomi i v. femoralis
KPHE23	Thrombektomi i v. iliaca
KPHE25	Femoro-iliakal venøs trobektomi m. samtidig A-V fistel
KPHE30	Thrombektomi i v. cava inferior
KPHE31	Thrombektomi i v. renalis
KPHE99	Thrombektomi i anden vene
KPHH	By-pass fra vene
KPHH21	By-pass fra v. poplitea
KPHH22	By-pass fra v. femoralis
KPHH25	By-pass fra v. iliaca
KPHH99	By-pass fra anden vene
KPHJ	Transposition af vene
KPHJ22	Transposition af v. femoralis
KPHJ99	Transposition af anden vene
KPHN	Plastik på vene
KPHN21	Plastik på v. poplitea
KPHN30	Plastik på v. cava inferior
KPHN99	Plastik på anden vene
KPHP	Perkutan plastik på vene
KPHP21	Perkutan plastik på v. poplitea
KPHP22	Perkutan plastik på v. femoralis
KPHP23	Plastik på v. iliaca, perkutan
KPHP30	Perkutan plastik på vena cava inferior
KPHP30A	Perkutan plastik på vena cava inferior m. stentanlæggelse
KPHP41	Perkutan plastik på v. axillaris/brachialis
KPHP42	Perkutan plastik på v. subclavia/brachiocephalica
KPHP99	Plastik på anden vene, perkutan
KPHQ	Indlæggelse af endovaskulært implantat i vene
KPHQ21	Indlæggelse af endovaskulært implantat i v. poplitea
KPHQ22	Indlæggelse af endovaskulært implantat i v. femoralis
KPHQ23	Indlæggelse af endovaskulært implantat i v. iliaca
KPHQ30	Indlæggelse af endovaskulært implantat i v. cava inferior
KPHQ35	Indlægg. af endovaskulært implantat i portosystemisk shunt
KPHQ41	Indlæg. af endovaskulært implantat i v.axillaris/brachialis
KPHQ42	Indlæg. af endovaskulært implantat i v.subclavia/brachioceph
KPHQ99	Indlæggelse af endovaskulært implantat i anden vene
KPHR	Udtagning af endovaskulært implantat fra vene
KPHR23	Udtagning af endovaskulært implantat fra v. iliaca
KPHR30	Udtagning af endovaskulært implantat fra v. cava inferior
KPHR99	Udtagning af endovaskulært implantat fra anden vene
KPHT	Injektion af læge/skleroserende middel i vene
KPHT23	Injektion af lægemiddel/skleroserende middel i v. iliaca
KPHT31	Injektion af lægemiddel/skleroserende middel i v. renalis
KPHT99	Injektion af lægemiddel/skleroserende middel i anden vene
KPHW	Andre operationer på vener
KPHW02	Perkut. translum. fjernelse af fremmedlegeme, v. cava inf.
KPHW30	Indlæggelse af cava inferior filter
KPHW35	Portosystemisk shunt eller by-pass
KPHW35A	Transjugulær intrahepatisk portokaval shunt (TIPS)
KPHW99	Operation på vener, anden
KPJ	Operationer på lymfesystemet
KPJA	Eksploration/biopsi af lymfeglandel
KPJA10	Eksploration/biopsi af lymfeglandel
KPJB	Ligatur af lymfekar
KPJB20	Ligatur af ductus thoracicus
KPJB99	Ligatur af andet lymfekar
KPJD	Excision af lymfeglandler
KPJD41	Excision af cervikale lymfeglandler
KPJD42	Excision af axillære lymfeglandler
KPJD42A	Excision af axillære lymfeglandler, åben opr.
KPJD42E	Excision af axillære lymfeglandler, endoskopisk
KPJD43	Excision af paraaorticale lymfeglandler
KPJD44	Excision af iliacale lymfeglandler
KPJD45	Excision af inguinale lymfeglandler
KPJD51	Excision af cervikale lymfeglandler, radikal
KPJD52	Excision af axillære lymfeglandler, radikal
KPJD53	Excision af paraaortale lymfeglandler, radikal
KPJD54	Excision af iliacale lymfeglandler, radikal
KPJD55	Excision af inguinale lymfeglandler, radikal
KPJD63	Excision af paraaortale lymfeglandler, laparoskopisk
KPJD64	Excision af iliacale lymfeglandler, laparoskopisk
KPJD97	Excision af andre lymfeglandler, laparoskopisk
KPJD98	Excision af lymfeglandler, anden radikal regional
KPJD99	Excision af lymfeglandler, andre
KPJW	Andre operationer på lymfesystemet
KPJW10	Incision af lymfeglandel
KPJW30	Anlæggelse af lymfovenøs anastomose
KPJW99	Operation på lymfesystemet, anden
KPW	Reopr. efter operationer på perifere kar og lymfesystemet
KPWA	Sutur af sårruptur eft.op. på perifert kar el. lymfesystem
KPWA00	Sutur af sårruptur efter op. på perifert kar/lymfesystem
KPWB	Reop.for overfl.sårinf. eft.op. på perif. kar el.lymfesyste
KPWB00	Reop. for overfl sårinfek eft op. på perifert kar/lymfesyst
KPWC	Reop.for dyb infekt. eft.op. på perifert kar el.lymfesystem
KPWC00	Reop. for infektion efter op. på perifert kar el lymfesyste
KPWD	Reop.for overflad.blødn. eft.op. på perif.kar el.lymfesyste
KPWD00	Reop. for overfl blødning eft op. på perifert kar/lymfesyst
KPWE	Reop.for dyb blødning eft.op. på perifert kar el.lymfesyste
KPWE00	Reop. for blødning efter op. på perifert kar el lymfesystem
KPWG	Reop.for trombose/emboli eft.op. på perif.kar el.lymfesyste
KPWG00	Reop. for trombose/emboli efter op på perifert kar/lymfesys
KPWG02	Reop. for tromb/emboli på perifert kar/lymfesystem angiosko
KPWH	Reop. for lymfocele eft.op. på perifert kar el.lymfesystem
KPWH00	Reop. for lymfocele efter op. på perifert kar el lymfesyste
KPWH01	Reop. for lymfocele på perifert kar/lymfesystem, laparoskop
KPWW	Anden reoperat. eft. operat. på perifert kar el.lymfesystem
KPWW99	Reop. efter op. på perifert kar eller lymfesystem, anden
KQ	Operationer på hud og subkutant væv
KQA	Operationer på hud og subkutant væv på hoved og hals
KQAA	Incision af hud på hoved og hals
KQAA00	Punktur af hud på hoved og hals
KQAA00A	Punktur af hud på hoved
KQAA00B	Punktur af hud på hals
KQAA10	Incision af hud på hoved og hals
KQAA10A	Incision af hud på hoved
KQAA10B	Incision (drænage) af hud på hals
KQAA20	Dermabrasio eller shaving af hud på hoved og hals
KQAA20A	Dermabrasio eller shaving af hud på hoved
KQAA20B	Dermabrasio eller shaving af hud på hals
KQAA30	Elektrokoagulation af hud på hoved og hals
KQAA30A	Elektrokoagulation af hud på hoved
KQAA30B	Elektrokoagulation af hud på hals
KQAA40	Laser eller fotokoagulation af hud på hoved og hals
KQAA40A	Laser eller fotokoagulation af hud på hoved
KQAA40B	Laser eller fotokoagulation af hud på hals
KQAA40C	Laserkoagulation af hud på hoved og hals, CO2-laser
KQAA40D	Laserkoagulation af hud på hoved og hals, dye-laser
KQAA40E	Laserkoagulation af hud på hoved og hals, Ruby laser
KQAA40F	Laserkoagulation af hud på hoved og hals, diodelaser
KQAA50	Kryoterapi af hud på hoved og hals
KQAA50A	Kryoterapi af hud på hoved
KQAA50B	Kryoterapi af hud på hals
KQAA99	Incision af hud på hoved og hals, anden
KQAA99A	Incision af hud på hoved, anden
KQAA99B	Incision af hud på hals, anden
KQAB	Behandling af sår på hoved og hals
KQAB00	Sutur af hud på hoved og hals
KQAB00A	Sutur af hud på hoved
KQAB00B	Sutur af hud på hals
KQAB10	Skiftning af sår på hoved og hals, større
KQAB10A	Skiftning af sår på hoved, større
KQAB10B	Skiftning af sår på hals, større
KQAB20	Sårrevision, friskt sår, hoved/hals
KQAB30	Sårrevision, anden (ekskl. friskt sår), hoved/hals
KQAB99	Sårbehandling på hoved og hals, anden
KQAB99A	Sårbehandling på hoved, anden
KQAB99B	Sårbehandling på hals, anden
KQAC	Fjernelse af fremmedlegeme fra hud på hoved og hals
KQAC00	Fjernelse af fremmedlegeme fra subkutant væv, hoved og hals
KQAC00A	Fjernelse af fremmedlegeme fra subkutant væv på hoved
KQAC00B	Fjernelse af fremmedlegeme fra subkutant væv på hals
KQAD	Behandling af forbrændinger på hoved og hals
KQAD00	Skiftning ved større forbrændinger på hoved og hals
KQAD00A	Skiftning ved større forbrændinger på hoved
KQAD00B	Skiftning ved større forbrændinger på hals
KQAD10	Debridement af forbrændinger på hoved og hals
KQAD10A	Debridement af forbrændinger på hoved
KQAD10B	Debridement af forbrændinger på hals
KQAD20	Excision af forbrænding, hoved/hals og dækning m heterograf
KQAD20A	Excision af forbrænding på hoved og dækning med heterograft
KQAD20B	Excision af forbrænding på hals og dækning med heterograft
KQAD25	Excision af forbrænding, hoved og hals og dækn. m allograft
KQAD25A	Excision af forbrænding på hoved og dækning med allograft
KQAD25B	Excision af forbrænding på hals og dækning med allograft
KQAD30	Excision af forbrænding, hoved og hals og dækn. m xenograft
KQAD30A	Excision af forbrænding på hoved og dækning med xenograft
KQAD30B	Excision af forbrænding på hals og dækning med xenograft
KQAD35	Dækning af forbrænding på hoved/hals med syntetisk material
KQAD35A	Dækning af forbrænding på hoved med syntetisk materiale
KQAD35B	Dækning af forbrænding på hals med syntetisk materiale
KQAE	Excision og korrektion af hud på hoved og hals
KQAE00	Excision af hud på hoved og hals
KQAE00A	Excision af hud på hoved
KQAE00B	Excision af hud på hals
KQAE05	Excision af svedkirtler/hud m. svedkirtler på hoved og hals
KQAE10	Excision af hudtumor på hoved og hals
KQAE10A	Excision af hudtumor, underhud, hoved og hals
KQAE10B	Excision af lipom på hoved og hals
KQAE20	Excision af ar på hoved og hals
KQAE25	Excision af ar på hoved og hals efter forbrænding
KQAE30	Excision af postoperativt ar på hoved og hals
KQAE35	Korrektion af huddefekt efter operation på hoved og hals
KQAE40	Korrekt.af huddefekt eft.hudsygdom/anomali, hoved og hals
KQAE50	Ekstern hudekstension, hoved og hals
KQAE99	Anden excision eller korrektion af hud på hoved og hals
KQAF	Operationer på skalp og øjenbryn
KQAF00	Behåret graft til skalp
KQAF10	Korrektion af øjenbryn med behåret graft
KQAF99	Operation på hovedets behårede hud, anden
KQAG	Operat. ved kroniske sår og fistler til hud på hoved og hal
KQAG20	Operation for kronisk sår og fistel til hud på hoved og hal
KQAG20A	Operation for kronisk sår og fistel til hud på hoved
KQAG20B	Operation for kronisk sår og fistel til hud på hals
KQAG30	Sutur af sår på hoved eller hals, forsinket
KQAG30A	Sutur af sår på hoved, forsinket
KQAG30B	Sutur af sår på hals, forsinket
KQAG99	Op. ved kroniske sår og fistler på hoved og hals, anden
