Kode	Tekst
KNHR49	Excision af knogletumor, fodled og fod, inkomplet
KNHR59	Excision af knogletumor, fodled og fod, komplet
KNHR69	Excision af knogletumor, fodled og fod, udvidet
KNHR79	Blokexcision i forbindelse med knogletumor, fodled og fod
KNHR99	Bløddels/knogletumorkir. i bevægeapp, fodled og fod, anden
KNHS	Op. for infektioner i sener, led og knogle, fodled og fod
KNHS09	Incisio et revisio infectionis tendinis, fodled og fod
KNHS19	Incisio et revisio infectionis articuli, fodled og fod
KNHS29	Incisio et revisio infectionis ossis, fodled og fod
KNHS39	Incisio/revisio infect. tendinis, fodled/fod c installation
KNHS49	Incisio/revisio infectionis, fodled og fod cum installation
KNHS59	Incisio/revisio infect. ossis, fodled og fod c installation
KNHS69	Extractio instillationis pro infectionem, fodled og fod
KNHS99	Op. for infektion i sener, led og knogle, fodled/fod, anden
KNHT	Specielle procedurer og andre operationer, fodled og fod
KNHT09	Fjernelse af fremmedlegeme fra væv i ankel og fod
KNHT19	Brissement force articuli, fodled og fod
KNHT39	Correctio deform. art./extremitas, fodled og fod, bløddelso
KNHT49	Correctio deform. art./extremitas, fodled og fod m fiksatio
KNHT50	Pseudoartrose-opr., fodled og fod
KNHT51	Pseudoartrose-opr. m. osteosyntese, fodled og fod
KNHT52	Pseudoartrose-opr. m. ekst. fiksat., fodled og fod
KNHT53	Pseudoartrose-opr. m.osteosyn/ekst.fiks, fodled og fod
KNHT99	Andre operationer, fodled og fod
KNHU	Fjern. af implantat og ext. fiksationsudstyr, fodled og fod
KNHU01	Fjernelse af delprotese fra fodled, proximal enkeltkomponen
KNHU02	Fjernelse af delprotese fra fodled, distal enkeltkomponent
KNHU09	Fjernelse af delprotese fra fodled uden specifikation
KNHU10	Fjernelse af protese (del heraf), fodled, total
KNHU11	Fjernelse af protese (del heraf), fodled, proximal komponen
KNHU12	Fjernelse af protese (del heraf), fodled, distal komponent
KNHU19	Fjernelse af protese (del heraf), fodled uden specifikation
KNHU20	Fjernelse af ledprotese fra andre led i fod, total
KNHU21	Fjernelse af ledprotese fra led i fod, prox. enkeltkomponen
KNHU22	Fjernelse af ledprotese fra led i fod, dist. enkeltkomponen
KNHU29	Fjernelse af ledprotese fra andre led i fod, u specifikatio
KNHU39	Fjernelse af eksternt fiksationsudstyr, fodled og fod
KNHU39A	Fjernelse af eksternt fiksationsudstyr i fodled
KNHU39B	Fjernelse af eksternt fiksationsudstyr i fod
KNHU49	Fjernelse af internt fiksationsudstyr, fodled og fod
KNHU49A	Fjernelse af internt fiksationsudstyr i fodled
KNHU49B	Fjernelse af internt fiksationsudstyr i fod
KNHU69	Fjernelse af kunstigt ligament, fodled og fod
KNHU69A	Fjernelse af kunstigt ligament i fodled
KNHU69B	Fjernelse af kunstigt ligament i fod
KNHU89	Fjernelse af implantat i forb. m. infektionsbeh. fodled/fod
KNHU89A	Fjernelse af implantat i forb. m. infektionsbeh. i fodled
KNHU89B	Fjernelse af implantat i forb. m. infektionsbeh. i fod
KNHU99	Fjernelse af andre implantater, fodled og fod
KNHU99A	Fjernelse af andre implantater i fodled
KNHU99B	Fjernelse af andre implantater i fod
KNHW	Reoperationer, fodled og fod
KNHW49	Reoperation pga. sårruptur, fodled og fod
KNHW59	Reoperation pga. overfladisk infektion, fodled og fod
KNHW69	Reoperation pga. dyb infektion, fodled og fod
KNHW79	Reoperation pga. overfladisk blødning, fodled og fod
KNHW89	Reoperation pga. dyb blødning, fodled og fod
KNHW99	Reoperation, anden uspecificeret, fodled og fod
KP	Operationer på perifere kar og lymfesystemet
KPA	Opr. på arterier afgående fra aortabuen eller dens grene
KPAA	Eksplor. af arterier afgående fra aortabuen eller dens gren
KPAA10	Eksploration af truncus brachiocephalicus
KPAA20	Eksploration af a. carotis communis
KPAA21	Eksploration af a. carotis interna
KPAA30	Eksploration af a. subclavia
KPAA99	Eksploration af anden arterie afgående fra aortabuen
KPAB	Ligatur af arterier afgående fra aortabuen eller dens grene
KPAB10	Ligatur af truncus brachiocephalicus
KPAB20	Ligatur af a. carotis communis
KPAB21	Ligatur af a. carotis interna
KPAB22	Ligatur af a. carotis externa
KPAB30	Ligatur af a. subclavia
KPAB40	Ligatur af a. vertebralis
KPAB99	Ligatur af anden arterie fra aortabuen eller dens grene
KPAC	Sutur af arterier afgående fra aortabuen eller dens grene
KPAC10	Sutur af truncus brachiocephalicus
KPAC20	Sutur af a. carotis communis
KPAC21	Sutur af a. carotis interna
KPAC30	Sutur af a. subclavia
KPAC99	Sutur af anden arterie afgående fra aortabuen el dens grene
KPAE	Trombektomi/embolektomi i arterie afg. fra aortabuen/grene
KPAE10	Thrombektomi/embolektomi i truncus brachiocephalicus
KPAE25	Thrombektomi/embolektomi af a. carotis
KPAE30	Thrombektomi/embolektomi i a. subclavia
KPAE99	Thrombektomi/embolekt i anden arterie fra aortabuen m grene
KPAF	Trombendarterektomi i arterie afgående fra aortabuen/grene
KPAF10	Thrombendarterektomi i truncus brachiocephalicus
KPAF20	Thrombendarterektomi i a. carotis communis
KPAF21	Thrombendarterektomi i a. carotis interna
KPAF22	Thrombendarterektomi i a. carotis externa
KPAF30	Thrombendarterektomi i a. subclavia
KPAF40	Thrombendarterektomi i a. vertebralis
KPAF99	Thrombendarterektomi i anden arterie fra aortabuen m grene
KPAG	Aneurismeoperation på arterier afgående fra aortabuen/grene
KPAG10	Operation for aneurisme på truncus brachiocephalicus
KPAG20	Operation for aneurisme på a. carotis communis
KPAG21	Operation for aneurisme på a. carotis interna
KPAG30	Operation for aneurisme på a. subclavia
KPAG99	Op. for aneur. på anden arterie fra aortabuen og dens grene
KPAH	By-pass fra arterier afgående fra aortabuen eller dens gren
KPAH10	By-pass fra truncus brachiocephalicus
KPAH20	By-pass fra a. carotis communis
KPAH21	By-pass fra a. carotis interna
KPAH25	By-pass fra a. carotis til a. subclavia
KPAH30	By-pass fra a. subclavia
KPAH99	By-pass fra arterie afgående fra aortabuen eller dens grene
KPAJ	Transposition af arterier afgående fra aortabuen/grene
KPAJ30	Transposition af a. subclavia
KPAJ40	Transposition af a. vertebralis
KPAJ99	Transposition af anden arterie fra aortabuen m grene
KPAK	Reimplantation af arterier afgående fra aortabuen/grene
KPAK10	Reimplantation af truncus brachiocephalicus
KPAK20	Reimplantation af a. carotis communis
KPAK21	Reimplantation af a. carotis interna
KPAK30	Reimplantation af a. subclavia
KPAK40	Reimplantation af a. vertebralis
KPAK99	Reimplantation af anden arterie fra aortabuen og grene
KPAM	Lukning af fistel fra arterier afgående fra aortabuen/grene
KPAM21	Lukning af fistel fra a. carotis interna
KPAM22	Lukning af fistel fra a. carotis externa
KPAM30	Lukning af fistel fra a. subclavia
KPAM99	Lukning af anden fistel fra arterie fra aortabuen og grene
KPAN	Plastik på arterier afgående fra aortabuen eller dens grene
KPAN10	Plastik på truncus brachiocephalicus
KPAN20	Plastik på a. carotis communis
KPAN21	Plastik på a. carotis interna
KPAN30	Plastik på a. subclavia
KPAN40	Plastik på a. vertebralis
KPAN99	Plastik på anden arterie afgående fra aortabuen og grene
KPAP	Perkutan plastik på arterier afgående fra aortabuen/grene
KPAP10	Plastik på truncus brachiocephalicus, perkutan
KPAP20	Plastik på a. carotis communis, perkutan
KPAP21	Plastik på a. carotis interna, perkutan
KPAP30	Plastik på a. subclavia, perkutan
KPAP99	Plastik på anden arterie fra aortabuen og grene, perkutan
KPAQ	Indlæg. endovask.implant. i arterie afg. fra aortabuen/gren
KPAQ10	Indlæggelse af endovask. implantat i truncus brachiocephal.
KPAQ20	Indlægg. af endovaskulært implantat i a. carotis communis
KPAQ21	Indlæggelse af endovaskulært implantat i a. carotis interna
KPAQ30	Indlæggelse af endovaskulært implantat i a. subclavia
KPAQ99	Indlægg. endovask.implantat, anden art, fra aortabuen/grene
KPAR	Udtagn. endovask.implant. fra art. afg. fra aortabuen/grene
KPAR10	Udtagn af endovask implantat fra truncus brachiocephalicus
KPAR20	Udtagning af endovaskulært implantat fra a. carotis communi
KPAR21	Udtagning af endovaskulært implantat fra a. carotis interna
KPAR30	Udtagning af endovaskulært implantat fra a. subclavia
KPAR99	Udtagning af endovask. implantat fra arterie fra aortabuen
KPAT	Injekt.lægemiddel/okklud.mat. i art. afg.fra aortabuen/gren
KPAT30	Injektion af lægemiddel/embolisation i a. subclavia
KPAT70	Okklusion af spinalarterie, endovaskulær
KPAT80	Endovask. okklusion af arterie til ekstrakraniel AV-misdan.
KPAT99	Inj. af lægemiddel/embolis. i arterie fra aortabuen m grene
KPAU	Op. eft.tidl.rekonstruktion på art. afg.fra aortabuen/grene
KPAU74	Thrombekt/embolekt i by-pass fra a. carotis/subclavia/axil.
KPAU88	Extirpation af by-pass på a. carotis/subclavia/axillaris
KPAU99	Op. efter rekonstr på arterier fra aortabuen og grene, ande
KPAW	Andre op. på arterie afgående fra aortabuen eller dens gren
KPAW23	Biopsi af a. temporalis
KPAW99	Op. på arterier afgående fra aortabuen og dens grene, anden
KPB	Operationer på arterier i overekstremiteten
KPBA	Eksploration af arterier i overekstremiteten
KPBA10	Eksploration af a. axillaris
KPBA20	Eksploration af a. brachialis
KPBA30	Eksploration af a. radialis eller a. ulnaris
KPBA99	Eksploration af anden arterie i overekstremiteten
KPBB	Ligatur af arterier i overekstremiteten
KPBB10	Ligatur af a. axillaris
KPBB20	Ligatur af a. brachialis
KPBB30	Ligatur af a. radialis eller a. ulnaris
KPBB99	Ligatur af anden arterie i overekstremiteten
KPBC	Sutur af arterier i overekstremiteten
KPBC10	Sutur af a. axillaris
KPBC20	Sutur af a. brachialis
KPBC30	Sutur af a. radialis eller a. ulnaris
KPBC99	Sutur af anden arterie i overekstremiteten
KPBE	Trombektomi/embolektomi i arterier i overekstremiteten
KPBE10	Thrombektomi/embolektomi i a. axillaris
KPBE20	Thrombektomi/embolektomi i a. brachialis
KPBE30	Thrombektomi/embolektomi i a. radialis eller a. ulnaris
KPBE99	Thrombektomi/embolektomi i anden arterie i overekstremitete
KPBF	Trombendarterieektomi i arterier i overekstremiteten
KPBF10	Thrombendarterektomi i a. axillaris
KPBF20	Thrombendarterektomi i a. brachialis
KPBF99	Thrombendarterektomi i anden arterie i overekstremiteten
KPBG	Aneurismeoperation på arterier i overekstremiteten
KPBG10	Operation for aneurisme på a. axillaris
KPBG20	Operation for aneurisme på a. brachialis
KPBG80	Okkluderende kompression af pseudeaneurisme på arterie i OE
KPBG99	Operation for aneurisme på anden arterie i overekstremitete
KPBH	By-pass fra arterier i overekstremiteten
KPBH10	By-pass fra a. axillaris
KPBH20	By-pass fra a. brachialis
KPBH99	By-pass fra anden arterie i overekstremiteten
KPBL	Anlæggelse af a-v fistel på arterier i overekstremiteten
KPBL10	Anlæggelse af a-v fistel fra a. axillaris
KPBL10A	Anlæggelse af a-v fistel fra a. axillaris med protese
KPBL20	Anlæggelse af a-v fistel fra a. brachialis
KPBL20A	Anlæggelse af a-v fistel fra a. brachialis med protese
KPBL30	Anlæggelse af a-v fistel fra a. radialis eller a. ulnaris
KPBL30A	Anlægg. af a-v fistel fra a. radialis/a. ulnaris med protese
KPBL99	Anlæggelse af a-v fistel fra anden arterie i overekstr.
KPBM	Lukning af a-v fistel fra arterier i overekstremiteten
KPBM10	Lukning af a-v fistel fra a. axillaris
KPBM10A	Fjernelse af protese fra a-v fistel fra a. axillaris
KPBM20	Lukning af a-v fistel fra a. brachialis
KPBM20A	Fjernelse af protese fra a-v fistel fra a. brachialis
KPBM30	Lukning af a-v fistel fra a. radialis eller a. ulnaris
KPBM30A	Fjern. af protese fra a-v fistel fra a. radialis el. ulnaris
KPBM99	Lukning af a-v fistel fra anden arterie i overekstremiteten
KPBN	Plastik på arterier i overekstremiteten
KPBN10	Plastik på a. axillaris
KPBN20	Plastik på a. brachialis
KPBN99	Plastik på anden arterie i overekstremiteten
KPBP	Perkutan plastik på arterier i overekstremiteten
KPBP10	Plastik på a. axillaris, perkutan
KPBP20	Plastik på a. brachialis, perkutan
KPBP50	Perkutan indlæggelse af stent i arterie i overekstremiteten
KPBP99	Plastik på anden arterie i overekstremiteten, perkutan
KPBQ	Indlæggelse af endovaskulært implantat i arterie
KPBQ10	Indlæggelse af endovaskulært implantat i a. axillaris
KPBQ20	Indlæggelse af endovaskulært implantat i a. brachialis
KPBQ99	Indlæggelse af endovaskulært implantat i anden arterie i OE
KPBT	Injektion af lægemiddel/embolisation i arterie
KPBT10	Injektion af lægemiddel/embolisation i a. axillaris
KPBT20	Injektion af lægemiddel/embolisation i a. brachialis
KPBT99	Injektion af lægemiddel/embolisation i anden arterie, OE
KPBU	Op. eft. tidl. rekonstruktion på arterie i overekstremitete
KPBU74	Thrombektomi i a-v fistel på arterie i overekstremiteten
KPBU82	Plastik på a-v fistel på arterie i overekstremiteten
KPBU83	Perkutan plastik på AV-fistel fra arterie i overekstremitet
KPBU88	Excision af by-pass på arterie i overekstremiteten
KPBU89	Ligatur af by-pass på arterie i overekstremiteten
KPBU99	Op. efter rekonstr. på arterier i overekstremiteten, anden
KPBW	Andre operationer på arterier i overekstremiteten
KPBW99	Operation på arterier i overekstremiteten, anden
KPC	Opr. på suprarenale aorta abdominalis og visceralarterier
KPCA	Eksploration af visceralarterier
KPCA40	Eksploration af a. renalis
KPCA99	Eksploration af anden visceralarterie
KPCB	Ligatur af visceralarterier
KPCB20	Ligatur af truncus coeliacus og dens grene
KPCB30	Ligatur af a. mesenterica superior
KPCB40	Ligatur af a. renalis
KPCB99	Ligatur af anden visceralarterie
KPCC	Sutur af suprarenale bugaorta og visceralarterier
KPCC10	Sutur af bugaorta (supracoeliakalt eller juxtarenalt)
KPCC20	Sutur af truncus coeliacus og dens grene
KPCC30	Sutur af a. mesenterica superior
KPCC40	Sutur af a. renalis
KPCC99	Sutur af anden visceralarterie
KPCE	Trombektomi/embolektomi i visceralarterier
KPCE30	Thrombektomi/embolektomi i a. mesenterica superior
KPCE40	Thrombektomi/embolektomi i a. renalis
KPCE99	Thrombektomi/embolektomi i anden visceralarterie
KPCF	Thrombendarterektomi i visceralarterier
KPCF20	Thrombendarterektomi i truncus coeliacus og dens grene
KPCF30	Thrombendarterektomi i a. mesenterica superior
KPCF40	Thrombendarterektomi i a. renalis
KPCF99	Thrombendarterektomi i anden visceralarterie
KPCG	Aneurismeop. på suprarenale aorta abdomin./visceralarterier
KPCG10	Op. for aneurisme, bugaorta (supracoeliakalt el juxtarenalt
KPCG20	Operation for aneurisme på truncus coeliacus og dens grene
KPCG30	Operation for aneurisme på a. mesenterica superior
KPCG40	Operation for aneurisme på a. renalis
KPCG99	Operation for aneurisme på anden visceralarterie
KPCH	By-pass fra suprarenale aorta abdominal. og visceralarterie
KPCH10	By-pass, aorta abdominalis (supracoeliakalt el juxtarenalt)
KPCH20	By-pass fra truncus coeliacus og dens grene
KPCH30	By-pass fra a. mesenterica superior
KPCH40	By-pass fra a. renalis
KPCH99	By-pass fra anden visceralarterie
KPCJ	Transposition af visceralarterier
KPCJ30	Transposition af a. mesenterica superior
KPCJ40	Transposition af a. renalis
KPCJ99	Transposition af anden visceralarterie
KPCK	Reimplantation af visceralarterier
KPCK20	Reimplantation af truncus coeliacus og dens grene
KPCK30	Reimplantation af a. mesenterica superior
KPCK40	Reimplantation af a. renalis
KPCK50	Reimplantation af a. mesenterica inferior
KPCK99	Reimplantation af anden visceralarterie
KPCN	Plastik på visceralarterier
KPCN20	Plastik på truncus coeliacus og dens grene
KPCN30	Plastik på a. mesenterica superior
KPCN40	Plastik på a. renalis
KPCN40A	Plastik på arteria renalis til transplanteret nyre
KPCN99	Plastik på anden visceralarterie
KPCP	Perkutan plastik på visceralarterier
KPCP10	Perkutan plastik på suprarenale aorta
KPCP15	Perkutan plastik på suprarenale aorta med stentanlæggelse
KPCP20	Plastik på truncus coeliacus og dens grene, perkutan
KPCP30	Plastik på a. mesenterica superior, perkutan
KPCP40	Plastik på a. renalis, perkutan
KPCP40A	Perkutan plastik på a. renalis, transplanteret nyre
KPCP50	Perkutan indlæggelse af stent i visceralarterie
KPCP99	Plastik på anden visceralarterie, perkutan
KPCQ	Indlæggelse af endovaskulært implantat i visceralarterier
KPCQ20	Indlægg. endovaskulært implantat, truncus coeliacus (grene)
KPCQ30	Indlæggelse af endovaskulært implantat i a. mesenterica sup
KPCQ40	Indlæggelse af endovaskulært implantat i a. renalis
KPCQ99	Indlæggelse af endovask. implantat i anden visceralarterie
KPCR	Udtagning af endovasculært implantat fra visceralarterier
KPCR20	Udtagn af endovask implantat fra truncus coeliacus m grene
KPCR30	Udtagning af endovaskulært implantat fra a. mesenterica sup
KPCR40	Udtagning af endovaskulært implantat fra a. renalis
KPCR99	Udtagning af endovask. implantat fra anden visceralarterie
KPCS	Endoskopisk/ultralyd operation på visceralarterier
KPCS40	Operation på a. renalis, endoskopisk/ultralyd
KPCS99	Operation på anden visceralarterie, endoskopisk/ultralyd
KPCT	Injekt. af lægemiddel/okkluderende mat. i visceralarterier
KPCT20	Inj. af lægemiddel/embolisation i truncus coeliacus og gren
KPCT30	Injektion af lægemiddel/embolisation i a. mesenterica sup.
KPCT40	Injektion af lægemiddel/embolisation i a. renalis
KPCT99	Injektion af lægemiddel/embolisation, anden visceralarterie
KPCU	Op.eft. tidl.rekonstrukt. på supraren.aorta/visceralarterie
KPCU74	Thrombekt/embolekt i by-pass på supraren aorta og visc.arte
KPCU80	Excision af by-pass på suprarenale aorta og visceralarterie
KPCU82	Plastik på by-pass på infrarenale aorta og a. poplitea
KPCU83	Perkut.plastik på by-pass fra suprarenale aorta/visceralart.
KPCU84	Indl. af endovask. implantat i by-pass på aorta/visceralart
KPCU85	Udtagn af endovask implantat fra by-pass på supraren aorta
KPCU86	Op. på by-pass, supraren aorta og visc.art, endosk/ultralyd
KPCU87	Inj. lægemiddel/embol. i bypass, supraren. aorta og visc.ar
KPCU99	Op. efter rekonstr. på supraren aorta og visceralart, anden
KPCW	Andre operationer på suprarenale aorta og visceralarterier
KPCW20	Perkutan transluminal fenestrering/suprarenale a.abdominalis
KPCW99	Operation på suprarenale aorta og visceralarterier, anden
KPD	Opr. på infrarenale a. abdominalis og a. iliaca, opr. derfra samt distale forb.
KPDA	Eksploration af infrarenale aorta og a. iliaca
KPDA10	Eksploration af infrarenale aorta
KPDA30	Eksploration af a. iliaca
KPDC	Sutur af infrarenale aorta og a. iliaca
KPDC10	Sutur af infrarenale aorta
KPDC30	Sutur af a. iliaca
KPDE	Trombektomi/embolektomi i infrarenale aorta og a. iliaca
KPDE10	Thrombektomi/embolektomi i infrarenale aorta
KPDE30	Thrombektomi/embolektomi i a. iliaca
KPDF	Trombendarterektomi i infrarenale aorta og a. iliaca
KPDF10	Thrombendarterektomi i infrarenale aorta
KPDF15	Trombendarterektomi i aorto-iliakalt segment
KPDF30	Thrombendarterektomi i a. iliaca
KPDF35	Trombendarterektomi i iliaka-femoral segmentet
KPDG	Aneurismeoperation på infrarenale aorta og a. iliaca
KPDG10	Operation for aneurisme på infrarenale aorta
KPDG20	Operation for aneurisme med aorto-iliakal by-pass
KPDG21	Operation for aneurisme med aorto-biiliakal by-pass
KPDG22	Op. for aneurisme med iliaca/-femoral by-pass, kontralatera
KPDG23	Operation for aneurisme med aorto-femoral by-pass
KPDG24	Operation for aneurisme med aorto-bifemoral by-pass
KPDG30	Operation for aneurisme på a. iliaca
KPDG35	Operation for aneurisme med iliaco-femoral by-pass
KPDG99	Op. for aneur på infraren aorta og a. iliaca m anden by-pas
KPDH	By-pass fra infrarenale aorta og a. iliaca
KPDH10	By-pass af segment af infrarenale aorta
KPDH20	By-pass, aorto(pars infrarenalis)-iliacal
KPDH21	By-pass, aorto(pars infrarenalis)-biiliacal
KPDH22	By-pass, aorto(pars infrarenalis)-iliakal-femoral, kontrala
KPDH23	By-pass, aorto(pars infrarenalis)-femoral
KPDH24	By-pass, aorto(pars infrarenalis)-bifemoral
KPDH30	By-pass af segment af a. iliaca
KPDH35	By-pass, iliaco-femoral
KPDH99	By-pass fra infrarenale aorta og a. iliaca, anden
KPDN	Plastik på infrarenale aorta og a. iliaca
KPDN10	Plastik på infrarenale aorta
KPDN30	Plastik på a. iliaca
KPDP	Perkutan plastik på infrarenale aorta og a. iliaca
KPDP10	Plastik på infrarenale aorta, perkutan
KPDP30	Plastik på a. iliaca, perkutan
KPDP50	Perkutan indlæggelse af stent i infrarenale aorta/a.iliaca
KPDQ	Indlæg.af endovask.implantat i infrarenale aorta og a.iliac
KPDQ10	Indlæggelse af endovaskulært implantat i infrarenale aorta
KPDQ30	Indlæggelse af endovaskulært implantat i a. iliaca
KPDR	Udtag.af endovask.implantat fra infraren.aorta og a.iliaca
KPDR10	Udtagning af endovaskulært implantat fra infrarenale aorta
KPDR30	Udtagning af endovaskulært implantat fra a. iliaca
KPDS	Endoskopisk/ultralyd op. på infrarenale aorta og a.iliaca
KPDS10	Operation på infrarenale aorta, endoskopisk/ultralyd
KPDS30	Operation på a. iliaca, endoskopisk/ultralyd
KPDT	Injekt.af lægemiddel/embolisation i infraren.aorta/a.iliaca
KPDT10	Injektion af lægemiddel/embolisation i infrarenale aorta
KPDT30	Injektion af lægemiddel/embolisation i a. iliaca
KPDT40	Embolisering af a. uterina
KPDU	Op. eft. tidl. rekonstrukt. på infrarenale aorta og a.iliac
KPDU74	Thrombekt/embolekt i by-pass fra infraren aorta og a. iliac
KPDU82	Angioplastik af by-pass fra infrarenale aorta og a. iliaca
KPDU83	Perkut.plastik på by-pass fra infrarenale aorta/a. iliaca
KPDU84	Indlægg.endovask.implantat i by-pass, infraren.aorta/iliaca
KPDU85	Udtagn af endovask implant fra by-pass fra aorta og a. ilia
KPDU86	Endoskopisk operation på by-pass fra infraren.aorta/iliaca
KPDU87	Inj.lægemiddel/embolisation i by-pass,infraren.aorta/iliaca
KPDU88	Excision af by-pass fra infrarenale aorta og a. iliaca
KPDU99	Op. efter rekonstr. på infrarenale aorta og a. iliaca, ande
KPDW	Andre operationer på infrarenale aorta og a. iliaca
KPDW20	Perkutan transluminal fenestrering/infrarenale a.abdominalis
KPDW99	Op. på infraren aorta og a. iliaca, op. derfra og perifert
KPE	Opr. på a. femoralis og dens grene samt opr. derfra til a. poplitea
KPEA	Eksploration af a. femoralis og dens grene
KPEA10	Eksploration af a. femoralis communis
KPEA11	Eksploration af a. profunda femoris
KPEA12	Eksploration af a. femoralis superficialis
KPEC	Sutur af a. femoralis og dens grene
KPEC10	Sutur af a. femoralis communis
KPEC11	Sutur af a. profunda femoris
KPEC12	Sutur af a. femoralis superficialis
KPEE	Trombektomi/embolektomi i a. femoralis og dens grene
KPEE10	Thrombektomi/embolektomi i a. femoralis communis
KPEE11	Thrombektomi/embolektomi i a. profunda femoris
KPEE12	Thrombektomi/embolektomi i a. femoralis superficialis
KPEF	Thromendarterektomi i a. femoralis og dens grene
KPEF10	Thrombendarterektomi i a. femoralis communis
KPEF11	Thrombendarterektomi i a. profunda femoris
KPEF12	Thrombendarterektomi i a. femoralis superficialis
KPEG	Aneurismeoperation på a. femoralis og dens grene
KPEG10	Operation for aneurisme på a. femoralis communis
KPEG11	Operation for aneurisme på a. profunda femoris
KPEG12	Operation for aneurisme på a. femoralis superficialis
KPEG80	Okklud. kompression af pseudoaneurisme på a.femoralis/grene
KPEH	By-pass fra a. femoralis og dens grene
KPEH10	By-pass fra a. femoralis communis
KPEH11	By-pass fra a. profunda femoris
KPEH12	By-pass fra a. femoralis superficialis
KPEH20	By-pass fra a. femoralis til a. poplitea oven for knæled
KPEH30	By-pass fra a. femoralis til a. poplitea nedenfor knæled
KPEL	Anlæg. af arteriovenøs fistel fra art. til vena femoralis
KPEL10	Anlæg. af arteriovenøs fistel fra art. til vena femoralis
KPEL10A	Anlæggelse af a-v fistel fra a. femoralis med protese
KPEM	Nedlæg. af arteriovenøs fistel fra art. til vena femoralis
KPEM10	Nedlæg. af arteriovenøs fistel fra art. til vena femoralis
KPEM10A	Fjernelse af protese fra a-v fistel fra a. femoralis
KPEN	Plastik på a. femoralis og dens grene
KPEN10	Plastik på a. femoralis communis
KPEN11	Plastik på a. profunda femoris
KPEN12	Plastik på a. femoralis superficialis
KPEP	Perkutan plastik på a. femoralis og dens grene
KPEP10	Plastik på a. femoralis communis, perkutan
KPEP11	Plastik på a. profunda femoris, perkutan
KPEP12	Plastik på a. femoralis superficialis, perkutan
KPEP50	Perkutan indlæggelse af stent i a. femoralis/femoralis gren
KPEQ	Indlæg. af endovask. implantat i a.femoralis og dens grene
KPEQ10	Indlæggelse af endovaskulært implantat i a. fem. communis
KPEQ11	Indlægg. af endovaskulært implantat i a. profunda femoris
KPEQ12	Indlæggelse af endovaskulært implantat i a. fem. superfic.
KPEQ99	Indlæggelse af endovask implantat, a. fem. og grene, anden
KPER	Udtag. af endovask. implantat fra a.femoralis og dens grene
KPER10	Udtagning af endovaskulært implantat fra a. fem. communis
KPER11	Udtagning af endovaskulært implantat fra a. profunda femori
KPER12	Udtagning af endovask. implantat fra a. fem. superficialis
KPES	Endoskopisk/ultrasonograf. op. på a.femoralis og dens grene
KPES10	Operation på a. femoralis communis, endoskopisk/ultralyd
KPES11	Operation på a. profunda femoris, endoskopisk/ultralyd
KPES12	Operation på a. femor. superficialis, endoskopisk/ultralyd
KPET	Injekt.af lægemid./embolisation i a.femoralis og dens grene
KPET10	Injektion af lægemiddel/embolisation i a.femoralis communis
KPET11	Injektion af lægemiddel/embolisation i a. profunda femoris
KPET12	Injektion af lægemiddel/embolisation i a.femoralis superfic.
KPET20	Inj. af lægemiddel/embolis. i by-pass fra a. fem til a. pop
KPEU	Op.eft.tidl.rekonstrukt,a.femoralis/grene/forb.til a.poplit
KPEU67	Trombektomi i a-v fistel fra a. femoralis
KPEU68	Plastik på a-v fistel på a. femoralis
KPEU69	Perkutan plastik på a-v fistel på a. femoralis
KPEU74	Thrombektomi/embolektomi i by-pass fra a. fem. til a. popl.
KPEU76	Op. for anuerisme på by-pass fra a. femoralis til a. popl.
KPEU81	Ligatur af a-v fistel efter by-pass fra a. femoralis
KPEU82	Plastik på by-pass fra a. femoralis og dens grene
KPEU83	Perkutan plastik på by-pass fra a. femoralis til a. poplit.
KPEU84	Indl. af endovask. implant i by-pass fra a. fem. til a. pop
KPEU85	Udtagning af endovask implant fra by-pass a. fem til a. pop
KPEU86	Op. på by-pass fra a. fem. til a. popl, endoskopisk/ultraly
KPEU87	Perkut.okklusion af AV-fistel fra by-pass, a.femor.-poplit.
KPEU88	Excision af by-pass fra a. femoralis
KPEU89	Ligatur af by-pass til a. femoralis
KPEU99	Op. efter rekonstr på a fem og grene samt til a. popl, ande
KPEW	Andre op.på a.femoralis, grene samt forbind. til a.poplit.
KPEW99	Op. på a. fem. og grene samt forb. til a. poplitea, anden
KPF	Opr. fra a. femoralis til infrapoplitale arterier samt opr. på a. poplitea og arterier på underben og fod
KPFA	Eksploration af a. poplitea
KPFA10	Eksploration af a. poplitea
KPFB	Ligatur af a. poplitea, crus- eller fodarterie
KPFB10	Ligatur af a. poplitea
KPFB30	Ligatur af crus - eller fodarterie
KPFC	Sutur af a. poplitea
KPFC10	Sutur af a. poplitea
KPFE	Tromb-/embolektomi,a.femoral, a.poplitea, crus-, fodarterie
KPFE10	Thrombektomi/embolektomi i a. poplitea
KPFE30	Thrombektomi/embolektomi i crus- eller fodarterie
KPFG	Aneurismeoperation på a. poplitea
KPFG10	Operation for aneurisme på a. poplitea
KPFG80	Okklud. kompression af pseudoaneurisme på a.poplitea/grene
KPFH	By-pass fra a. femoralis og a. poplitea
KPFH10	By-pass fra a. poplitea
KPFH20	By-pass fra a. femoralis/a. poplitea til crusarterie
KPFH21	By-pass, a. femoralis/a. poplitea til a. tibialis ant, prox
KPFH22	By-pass, a. femoralis/a. poplitea til a. tib. ant, distal
