A00    Kolera
W30    Kontakt med jordbruksmaskin
V31    F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med cykel
W31    Kontakt med annan och icke specificerad maskin
V32    F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med annat tv†- eller trehjuligt motorfordon
W32    Skott fr†n pistol och revolver
V33    F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med personbil eller l„tt lastbil
W33    Skott fr†n gev„r, hagelb”ssa och tyngre skjutvapen
V34    F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med tung lastbil eller buss
W34    Skott fr†n andra och icke specificerade skjutvapen
W35    Explosion i †ngpanna
V35    F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med t†g
W36    Explosion av gascylinder
V36    F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med annat icke motordrivet fordon
W37    Explosion av d„ck, r”r eller slang (under ”vertryck)
V37    F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l
W38    Explosion av andra specificerade f”rem†l under ”vertryck
V38    F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision
W39    Explosion av fyrverkeripj„s
V39    F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka
W40    Explosion av andra spr„ng„mnen
V40    F”rare av eller passagerare i personbil skadad i kollision med fotg„ngare eller djur
W41    Exponering f”r h”gtrycksstr†le
V41    F”rare av eller passagerare i personbil skadad i kollision med cykel,
W42    Exponering f”r buller
V42    F”rare av eller passagerare i personbil skadad i kollision med tv†- eller trehjuligt motorfordon
W43    Exponering f”r vibrationer
V43    F”rare av eller passagerare i personbil skadad i kollision med personbil eller l„tt lastbil
W44    Fr„mmande kropp som tr„ngt in i eller genom ”ga eller naturlig kropps”ppning
V44    F”rare av eller passagerare i personbil skadad i kollision med tung lastbil eller buss
W45    Fr„mmande kropp som tr„ngt in genom huden
V45    F”rare av eller passagerare i personbil skadad i kollision med t†g
V46    F”rare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon
V47    F”rare av eller passagerare i personbil skadad i kollision med fast eller stillast†ende f”rem†l
V48    F”rare av eller passagerare i personbil skadad i transportolycka, ej kollision
W49    Exponerad f”r andra och icke specificerade icke levande mekaniska krafter
V49    F”rare av eller passagerare i personbil skadad i transportolycka
V50    F”rare av eller passagerare i l„tt lastbil skadad i kollision med fotg„ngare eller djur
W50    Slagen, sparkad, biten eller riven av annan person
V51    F”rare av eller passagerare i l„tt lastbil skadad i kollision med cykel
W51    Slagit sig mot eller t”rnat emot annan person
V52    F”rare av eller passagerare i l„tt lastbil skadad i kollision med tv†- eller trehjuligt motorfordon
W52    Kl„md, knuffad eller nedtrampad av folkmassa
W53    Biten av r†tta
V53    F”rare av eller passagerare i l„tt lastbil skadad i kollision med personbil eller l„tt lastbil
W54    Biten eller angripen av hund
V54    F”rare av eller passagerare i l„tt lastbil skadad i kollision med tung lastbil eller buss
W55    Biten eller angripen av annat d„ggdjur
V55    F”rare av eller passagerare i l„tt lastbil skadad i kollision med t†g
W56    Biten eller angripen av marina d„ggdjur
V56    F”rare av eller passagerare i l„tt lastbil skadad i kollision med annat icke motordrivet fordon
W57    Bett och stick av icke giftig insekt och andra icke giftiga leddjur
V57    F”rare av eller passagerare i l„tt lastbil skadad i kollision med fast eller stillast†ende f”rem†l
W58    Biten eller angripen av krokodil eller alligator
V58    F”rare av eller passagerare i l„tt lastbil skadad i transportolycka, ej kollision
W59    Biten eller angripen av andra kr„ldjur
V59    F”rare av eller passagerare i l„tt lastbil skadad i transportolycka
V60    F”rare av eller passagerare i tung lastbil skadad i kollision med fotg„ngare eller djur
W60    Kontakt med t”rnen och taggar p† v„xter samt vassa blad
V61    F”rare av eller passagerare i tung lastbil skadad i kollision med cykel
V62    F”rare av eller passagerare i tung lastbil skadad i kollision med tv†- eller trehjuligt motorfordon
V63    F”rare av eller passagerare i tung lastbil skadad i kollision med personbil eller l„tt lastbil
W64    Exponering f”r andra och icke specificerade levande mekaniska krafter
V64    F”rare av eller passagerare i tung lastbil skadad i kollision med tung lastbil eller buss
W65    Drunkning och drunkningstillbud i badkar
V65    F”rare av eller passagerare i tung lastbil skadad i kollision med t†g
W66    Drunkning och drunkningstillbud efter fall ned i badkar
V66    F”rare av eller passagerare i tung lastbil skadad i kollision med annat icke motordrivet fordon
W67    Drunkning och drunkningstillbud i simbass„ng
V67    F”rare av eller passagerare i tung lastbil skadad i kollision med fast eller stillast†ende f”rem†l
W68    Drunkning och drunkningstillbud efter fall ned i simbass„ng
V68    F”rare av eller passagerare i tung lastbil skadad i transportolycka, ej kollision
W69    Drunkning och drunkningstillbud i hav, sj” och vattendrag
V69    F”rare av eller passagerare i tung lastbil skadad i transportolycka
W70    Drunkning och drunkningstillbud efter fall i hav, sj” och vattendrag
V70    F”rare av eller passagerare i buss skadad i kollision med fotg„ngare eller djur
V71    F”rare av eller passagerare i buss skadad i kollision med cykel
V72    F”rare av eller passagerare i buss skadad i kollision med tv†- eller trehjuligt motorfordon
W73    Annan specificerad drunkning och annat specificerat drunkningstillbud
V73    F”rare av eller passagerare i buss skadad i kollison med personbil eller l„tt lastbil
W74    Drunkning och drunkningstillbud, ospecificerat
V74    F”rare av eller passagerare i buss skadad i kollision med tung lastbil eller buss
V75    F”rare av eller passagerare i buss skadad i kollision med t†g
W75    Kv„vning, kv„vningstillbud och strypning i s„ngen
W76    Annan strypning och h„ngning genom olycksh„ndelse
V76    F”rare av eller passagerare i buss skadad i kollision med annat icke motordrivet fordon
V77    F”rare av eller passagerare i buss skadad i kollision med fast eller stillast†ende f”rem†l
W77    Kv„vning och kv„vningstillbud av jord- eller sandmassor
V78    F”rare av eller passagerare i buss skadad i transportolycka, ej kollision
W78    Inhalation av maginneh†ll
V79    F”rare av eller passagerare i buss skadad i transportolycka
W79    Inhalation och nedsv„ljning av f”da som orsakat andningshinder
W80    Inhalation och nedsv„ljning av andra f”rem†l eller „mnen som orsakat andningshinder
V80    Ryttare eller person i †kdon draget av djur skadad i transportolycka
W81    Inst„ngd eller f†ngad i utrymme med l†g syrgashalt
V81    T†gf”rare eller t†gpassagerare skadad i transportolycka
V82    Sp†rvagnsf”rare eller sp†rvagnspassagerare skadad i transportolycka
W83    Annan specificerad kv„vning och annat specificerat kv„vningstillbud
V83    F”rare av eller passagerare i eller p† industrifordon skadad i transportolycka
V84    F”rare eller passagerare i eller p† jordbruksfordon skadad i transportolycka
W84    Kv„vning och kv„vningstillbud, ospecificerat
W85    Exponering f”r kraftledningar
V85    F”rare eller passagerare i eller p† specialfordon skadad i transportolycka
W86    Exponering f”r annan specificerad elektrisk str”m
V86    F”rare eller passagerare i terr„ngfordon skadad i transportolycka
W87    Exponering f”r icke specificerad elektrisk str”m
V87    Trafikolycka d„r olyckstypen „r specificerad men d„r olycksoffrets transports„tt „r ok„nt
W88    Exponering f”r joniserande str†lning
V88    Olycka, ej trafik, d„r olyckstypen „r specificerad men d„r olycksoffrets transports„tt „r ok„nt
W89    Exponering f”r av m„nniska framst„llt synligt och ultraviolett ljus
V89    Olycka med motorfordon eller ej motordrivet fordon, fordonstyp ej specificerad
W90    Exponering f”r annan icke joniserande str†lning
W91    Exponering f”r icke specificerad str†lning
W92    Exponering f”r av m„nniska framst„lld extrem hetta
W93    Exponering f”r av m„nniska framst„lld extrem kyla
W94    Exponering f”r h”gt och l†gt lufttryck och f”r „ndringar i lufttryck
V95    Olycka med motordriven luftfarkost med skada p† ombordvarande
V96    Olycka med ej motordriven luftfarkost med skada p† ombordvarande
V97    Andra specificerade olyckor vid lufttransport
W99    Exponering f”r andra och icke specificerade, av m„nniska orsakade milj”faktorer
X00    Exponering f”r okontrollerad eld i byggnad eller byggnadskonstruktion
X01    Exponering f”r icke kontrollerad eld med undantag f”r eld i byggnad eller byggnadskonstruktion
X02    Exponering f”r kontrollerad eld i byggnad och byggnadskonstruktion
X03    Exponering f”r kontrollerad eld, med undantag f”r eld i byggnad eller byggnadskonstruktion
X04    Exponering f”r pl”tslig ant„ndning av mycket eldf„ngt material eller „mne
X05    Ant„ndning av nattdr„kter
X06    Ant„ndning av andra kl„desplagg
X08    Exponering f”r annan specificerad r”k och ”ppen eld
X09    Exponering f”r icke specificerad r”k och ”ppen eld
X10    Kontakt med het dryck, f”da, fett och matolja
X11    Kontakt med hett kranvatten
X12    Kontakt med andra heta v„tskor
X13    Kontakt med vatten†nga och andra heta †ngor
X14    Kontakt med het luft och heta gaser
X15    Kontakt med heta hush†llsredskap
X16    Kontakt med utrustning f”r uppv„rmning av byggnad, heta v„rmeelement och r”rledningar
X17    Kontakt med heta motorer, maskiner och verktyg
X18    Kontakt med andra heta metallf”rem†l
X19    Kontakt med andra och icke specificerade heta f”rem†l och heta „mnen
X20    Kontakt med giftiga ormar och ”dlor
X21    Kontakt med giftiga spindlar
X22    Kontakt med skorpioner
X23    Kontakt med b†lgetingar, getingar och bin
X24    Kontakt med giftiga tusenfotingar (tropiska)
X25    Kontakt med andra specificerade giftiga leddjur
X26    Kontakt med giftiga vattendjur och vattenv„xter
X27    Kontakt med andra specificerade giftiga djur
X28    Kontakt med andra specificerade giftiga v„xter
X29    Kontakt med giftigt djur eller giftig v„xt, ospecificerat
X30    Exponering f”r extrem naturlig v„rme
X31    Exponering f”r extrem naturlig k”ld
X32    Exponering f”r solljus
X33    Blixtnedslag
X34    Jordb„vning
X35    Vulkanutbrott
X36    Sn”skred, lavin, jordskred och andra r”relser i jordytan
X37    Katastrofartat ov„der
X38    ™versv„mning
X39    Exponering f”r andra och icke specificerade naturkrafter
X40    Oavsiktlig f”rgiftning med och exponering f”r sm„rtstillande l„kemedel av icke opiatkarakt„r, feberneds„ttande medel och medel mot reumatism
X41    Oavsiktlig f”rgiftning med och exponering f”r antiepileptika, lugnande l„kemedel och s”mnmedel, medel mot parkinsonism samt psykotropa l„kemedel som ej klassificeras annorst„des
X42    Oavsiktlig f”rgiftning med och exponering f”r narkotiska medel och hallucinogener som ej klassificeras annorst„des
X43    Oavsiktlig f”rgiftning med och exponering f”r andra l„kemedel som p†verkar det autonoma nervsystemet
X44    Oavsiktlig f”rgiftning med och exponering f”r andra och icke specificerade droger, l„kemedel och biologiska substanser
X45    Oavsiktlig f”rgiftning med och exponering f”r alkoholer
X46    Oavsiktlig f”rgiftning med och exponering f”r organiska l”sningsmedel och halogenerade kolv„ten och deras †ngor
X47    Oavsiktlig f”rgiftning med och exponering f”r andra gaser och †ngor
X48    Oavsiktlig f”rgiftning med och exponering f”r pesticider
X49    Oavsiktlig f”rgiftning med och exponering f”r andra och icke specificerade kemiska „mnen och skadliga substanser
X50    ™veranstr„ngning och p†frestande eller upprepade r”relser
X51    Resor och f”rflyttningar med ”veranstr„ngning och umb„randen
X52    Utdragen vistelse i tyngdl”s milj”
X53    Brist p† f”da
X54    Brist p† vatten
X57    Umb„randen, ospecificerade
X58    Exponering f”r andra specificerade faktorer
X59    Exponering f”r icke specificerad faktor
X60    Avsiktligt sj„lvdestruktiv handling genom f”rgiftning med och exponering f”r sm„rtstillande l„kemedel av icke opiatkarakt„r, feberneds„ttande medel och medel mot reumatism
X61    Avsiktligt sj„lvdestruktiv handling genom f”rgiftning med och exponering f”r antiepileptika, lugnande l„kemedel och s”mnmedel, medel mot parkinsonism samt psykotropa l„kemedel som ej klassificeras ann
X62    Avsiktligt sj„lvdestruktiv handling genom f”rgiftning med och exponering f”r narkotiska medel och hallucinogener som ej klassificeras annorst„des
X63    Avsiktligt sj„lvdestruktiv handling genom f”rgiftning med och exponering f”r andra l„kemedel som p†verkar det autonoma nervsystemet
X64    Avsiktligt sj„lvdestruktiv handling genom f”rgiftning med och exponeringen f”r andra och icke specificerade droger, l„kemedel och biologiska substanser
X65    Avsiktligt sj„lvdestruktiv handling genom f”rgiftning med och exponering f”r alkoholer
X66    Avsiktligt sj„lvdestruktiv handling genom f”rgiftning med och exponering f”r organiska l”sningsmedel och halogenerade kolv„ten och deras †ngor
X67    Avsiktligt sj„lvdestruktiv handling genom f”rgiftning med och exponering f”r andra gaser och †ngor
X68    Avsiktligt sj„lvdestruktiv handling genom f”rgiftning med och exponering f”r pesticider
X69    Avsiktligt sj„lvdestruktiv handling genom f”rgiftning med och exponering f”r andra och icke specificerade kemiska „mnen och skadliga substanser
X70    Avsiktligt sj„vdestruktiv handling genom h„ngning, strypning och kv„vning
X71    Avsiktligt sj„lvdestruktiv handling genom dr„nkning
X72    Avsiktligt sj„lvdestruktiv handling genom skott fr†n pistol och revolver
X73    Avsiktligt sj„lvdestruktiv handling genom skott fr†n gev„r, hagelgev„r och tyngre skjutvapen
X74    Avsiktligt sj„lvdestruktiv handling genom skott fr†n annat och icke specificerat skjutvapen
X75    Avsiktligt sj„lvdestruktiv handling med spr„ng„mnen
X76    Avsiktligt sj„lvdestruktiv handling med r”k och ”ppen eld
X77    Avsiktligt sj„lvdestruktiv handling med vatten†nga, andra heta †ngor och heta f”rem†l
X78    Avsiktligt sj„lvdestruktiv handling med sk„rande eller stickande f”rem†l
X79    Avsiktligt sj„lvdestruktiv handling med trubbigt f”rem†l
X80    Avsiktlig sj„lvdestruktiv handling genom hopp eller fall fr†n h”jd
X81    Avsiktligt sj„lvdestruktiv handling genom att kasta sig framf”r eller l„gga sig framf”r f”rem†l i r”relse
X82    Avsiktligt sj„lvdestruktiv handling med motorfordon
X83    Avsiktligt sj„lvdestruktiv handling med andra specificerade metoder
X84    Avsiktligt sj„lvdestruktiv handling med icke specificerade metoder
X85    ™vergrepp genom f”rgiftning med l„kemedel och biologiska substanser
X86    ™vergrepp med fr„tande „mnen
X87    ™vergrepp med pesticider
X88    ™vergrepp med gaser eller †ngor
X89    ™vergrepp med andra specificerade kemiska „mnen och skadliga substanser
X90    ”vergrepp med icke specificerade kemiska „mnen
X91    ™vergrepp genom h„ngning, strypning och kv„vning
X92    ™vergrepp genom dr„nkning
X93    ™vergrepp genom skott fr†n pistol och revolver
X94    ™vergrepp genom skott fr†n gev„r, hagelgev„r och tyngre skjutvapen
X95    ™vergrepp genom skott fr†n annat och icke specificerat skjutvapen
X96    ™vergrepp med spr„ng„mnen
X97    ™vergrepp med r”k och ”ppen eld
X98    ™vergrepp med vatten†nga, andra heta †ngor och heta f”rem†l
X99    ™vergrepp med sk„rande eller stickande f”rem†l
Y00    ™vergrepp med trubbigt f”rem†l
Y01    ™vergrepp genom knuff fr†n h”jd
Y02    ™vergrepp genom att offret placerats eller knuffats framf”r f”rem†l i r”relse
Y03    ™vergrepp med motorfordon
Y04    ™vergrepp genom obev„pnat v†ld
Y05    Sexuellt ”vergrepp av obev„pnad person
Y06    F”rsummelse och vanv†rd
Y07    Andra misshandelssyndrom
Y08    ”vergrepp med andra specificerade metoder
Y09    ™vergrepp med icke specificerade metoder
Y10    F”rgiftning med och exponering f”r sm„rtstillande l„kemedel av icke opiatkarakt„r, feberneds„ttande medel och medel mot reumatism, med oklar avsikt
Y11    F”rgiftning med och exponering f”r antiepileptika, lugnande l„kemedel och s”mnmedel, medel mot parkinsonism samt psykotropa l„kemedel som ej klassificeras annorst„des, med oklar avsikt
Y12    F”rgiftning med och exponering f”r narkotiska medel och hallucinogener som ej klassificeras annorst„des, med oklar avsikt
Y13    F”rgiftning med och exponering f”r andra l„kemedel som p†verkar det autonoma nervsystemet, med oklar avsikt
Y14    F”rgiftning med och exponering f”r andra och icke specificerade droger, l„kemedel och biologiska substanser, med oklar avsikt
Y15    F”rgiftning med och exponering f”r alkoholer, med oklar avsikt
Y16    F”rgiftning med och exponering f”r organiska l”sningsmedel och halogenerade kolv„ten och deras †ngor, med oklar avsikt
Y17    F”rgiftning med och exponering f”r andra gaser och †ngor, med oklar avsikt
Y18    F”rgiftning med och exponering f”r pesticider, med oklar avsikt
Y19    F”rgiftning med och exponering f”r andra och icke specificerade kemiska „mnen och skadliga substanser, med oklar avsikt
Y20    H„ngning, strypning och kv„vning, med oklar avsikt
Y21    Drunkning eller dr„nkning, med oklar avsikt
Y22    Skott fr†n pistol och revolver, med oklar avsikt
Y23    Skott fr†n gev„r, hagelgev„r och tyngre skjutvapen, med oklar avsikt
Y24    Skott fr†n annat eller icke specificerat skjutvapen, med oklar avsikt
Y25    Skadeh„ndelse med spr„ng„mne, med oklar avsikt
Y26    Exponering f”r r”k och ”ppen eld, med oklar avsikt
Y27    Exponering f”r vatten†nga, andra heta †ngor och heta f”rem†l, med oklar avsikt
Y28    Skadeh„ndelse med sk„rande eller stickande f”rem†l, med oklar avsikt
Y29    Skadeh„ndelse med trubbigt f”rem†l, med oklar avsikt
Y30    Fall, hopp eller knuff fr†n h”jd, med oklar avsikt
Y31    Fallit eller hoppat, sprungit eller lagt sig framf”r f”rem†l i r”relse, med oklar avsikt
Y32    Skadeh„ndelse med motorfordon, med oklar avsikt
Y33    Andra specificerade skadeh„ndelser, med oklar avsikt
Y34    Icke specificerad skadeh„ndelse, med oklar avsikt
Y35    Polisingripande och annat legalt ingripande
Y36    Krigshandling
Y40    Antibiotika f”r systemiskt bruk
Y41    Andra medel mot infektioner och parasiter f”r systemiskt bruk
Y42    Hormoner och deras syntetiska substitut och antagonister som ej klassificeras annorst„des
Y43    L„kemedel med f”retr„desvis systemisk verkan
Y44    L„kemedel som f”retr„desvis p†verkar blodets komponenter
Y45    Sm„rtstillande och feberneds„ttande l„kemedel samt antiinflammatoriska och antireumatiska l„kemedel
Y46    L„kemedel mot epilepsi och vid parkinsonism
Y47    Lugnande medel, s”mnmedel och l„kemedel mot oro
Y48    Anestetika och gaser f”r terapeutiskt bruk
Y49    Psykotropa l„kemedel som ej klassificeras annorst„des
Y50    Medel som stimulerar centrala nervsystemet, som ej klassificeras annorst„des
Y51    Medel som f”retr„desvis p†verkar det autonoma nervsystemet
Y52    Medel som f”retr„desvis p†verkar hj„rt-k„rlsystemet
Y53    Medel som f”retr„desvis p†verkar mag-tarmkanalen
Y54    Medel som f”retr„desvis p†verkar vattenbalansen och mineral- och urinsyraoms„ttningen
Y55    Medel som f”retr„desvis p†verkar den glatta muskulaturen och skelettmuskulaturen samt andningsorganen
Y56    L„kemedel f”retr„desvis anv„nda f”r lokalterapi vid hud- och slemhinnesjukdomar, vid ”gon-, ”ron-, hals- och tandsjukdomar
Y57    Andra och icke specificerade l„kemedel och droger
Y58    Bakterievacciner
Y59    Andra och icke specificerade vacciner och biologiska substanser
Y60    Sk„rskada, punktion, perforation eller bl”dning oavsiktligt tillfogad under kirurgisk och medicinsk behandling
Y61    Kvarl„mnat fr„mmande f”rem†l i kroppen vid kirurgisk och medicinsk behandling
Y62    Bristande sterilitet vid kirurgisk och medicinsk behandling
Y63    Felaktig dosering vid kirurgisk och medicinsk behandling
Y64    F”rorenade medicinska och biologiska substanser
Y65    Annat miss”de vid kirurgisk och medicinsk behandling
Y70    Anestesiutrustning som orsakat miss”den
Y71    Instrument och materiel anv„nda vid kardiovaskul„ra tillst†nd och ingrepp som orsakat miss”den
Y72    Instrument och materiel anv„nda vid oto-rino-laryngologiska tillst†nd och ingrepp som orsakat miss”den
Y73    Instrument och materiel vid gastroenterologiska och urologiska tillst†nd och ingrepp som orsakat miss”den
Y74    Instrument och materiel anv„nda i annan sjukv†rd och egenv†rd som orsakat miss”den
Y75    Instrument och materiel anv„nda vid neurologiska tillst†nd och ingrepp som orsakat miss”den
Y76    Instrument och materiel anv„nda vid obstetriska och gynekologiska tillst†nd och ingrepp som orsakat miss”den
Y77    Instrument och materiel anv„nda vid oftalmologiska tillst†nd och ingrepp som orsakat miss”den
Y78    Instrument och materiel anv„nda vid radiologiska unders”kningar som orsakat miss”den
Y79    Instrument och materiel anv„nda vid ortopediska tillst†nd och ingrepp som orsakat miss”den
Y80    Instrument och materiel anv„nda i fysikalisk medicin som orsakat miss”den
Y81    Instrument och materiel anv„nda i allm„nkirurgi och plastikkirurgi som orsakat miss”den
Y82    Andra och icke specificerade medicinska instrument och annan och icke specificerad materiel som orsakat miss”den
Y83    Kirurgisk operation och andra kirurgiska ingrepp som orsak till onormal reaktion eller sen komplikation hos patient utan anknytning till miss”de vid tiden f”r †tg„rden
Y84    Andra medicinska †tg„rder som orsak till onormal reaktion eller sen komplikation hos patient utan anknytning till miss”de vid tiden f”r †tg„rden
Y85    Sena effekter av transportolyckor
Y86    Sena effekter av andra olyckor
Y87    Sena effekter av avsiktligt sj„lvdestruktiv handling, ”vergrepp och skadeh„ndelse med oklar avsikt
Y88    Sena effekter av kirurgisk och medicinsk behandling som yttre orsak
Y89    Sena effekter av andra yttre orsaker
Y90    Tecken p† alkoholp†verkan, fastst„lld genom m„tning av blodets alkoholhalt
Y91    Tecken p† alkoholp†verkan med kliniskt fastst„lld intoxikationsgrad
Y95    Nosokomial infektion
Y96    Arbetsmilj” som orsak till sjukdom
Y97    F”rorening i yttre milj”n som orsak till sjukdom
Y98    Livsstil som orsak till sjukdom
Z00    Allm„n unders”kning och utredning av personer utan besv„r eller utan att diagnos registrerats
Z01    Andra speciella unders”kningar och utredningar av personer utan besv„r eller utan att diagnos registrerats
Z02    Kontakt med h„lso- och sjukv†rden av administrativa sk„l
Z03    Medicinsk observation och bed”mning f”r misst„nkta sjukdomar och tillst†nd
Z04    Unders”kning och observation av andra sk„l
Z08    Kontrollunders”kning efter behandling f”r malign tum”r
Z09    Kontrollunders”kning efter behandling f”r andra tillst†nd „n maligna tum”rer
Z10    Rutinm„ssig allm„n h„lsokontroll av definierade befolkningsgrupper
Z11    Riktad h„lsokontroll avseende infektionssjukdomar och parasitsjukdomar
Z12    Riktad h„lsokontroll avseende tum”rer
Z13    Riktad h„lsokontroll avseende andra sjukdomar och tillst†nd
Z20    Kontakt med och exponering f”r smittsamma sjukdomar
Z21    Asymtomatisk infektion med humant immunbristvirus [HIV]
Z22    B„rare av agens f”r infektionssjukdom
Z23    Kontakt f”r vaccination avseende enstaka bakteriesjukdomar
Z24    Kontakt f”r vaccination avseende vissa enstaka virussjukdomar
Z25    Kontakt f”r vaccination avseende andra enstaka virussjukdomar
Z26    Kontakt f”r vaccination avseende andra enstaka infektionssjukdomar
Z27    Kontakt f”r vaccination avseende kombinationer av infektionssjukdomar
Z28    Ej genomf”rd vaccination
Z29    Behov av andra f”rebyggande †tg„rder
Z30    F”delsekontroll
Z31    Fertilitetsfr„mjande †tg„rder
Z32    Graviditetsunders”kning
Z33    Graviditet som bifynd
Z34    ™vervakning av normal graviditet
Z35    ™vervakning av h”griskgraviditet
Z36    Unders”kning av foster f”re f”rlossningen
Z37    F”rlossningsutfall
Z38    Levande f”dda barn efter plats f”r f”dsel
Z39    V†rd och unders”kning av moder efter f”rlossningen
Z40    Profylaktisk kirurgi
Z41    tg„rd i annat syfte „n att †terst„lla h„lsan
Z42    Plastikkirurgisk efterv†rd
Z43    Tillsyn av konstgjord kropps”ppning
Z44    Inpassning och justering av yttre protes
Z45    Justering och sk”tsel av implanterat hj„lpmedel
Z46    Ins„ttning, utprovning och justering av andra hj„lpmedel
Z47    Annan ortopedisk efterv†rd
Z48    Annan kirurgisk efterv†rd
Z49    Dialysv†rd
Z50    V†rd f”r rehabiliterings†tg„rder
Z51    Annan medicinsk v†rd
Z52    Donatorer av organ och v„vnader
Z53    Kontakt med h„lso- och sjukv†rden f”r specificerade †tg„rder som ej genomf”rts
Z54    Konvalescens
Z55    Problem i samband med utbildning, l„s- och skrivkunnighet
Z56    Problem i samband med anst„llning och arbetsl”shet
Z57    Yrkesm„ssig exponering f”r riskfaktorer
Z58    Problem som har samband med fysisk milj”
Z59    Problem som har samband med bostadsf”rh†llanden och ekonomiska omst„ndigheter
Z60    Problem som har samband med social milj”
Z61    Problem som har samband med negativa h„ndelser under barndomen
Z62    Andra problem som har samband med uppfostran
Z63    Andra problem som har samband med den prim„ra st”dgruppen, inkluderande familjef”rh†llanden
Z64    Problem som har samband med vissa psykosociala f”rh†llanden
Z65    Problem som har samband med andra psykosociala f”rh†llanden
Z70    R†dgivning om sexuell orientering, sexuellt beteende samt inst„llningen till sexualiteten
Z71    Kontakt med h„lso- och sjukv†rden f”r medicinsk och annan r†dgivning som ej klassificeras annorst„des
Z72    Problem som har samband med livsstil
Z73    Problem som har samband med sv†righeter att kontrollera livssituationen
Z74    Problem som har samband med beroende av v†rdgivare
Z75    Problem som har samband med v†rdresurser och annan h„lso- och sjukv†rd
Z76    Kontakt med h„lso- och sjukv†rden under andra omst„ndigheter
Z80    Malign tum”r i familjens sjukhistoria
Z81    Psykisk st”rning och beteenderubbning i familjens sjukhistoria
Z82    Vissa funktionshinder och kroniska sjukdomar i familjens sjukhistoria
Z83    Andra specificerade sjukdomar i familjens sjukhistoria
Z84    Andra tillst†nd i familjens sjukhistoria
Z85    Malign tum”r i den egna sjukhistorien
Z86    Vissa andra sjukdomar i den egna sjukhistorien
Z87    Andra sjukdomar och tillst†nd i den egna sjukhistorien
Z88    ™verk„nslighet f”r l„kemedel och biologiska substanser i den egna sjukhistorien
Z89    F”rv„rvad avsaknad av extremitet
Z90    F”rv„rvad avsaknad av organ som ej klassificeras annorst„des
Z91    Riskfaktorer i den egna sjukhistorien som ej klassificeras annorst„des
Z92    Medicinsk behandling i den egna sjukhistorien
Z93    Tillst†nd med konstgjord kropps”ppning
Z94    Organ eller v„vnad ersatt genom transplantation
Z95    F”rekomst av implantat och transplantat i hj„rta och k„rl
Z96    F”rekomst av andra funktionella implantat
Z97    F”rekomst av proteser och andra hj„lpmedel
Z98    Andra postoperativa tillst†nd
Z99    Beroende av maskinella och andra hj„lpmedel som ej klassificeras annorst„des
