AAA00  Explorativ kraniotomi
PEC10  Sutur av a femoralis communis
PEC11  Sutur av a profunda femoris
PEC12  Sutur av a femoralis superficialis
PEE10  Trombektomi eller embolektomi i a femoralis communis
PEE11  Trombektomi eller embolektomi i a profunda femoris
PEE12  Trombektomi eller embolektomi i a femoralis superficialis
PEF10  Trombendart„rektomi i a femoralis communis
PEF11  Trombendart„rektomi i a profunda femoris
PEF12  Trombendart„rektomi i a femoralis superficialis
PEG10  Aneurysmoperation p† a femoralis communis
PEG11  Aneurysmoperation p† a profunda femoris
PEG12  Aneurysmoperation p† a femoralis superficialis
PEH10  Bypass fr†n a femoralis communis
PEH11  Bypass fr†n a profunda femoris
PEH12  Bypass fr†n a femoralis superficialis
PEH20  Bypass fr†n a femoralis till a poplitea ovan kn„leden
PEH30  Bypass fr†n a femoralis till a poplitea nedom kn„leden
PEN10  Plastik p† a femoralis communis
PEN11  Plastik p† a profunda femoris
PEN12  Plastik p† a femoralis superficialis
PEP10  Perkutan plastik p† a femoralis communis
PEP11  Perkutan plastik p† a profunda femoris
PEP12  Perkutan plastik a femoralis superficialis
PEQ10  Inl„ggande av endovaskul„rt implantat i a femoralis communis
PEQ11  Inl„ggande av endovaskul„rt implantat i a profunda femoris
PEQ12  Inl„ggande av endovaskul„rt implantat i a femoralis superficialis
PER10  Uttagning av endovaskul„rt implantat fr†n a femoralis communis
PER11  Uttagning av endovaskul„rt implantat fr†n a profunda femoris
PER12  Uttagning av endovaskul„rt implantat fr†n a femoralis superficialis
PES10  Endoskopisk operation p† a femoralis communis
PES11  Endoskopisk operation p† a profunda femoris
PES12  Endoskopisk operation p† a femoralis superficialis
PET10  Injektion av l„kemedel eller ockluderande material i a femoralis communis
PET11  Injektion av l„kemedel eller ockluderande material i a profunda femoris
PET12  Injektion av l„kemedel eller ockluderande material i a femoralis superficialis
PEU70  Exploration av tidigare rekonstruktion p† arteria femoralis eller dess grenar till a poplitea
PEU74  Trombektomi eller embolektomi i bypass fr†n a femoralis till a poplitea
PEU76  Aneurysmoperation p† bypass fr†n a femoralis till a poplitea
PEU80  Perkutan slutning av kvarst†ende a-v fistel i bypass fr†n a femoralis till a poplitea
PEU81  Ligatur av kvarst†ende a-v fistel efter bypass fr†n a femoralis
PEU82  Plastik p† bypass fr†n a femoralis och dess grenar
PEU83  Perkutan plastik p† bypass fr†n a femoralis och dess grenar
PEU84  Inl„ggande av endovaskul„rt implantat i bypass fr†n a femoralis till a poplitea
PEU85  Uttagning av endovaskul„rt implantat fr†n bypass fr†n a femoralis till a poplitea
PEU86  Endoskopisk operation p† bypass fr†n a femoralis till a poplitea
PEU87  Injektion av l„kemedel i bypass fr†n a femoralis till a poplitea
PEU88  Exstirpation av bypass fr†n a femoralis
PEU89  Ligatur av bypass fr†n a femoralis
PEU99  Annan operation inom tidigare rekonstruktion p† arteria femoralis och dess grenar samt ingrepp d„rifr†n till a poplitea
PEW99  Annan operation p† arteria femoralis och dess grenar samt ingrepp d„rifr†n till a poplitea
PFA10  Exploration av a poplitea
PFA30  Exploration av underbens- eller fotart„r
PFB10  Ligatur av a poplitea
PFB30  Ligatur av underbens- eller fotart„r
PFC10  Sutur av a poplitea
PFE10  Trombektomi eller embolektomi i a poplitea
PFE30  Trombektomi eller embolektomi i underbens- eller fotart„r
PFG10  Aneurysmoperation p† a poplitea
PFH10  Bypass fr†n a poplitea
PFH20  Bypass fr†n a femoralis eller a poplitea till underbensart„r
PFH21  Bypass fr†n a femoralis eller a poplitea till a tibialis anterior (proximalt)
PFH22  Bypass fr†n a femoralis eller a poplitea till a tibialis anterior
PFH23  Bypass fr†n a femoralis eller a poplitea till truncus tibiofibularis
PFH24  Bypass fr†n a femoralis eller a poplitea till a tibialis posterior (proximalt)
PFH25  Bypass fr†n a femoralis eller a poplitea till a tibialis posterior
PFH26  Bypass fr†n a femoralis eller a poplitea till a fibularis (proximalt)
PFH27  Bypass fr†n a femoralis eller a poplitea till a fibularis
PFH28  Bypass fr†n a femoralis eller a poplitea till a dorsalis pedis
PFH29  Bypass fr†n a femoralis eller a poplitea till a tibialis posterior p† foten
PFH99  Annan bypass fr†n a femoralis och a poplitea
PFL90  Anl„ggande av a-v fistel i underben eller fot
PFL95  Modifiering av distal bypass anastomos i underben eller fot f”r att ”ka fl”det
PFN10  Plastik p† a poplitea
PFP10  Perkutan plastik p† a poplitea
PFP30  Perkutan plastik p† underbens- eller fotart„r
PFQ10  Inl„ggande av endovaskul„rt implantat i a poplitea
PFQ30  Inl„ggande av endovaskul„rt implantat i underbensart„r
PFR10  Uttagning av endovaskul„rt implantat fr†n a poplitea
PFR30  Uttagning av endovaskul„rt implantat fr†n underbensart„r
PFS10  Endoskopisk operation p† a poplitea
PFT10  Injektion av l„kemedel eller ockluderande material i a poplitea
PFT30  Injektion av l„kemedel eller ockluderande material i underbensart„r
PFT87  Injektion av l„kemedel eller ockluderande material i bypass fr†n a femoralis eller a poplitea
PFU70  Exploration av tidigare bypass fr†n a femoralis eller a poplitea till infrapopliteala art„rer eller rekonstruktion av a poplitea, underbens- och fotartär
PFU74  Trombektomi i bypass fr†n a femoralis eller a poplitea
PFU76  Aneurysmoperation p† bypass fr†n a femoralis eller a poplitea
PFU80  Perkutan slutning av kvarst†ende a-v fistel i bypass fr†n a femoralis eller a poplitea till infrapopliteala art„rer
PFU81  Slutning av kvarst†ende a-v fistel i bypass fr†n a femoralis eller a poplitea till infrapopliteala art„rer
PFU82  Plastik p† bypass fr†n a femoralis eller a poplitea till infrapopliteala art„rer
PFU83  Perkutan plastik p† bypass fr†n a femoralis eller a poplitea
PFU84  Inl„ggande av endovaskul„rt implantat i bypass fr†n a femoralis eller a poplitea
PFU85  Uttagning av endovaskul„rt implantat fr†n bypass fr†n a femoralis eller a poplitea
PFU86  Endoskopisk operation p† bypass fr†n a femoralis eller a poplitea
PFU87  Injektion av l„kemedel i bypass fr†n a femoralis eller a poplitea
PFU88  Exstirpation av bypass fr†n a femoralis eller a poplitea
PFU89  Ligatur av bypass fr†n a femoralis eller a poplitea
PFU99  Annan operation inom tidigare rekonstruktion p† arteria femoralis eller a poplitea
PFW99  Annan operation fr†n arteria femoralis till infrapopliteala art„rer samt ingrepp p† a poplitea och art„rer p† underben och fot
PGH10  Axilloaxill„r crossover bypass
PGH20  Axilloiliakal bypass
PGH21  Axillobiiliakal bypass
PGH22  Axillofemoral bypass
PGH23  Axillobifemoral bypass
PGH30  Iliakofemoral crossover bypass
PGH31  Iliakofemoral bypass via foramen obturatum
PGH40  Femorofemoral bypass
PGH99  Annan extra-anatomisk bypass operation
PGU70  Exploration av extra-anatomisk bypass
PGU74  Trombektomi i bypass p† extra-anatomiskt f”rlopp
PGU76  Aneurysmoperation p† bypass p† extra-anatomiskt f”rlopp
PGU83  Perkutan plastik p† bypass p† extra-anatomiskt f”rlopp
PGU84  Inl„ggande av endovaskul„rt implantat i bypass p† extra-anatomiskt f”rlopp
PGU85  Uttagning av endovaskul„rt implantat fr†n bypass p† extra-anatomiskt f”rlopp
PGU86  Endoskopisk operation p† bypass p† extra-anatomiskt f”rlopp
PGU87  Injektion av l„kemedel i bypass med extra-anatomiskt f”rlopp
PGU88  Exstirpation av bypass p† extra-anatomiskt f”rlopp
PGU89  Ligatur av bypass p† extra-anatomiskt f”rlopp
PGU99  Annan operation inom tidigare rekonstruktion med extra-anatomiskt f”rlopp
PGW99  Annan extra-anatomisk bypass operation
PHB10  Ligatur av v. saphena magna
PHB12  Ligatur av v. saphena parva
PHB13  Ligatur av perforanter p† underbenet
PHB14  Ligatur av perforanter p† l†ret
PHB23  Ligatur av v. iliaca
PHB30  Ligatur av v. cava inferior
PHB31  Ligatur av v. renalis
PHB32  Ligatur av v. mesenterica eller v. porta
PHB99  Ligatur av annan ven
PHC22  Sutur av v. femoralis communis
PHC23  Sutur av v. iliaca
PHC30  Sutur av v. cava inferior
PHC31  Sutur av v. renalis
PHC32  Sutur av v. mesenterica eller v. porta
PHC99  Sutur av annan ven
PHD10  Resektion av v. saphena magna
PHD11  Resektion av stella venosa
PHD12  Resektion av v. saphena parva
PHD15  Resektion av kommunikanter p† underbenet och l†ret
PHD99  Resektion av annan ven
PHE22  Trombektomi i v. femoralis communis
PHE23  Trombektomi i v. iliaca
PHE30  Trombektomi i v. cava inferior
PHE31  Trombektomi i v. renalis
PHE99  Trombektomi i annan ven
PHH21  Bypass fr†n v. poplitea
PHH22  Bypass fr†n v. femoralis communis
PHH25  Bypass fr†n v. iliaca
PHH99  Bypass fr†n annan ven
PHJ22  Transposition av v. femoralis communis
PHJ99  Transposition av annan ven
PHN21  Plastik p† v. poplitea
PHN30  Plastik p† v. cava inferior
PHN99  Plastik p† annan ven
PHP23  Perkutan plastik p† v. iliaca
PHP99  Perkutan plastik p† annan ven
PHQ23  Inl„ggande av endovaskul„rt implantat i v. iliaca
PHQ30  Inl„ggande av endovaskul„rt implantat i v. cava inferior
PHQ35  Inl„ggande av endovaskul„rt implantat i bypass fr†n splankniska vener till cavasystemet
PHQ99  Inl„ggande av endovaskul„rt implantat i annan ven
PHR23  Uttagning av endovaskul„rt implantat fr†n v. iliaca
PHR30  Uttagning av endovaskul„rt implantat fr†n v. cava inferior
PHR99  Uttagning av endovaskul„rt implantat fr†n annan ven
PHS13  Endoskopisk perforantdelning p† underbenet
PHS14  Endoskopisk perforantdelning p† l†ret
PHS99  Annan endoskopisk operation p† ben
PHT23  Injektion av l„kemedel eller ockluderande material i v. iliaca
PHT31  Injektion av l„kemedel eller ockluderande material i v. renalis
PHT99  Injektion av l„kemedel eller ockluderande material i annan ven
PHW35  Portosystemisk shunt eller bypass
PHW99  Annan operation p† ven
PJA10  Exploration av lymfk”rtlar
PJB20  Ligatur av ductus thoracicus
PJB99  Ligatur av annat lymfk„rl
PJD41  Exstirpation av cervikala lymfk”rtlar
PJD42  Exstirpation av axill„ra lymfk”rtlar
PJD43  Exstirpation av paraaortala lymfk”rtlar
PJD44  Exstirpation av iliakala lymfk”rtlar
PJD45  Exstirpation av inguinala lymfk”rtlar
PJD51  Radikal utrymning av cervikala lymfk”rtlar
PJD52  Radikal utrymning av axill„ra lymfk”rtlar
PJD53  Radikal utrymning av paraaortala lymfk”rtlar
PJD54  Radikal utrymning av iliakala lymfk”rtlar
PJD55  Radikal utrymning av inguinala lymfk”rtlar
PJD63  Laparoskopisk utrymning av paraaortala lymk”rtlar
PJD64  Laparoskopisk utrymning av iliakala lymk”rtlar
PJD97  Laparoskopisk utrymning av andra lymfk”rtlar
PJD98  Annan radikal regional lymfk”rtelutrymning
PJD99  Exstirpation av andra lymfk”rtlar
PJW10  Incision av lymfk”rtel
PJW30  Anl„ggande av lymfoven”s anastomos
PJW99  Annan operation p† lymfsystemet pulmonalisostiet
PWA00  Reoperation f”r s†rruptur
PWB00  Reoperation f”r ytlig infektion
PWC00  Reoperation f”r djup infektion
PWD00  Reoperation f”r ytlig bl”dning
PWE00  Reoperation f”r djup bl”dning
PWF00  Reoperation f”r anastomos- eller suturinsufficiens
PWG00  Reoperation f”r trombos eller emboli
PWG02  Angioskopisk reoperation f”r trombos eller emboli
PWH00  Reoperation f”r lymfocele
PWW99  Annan reoperation p† perifera k„rl och lymfsystemet
QAA00  Punktion i huvud-halsregionen
QAA10  Incision i huvud-halsregionen
QAA20  Dermabrasion i huvud-halsregionen
QAA30  Koagulation av hudf”r„ndring i huvud-halsregionen
QAA40  Laserbehandling eller fotokoagulation av hudf”r„ndring i huvud-halsregionen
QAA50  Kryoterapi av hudf”r„ndring i huvud-halsregionen
QAA99  Annan punktion, incision eller destruktion vid hudf”r„ndring i huvud-halsregionen
QAB00  Hudsutur i huvud-halsregionen
QAB05  S†rrevision i huvud-halsregion
QAB10  Oml„ggning eller f”rbandsbyte i huvud-halsregionen
QAB99  Annan s†rbehandling i huvud-halsregionen
QAC00  Avl„gsnande av subkutan fr„mmande kropp i huvud-halsregionen
QAD00  Oml„ggning eller f”rbandsbyte vid br„nnskada i huvud-halsregionen
QAD10  Revision av br„nnskada i huvud-halsregionen
QAD20  Excision och t„ckning av br„nnskada i huvud-halsregionen
QAE00  Hudexcision i huvud-halsregionen
QAE10  Excision av hudf”r„ndring i huvud-halsregionen
QAE20  Excision av annat „rr i huvud-halsregionen
QAE25  Excision av „rr efter br„nnskada i huvud-halsregionen
QAE30  Excision av operations„rr i huvud-halsregionen
QAE35  Rekonstruktion av huddefekt efter skada eller operation i huvud-halsregionen
QAE40  Rekonstruktion vid missbildning eller hudsjukdom i huvud-halsregionen
QAE99  Annan excision eller rekonstruktion i huvud-halsregionen
QAF00  H†rtransplantation med h†rb„rande transplantat
QAF10  Rekonstruktion av ”gonbryn med h†rb„rande transplantat
QAF99  Annan operation p† h†rb„rande hud
QAG20  Operation f”r kroniskt s†r eller fistel i huvud-halsregionen
QAG30  Sekund„rsutur i huvud-halsregionen
QAG99  Annan operation f”r kroniskt s†r eller fistel i huvud-halsregionen
QAJ00  Fettsugning i huvud-halsregionen
QAJ10  Lyftning av ”gonbryn
QAJ15  Lyftning av ”gonbryn med anv„ndande av videoendoskop
QAJ20  Subperiostal ansiktslyftning
QAJ25  Ansiktslyftning med anv„ndande av videoendoskop
QAJ30  Annan ansiktslyftning
QAJ35  Annan korrektion av hud”verskott eller l”s hud i huvud-halsregionen
QAJ99  Annan operation av estetiska orsaker i huvud-halsregionen
QBA00  Punktion p† b†len
QBA10  Incision p† b†len
QBA20  Dermabrasion p† b†len
QBA30  Koagulation av hudf”r„ndring p† b†len
QBA40  Laserbehandling eller fotokoagulation av hudf”r„ndring p† b†len
QBA50  Kryoterapi av hudf”r„ndring p† b†len
QBA99  Annan punktion, incision eller destruktion vid hudf”r„ndring p† b†len
QBB00  Hudsutur p† b†len
QBB05  S†rrevision p† b†len
QBB10  Oml„ggning eller f”rbandsbyte p† b†len
QBB99  Annan s†rbehandling p† b†len
QBC00  Avl„gsnande av subkutan fr„mmande kropp p† b†len
QBD00  Oml„ggning eller f”rbandsbyte vid br„nnskada p† b†len
QBD10  Revision av br„nnskada p† b†len
QBD20  Excision och t„ckning av br„nnskada p† b†len
QBE00  Hudexcision p† b†len
QBE05  Excision av svettk”rtlar eller hud med svettk”rtlar i axill
QBE10  Excision av hudf”r„ndring p† b†len
QBE20  Excision av annat „rr p† b†len
QBE25  Excision av „rr efter br„nnskada p† b†len
QBE30  Excision av operations„rr p† b†len
QBE35  Rekonstruktion av huddefekt efter skada eller operation p† b†len
QBE40  Rekonstruktion vid missbildning eller hudsjukdom p† b†len
QBE99  Annan excision eller rekonstruktion p† b†len
QBG00  Revision av liggs†r p† b†len
QBG10  Excision med rekonstruktion vid liggs†r p† b†len
QBG20  Operation f”r kroniskt s†r eller fistel p† b†len
QBG30  Sekund„rsutur p† b†len
QBG99  Annan operation f”r kroniskt s†r eller fistel p† b†len
QBJ00  Fettsugning p† b†len
QBJ30  Korrektion av h„ngbuk
QBJ35  Annan korrektion av hud”verskott eller l”s hud p† b†len
QBJ99  Annan operation av estetiska orsaker p† b†len
QCA00  Punktion, ”vre extremitet
QCA10  Incision, ”vre extremitet
QCA20  Dermabrasion, ”vre extremitet
QCA30  Koagulation av hudf”r„ndring, ”vre extremitet
QCA40  Laserbehandling eller fotokoagulation av hudf”r„ndring, ”vre extremitet
QCA50  Kryoterapi av hudf”r„ndring, ”vre extremitet
QCA99  Annan punktion, incision eller destruktion vid hudf”r„ndring, ”vre extremitet
QCB00  Hudsutur, ”vre extremitet
QCB05  Hudrevision, ”vre extremitet
QCB10  Oml„ggning eller f”rbandsbyte, ”vre extremitet
QCB99  Annan s†rbehandling, ”vre extremitet
QCC00  Avl„gsnande av subkutan fr„mmande kropp, ”vre extremitet
QCD00  Oml„ggning eller f”rbandsbyte vid br„nnskada, ”vre extremitet
QCD10  Revision av br„nnskada, ”vre extremitet
QCD20  Excision och t„ckning av br„nnskada, ”vre extremitet
QCE00  Hudexcision, ”vre extremitet
QCE10  Excision av hudf”r„ndring, ”vre extremitet
QCE20  Excision av annat „rr, ”vre extremitet
QCE25  Excision av „rr efter br„nnskada, ”vre extremitet
QCE30  Excision av operations„rr, ”vre extremitet
QCE35  Rekonstruktion av huddefekt efter skada eller operation, ”vre extremitet
QCE40  Rekonstruktion vid missbildning eller hudsjukdom, ”vre extremitet
QCE99  Annan excision eller rekonstruktion, ”vre extremitet
QCG20  Operation f”r kroniskt s†r eller fistel, ”vre extremitet
QCG30  Sekund„rsutur, ”vre extremitet
QCG99  Annan operation f”r kroniskt s†r eller fistel, ”vre extremitet
QCH00  Avl„gsnande av fingernagel
QCH10  Excision av fingernagelb„dd
QCH20  Korrektion av deformerad fingernagel
QCH30  Transplantation av fingernagel
QCJ00  Fettsugning, ”vre extremitet
QCJ05  Korrektion av hud”verskott eller l”s hud, ”vre extremitet
QCJ99  Annan operation av estetiska orsaker, ”vre extremitet
QDA00  Punktion, nedre extremitet
QDA10  Incision, nedre extremitet
QDA20  Dermabrasion, nedre extremitet
QDA30  Koagulation av hudf”r„ndring, nedre extremitet
QDA40  Laserbehandling eller fotokoagulation av hudf”r„ndring, nedre extremitet
QDA50  Kryoterapi av hudf”r„ndring, nedre extremitet
QDA99  Annan punktion, incision eller destruktion vid hudf”r„ndring, nedre extremitet
QDB00  Hudsutur, nedre extremitet
QDB05  Hudrevision, nedre extremitet
QDB10  Oml„ggning eller f”rbandsbyte, nedre extremitet
QDB99  Annan s†rbehandling, nedre extremitet
QDC00  Avl„gsnande av subkutan fr„mmande kropp, nedre extremitet
QDD00  Oml„ggning eller f”rbandsbyte vid br„nnskada, nedre extremitet
QDD10  Revision av br„nnskada, nedre extremitet
QDD20  Excision och t„ckning av br„nnskada, nedre extremitet
QDE00  Hudexcision, nedre extremitet
QDE10  Excision av hudf”r„ndring, nedre extremitet
QDE20  Excision av annat „rr, nedre extremitet
QDE25  Excision av „rr efter br„nnskada, nedre extremitet
QDE30  Excision av operations„rr, nedre extremitet
QDE35  Rekonstruktion av huddefekt efter skada eller operation, nedre extremitet
QDE40  Rekonstruktion vid missbildning eller hudsjukdom, nedre extremitet
QDE99  Annan excision eller rekonstruktion, nedre extremitet
QDG00  Revision av liggs†r, nedre extremitet
QDG10  Excision med rekonstruktion vid liggs†r, nedre extremitet
QDG20  Operation f”r kroniskt s†r eller fistel, nedre extremitet
QDG30  Sekund„rsutur, nedre extremitet
QDG99  Annan operation f”r kroniskt s†r eller fistel, nedre extremitet
QDH00  Avl„gsnande av t†nagel
QDH10  Excision av t†nagelb„dd
QDH20  Korrektion av deformerad t†nagel
QDJ00  Fettsugning, nedre extremitet
QDJ05  Korrektion av hud”verskott eller l”s hud, nedre extremitet
QDJ99  Annan operation av estetiska orsaker, nedre extremitet
QWA00  Reoperation f”r s†rruptur
QWB00  Reoperation f”r ytlig infektion
QWD00  Reoperation f”r ytlig bl”dning
QWF00  Reoperation f”r anastomos- eller suturinsufficiens
QWW99  Annan reoperation p† hud och subkutan v„vnad
TAB00  Lumbalpunktion
TAC00  Blockad av perifer nerv
TAD00  Sympatikusblockad
TAW99  Annan mindre neurokirurgisk operation
TBA00  Punktion av sk”ldk”rteln
TBA10  Punktionsbiopsi av sk”ldk”rteln
TBA20  Aspirationscytologi av sk”ldk”rteln
TBB00  Punktion av bisk”ldk”rtel
TBB10  Punktionsbiopsi av bisk”ldk”rtel
TBC00  Punktionsbiopsi av binjure
TBC10  Aspirationscytologi av binjure
TBW99  Annan mindre operation p† endokrina organ
TCA00  Punktionsbiopsi av orbita
TCA10  Aspirationscytologi av orbita
TCA15  Retrobulb„r injektion av l„kemedel i orbita
TCA20  Peribulb„r injektion av l„kemedel i orbita
TCB00  Punktionsbiopsi av ”gonlock
TCB10  Epilering av cilier vid trikiasis
TCB20  Injektion av l„kemedel i ”gonlock
TCB30  Avl„gsnande av ptossutur
TCC00  Punktionsbiopsi av t†rk”rtel
TCC10  Sondering av t†rpunkt eller t†rkanalikel
TCC30  Intubation av t†rkanal
TCE00  Injektion av l„kemedel i ”gonmuskel
TCF00  Subkonjunktival injektion av l„kemedel
TCG00  Behandling av s†r i hornhinna eller sklera med bandagelins
TCG10  Avl„gsnande av sutur fr†n hornhinna
TCG20  Avl„gsnande av sutur fr†n hornhinna eller sklera med laser
TCH10  Aspiration av v„tska fr†n fr„mre kammaren
TCH20  Punktionsbiopsi av iris
TCH30  Punktionsbiopsi av ciliarkroppen
TCK00  Fotosensitering av †derhinna och n„thinna
TCK10  Punktionsbiopsi av †derhinna
TCK20  Punktionsbiopsi av glaskropp
TCK30  Punktionsbiopsi av retina
TCW99  Annan mindre operation i ”gonregionen
TDA00  Biopsi av ytter”ra eller yttre h”rselg†ng
TDA10  Punktionsbiopsi av ytter”ra eller yttre h”rselg†ng
TDB00  Avl„gsnande av fr„mmande kropp fr†n h”rselg†ng
TDC00  Punktionsbiopsi av trumhinna
TDH00  Punktionsbiopsi av n„san
TDJ00  Punktionsbiopsi av n„sseptum
TDM00  Punktionsbiopsi av k„kh†la
TDM10  Punktion och spolning av k„kh†la
TDN00  Punktionsbiopsi av sinus ethmoidale eller os ethmoidale
TDP00  Punktionsbiopsi av sinus frontalis
TDP10  Punktionsbiopsi av sinus sphenoidalis
TDQ00  Punktionsbiopsi av larynx
TDW00  Andra mindre operationer p† ”ron, n„sa, hals och struphuvud
TEA00  Biopsi av l„pp
TEA10  Punktionsbiopsi av l„pp
TEB00  Kronterapi
TEB10  Tandfyllning med plastiskt material
TEB20  Tandfyllning med fast material
TEB30  Rotbehandling
TEB40  Dr„nage av odontogen abscess genom tanden
TEC00  Punktionsbiopsi av gingiva
TED00  Sluten reposition av k„kledsluxation
TED10  Punktionsbiopsi av underk„ken
TEE00  Punktionsbiopsi av ”verk„ken
TEG00  Punktionsbiopsi av k„kled
TEH00  Punktionsbiopsi av gommen
TEJ00  Punktionsbiopsi av tungan och munbotten
TEL00  Punktionsbiopsi av spottk”rtel
TEM00  Punktionsbiopsi av tonsiller och adenoid
TEN00  Punktionsbiopsi av farynx och n„rliggande mjukdelar
TEW99  Annan mindre operation p† l„ppar, t„nder, k„kar, mun och svalg
TFC00  Kateterisering av h”gerhj„rtat
TFC10  Kateterisering av v„nsterhj„rtat
TFE00  Perikardiocentes
TFJ00  Punktion av hj„rtat
TFP00  Tempor„r anv„ndning av transven”s eller epikardiell pacemaker
TFW99  Mindre operationer p† hj„rtat och de stora intratorakala k„rlen
TGA00  Punktionsbiopsi av br”stv„gg
TGA10  Punktionsbiopsi av pleura
TGA20  Punktionsbiopsi av diafragma
TGA30  Torakocentes
TGA40  Artificiell pneumotorax
TGB00  Punktionsbiopsi av trakea
TGD00  Punktionsbiopsi av lunga
TGE00  Punktionsbiopsi av mediastinum
TGW99  Annan mindre toraxkirurgiska operationer
THA00  Punktionsbiopsi av mammill
THA10  Punktionsbiopsi av br”stk”rtel
THW99  Annan mindre operation p† br”stk”rtel
TJA00  Punktionsbiopsi av peritoneum
TJA10  Laparocentes
TJA20  Perkutant peritoneallavage
TJA33  Perkutan inl„ggning av peritoneal dialyskateter
TJA35  Avl„gsnande av peritoneal dialyskateter
TJA40  Perkutant dr„nage av intraperitoneal abscess
TJA50  Inl„ggande av intraperitoneal injektionsport
TJA55  Avl„gsnande av intraperitoneal injektionsport
TJC00  Komprimerande sond vid esofagusvaricer
TJD00  Nasogastrisk eller nasogastroduodenal sond
TJD10  Annan sond i ventrikel eller duodenum
TJD20  Byte av gastrostomikateter
TJF00  Jejunumsond
TJF10  Jejunumsond via gastrostomi
TJF20  Peroral tunntarmsbiopsi
TJF30  Desinvagination av tarm under r”ntgenkontroll
TJG00  Manuell uth„mtning av fekalier i narkos
TJJ00  Punktionsbiopsi av levern
TJJ10  Perkutan destruktion av f”r„ndring i levern
TJK00  Peroperativ kolangiografi
TJK01  Laparoskopisk kolangiografi
TJL00  Punktionsbiopsi av pankreas
TJL10  Perkutant dr„nage av pankreasabscess eller -pseudocysta
TJM00  Punktionsbiopsi av mj„lte
TJW99  Annan mindre operation p† gastrointestinalkanalen och d„rtill h”rande organ
TKA00  Punktionsbiopsi av njure eller njurb„cken
TKA05  Aspirationscytologi av njure
TKA10  Perkutan nefropyelostomi
TKA20  Punktion av lymfocele efter njurtransplantation
TKC10  Perkutan punktion av urinbl†san
TKC20  Kateterisering av urinbl†san
TKC25  Intravesikal bl†sinstillation
TKD00  Dilatation, sondering av uretra
TKE00  Punktionsbiopsi av prostata
TKE05  Aspirationscytologi av prostata
TKF00  Punktionsbiopsi av testis
TKF05  Aspirationscytologi av testis
TKF30  Perkutan punktion av epididymis
TKF60  Punktion av skrotum
TKK00  Punktionsbiopsi av retroperitoneal f”r„ndring
TKK05  Aspirationscytologi av retroperitoneal f”r„ndring
TKK10  Punktion av retroperitoneala rummet
TKW99  Annan mindre operation p† urinv„gar och manliga k”nsorgan
TLA00  Punktionsbiopsi av ovarium
TLB00  Punktionsbiopsi av tuba
TLC00  Inl„ggning av IUD
TLC10  Enkel extraktion av IUD
TLE00  Dilatation av vagina
TLE10  Avl„gsnande av fr„mmande kropp i vagina
TLE20  Transvaginal punktion av fossa Douglasi
TLW99  Annan mindre operation p† kvinnliga k”nsorgan
TMA00  Perineotomi under f”rlossning
TMW99  Annan mindre obstetrisk operation
TNA00  Punktion eller n†lbiopsi av mjukdelar, kotpelare eller nacke
TNA05  Enkel incision av mjukdelar, kotpelare eller nacke
TNA10  Artrocentes, kotpelare eller nacke
TNA11  Injektion av diagnostisk eller terapeutisk substans i led, kotpelare eller nacke
TNA20  Aspiration av benm„rg, kotpelare eller nacke
TNA25  Borrbiopsi av benm„rg, kotpelare eller nacke
TNA30  Mjukt bandage, kotpelare eller nacke
TNA31  Prefabricerad ortos, kotpelare eller nacke
TNA32  Modellerbar skena, kotpelare eller nacke
TNA33  Cirkul„rt modellerbart bandage, kotpelare eller nacke
TNA34  St”rre modellerbart bandage, kotpelare eller nacke
TNA39  Annan ortopedisk bandagering, kotpelare eller nacke
TNA40  Externt str„ck, kotpelare eller nacke
TNA50  Implantation av skelettmark”r, kotpelare eller nacke
TNB00  Punktion eller n†lbiopsi av mjukdelar, axel eller ”verarm (inkl skapula och klavikel och deras ledf”rbindelser)
TNB05  Enkel incision av mjukdelar, axel eller ”verarm (inkl skapula och klavikel och deras ledf”rbindelser)
TNB10  Artrocentes, axel eller ”verarm (inkl skapula och klavikel och deras ledf”rbindelser)
TNB11  Injektion av diagnostisk eller terapeutisk substans i led, axel eller ”verarm (inkl skapula och klavikel och deras ledf”rbindelser)
TNB20  Aspiration av benm„rg, axel eller ”verarm (inkl skapula och klavikel och deras ledf”rbindelser)
TNB25  Borrbiopsi av benm„rg, axel eller ”verarm (inkl skapula och klavikel och deras ledf”rbindelser)
TNB30  Mjukt bandage, axel eller ”verarm (inkl skapula och klavikel och deras ledf”rbindelser)
TNB31  Prefabricerad ortos, axel eller ”verarm (inkl skapula och klavikel och deras ledf”rbindelser)
TNB32  Modellerbar skena, axel eller ”verarm (inkl skapula och klavikel och deras ledf”rbindelser)
TNB33  Cirkul„rt modellerbart bandage, axel eller ”verarm (inkl skapula och klavikel och deras ledf”rbindelser)
TNB34  St”rre modellerbart bandage, axel eller ”verarm (inkl skapula och klavikel och deras ledf”rbindelser)
TNB39  Annan ortopedisk bandagering, axel eller ”verarm (inkl skapula och klavikel och deras ledf”rbindelser)
TNB40  Externt str„ck, axel eller ”verarm (inkl skapula och klavikel och deras ledf”rbindelser)
TNB50  Implantation av skelettmark”r, axel eller ”verarm (inkl skapula och klavikel och deras ledf”rbindelser)
TNC00  Punktion eller n†lbiopsi av mjukdelar, armb†ge eller underarm
TNC05  Enkel incision av mjukdelar, armb†ge eller underarm
TNC10  Artrocentes, armb†ge eller underarm
