A083A  Coxsackievirusenterit
P959B  D”df”dd, graviditetsl„ngd 22-27 fullbordade veckor
P959C  D”df”dd, graviditetsl„ngd  >= 28 fullbordade veckor
P959X  D”df”tt barn (foster) UNS
Q040A  Corpus callosum agenesi
Q040B  Corpus callosum d†ligt utvecklad, tunn struktur
Q040C  Dubbelcortex
Q182A  Ytter”ra p† halsen
Q182W  Andra och icke specificerade g„lg†ngsmissbildningar
Q353A  Submuk”s kluven mjuk gom
Q353B  Subtotalt kluven mjuk gom
Q353C  Totalt kluven mjuk gom
Q355A  Subtotalt kluven h†rd gom, totalt kluven mjuk gom
Q355B  Totalt kluven h†rd gom, totalt kluven mjuk gom
Q355W  Annan kluven h†rd och mjuk gom
Q360A  Bilateralt kluven l„pp
Q360B  Bilateralt kluven l„pp/k„ke
Q361A  Medialt kluven l„pp
Q361B  Medialt kluven l„pp/k„ke
Q369A  Unilateralt kluven l„pp
Q369B  Unilateralt kluven l„pp/k„ke
Q372A  Kluven mjuk gom med bilateralt kluven l„pp
Q372B  Kluven mjuk gom med bilateralt kluven l„pp/k„ke
Q373A  Kluven mjuk gom med unilateralt kluven l„pp
Q373B  Kluven mjuk gom med unilateralt kluven l„pp/k„ke
Q374A  Kluven h†rd och mjuk gom med bilateralt kluven l„pp
Q374B  Kluven h†rd och mjuk gom med bilateralt kluven l„pp/k„ke
Q375A  Kluven h†rd och mjuk gom med unilateralt kluven l„pp
Q375B  Kluven h†rd och mjuk gom med unilateralt kluven l„pp/k„ke
Q378A  Ospecificerat kluven gom med bilateralt kluven l„pp
Q378B  Ospecificerat kluven gom med bilateralt kluven l„pp/k„ke
Q379A  Ospecificerat kluven gom med unilateralt kluven l„pp
Q379B  Ospecificerat kluven gom med unilateralt kluven l„pp/k„ke
Q385A  Medf”dd gominsufficiens
Q385W  Annan specificerad medf”dd missbildning i gommen
Q385X  Medf”dd missbildning i gommen, ospecificerad
Q386A  Morbus Fordyce labiorum
Q386B  White sponge nevus [Cannon]
Q386W  Andra och icke specificerade medf”dda missbildningar i munh†lan
Q431A  Hirchsprungs sjukdom (aganglionos) med kort segment
Q431B  Hirchsprungs sjukdom (aganglionos) med ultrakort segment
Q431X  Megakolon, medf”dd, UNS
Q442A  Gallg†ngsatresi, extrahepatisk
Q442B  Gallg†ngsatresi, intrahepatisk
Q658A  Coxa valga, medf”dd
Q658B  Coxa vara, medf”dd
Q658C  Acetabul„r dysplasi
Q658W  Annan specificerad medf”dd h”ftledsdeformitet
Q741A  Genu valgum, medf”dd
Q741B  Genu varum, medf”dd
Q741C  Patellarmissbildning
Q741X  Kn„missbildning UNS
Q764A  Kyfos, medf”dd
Q764B  Lordos, medf”dd
Q764W  Annan medf”dd specificerad missbildning av kotpelaren, ej f”renad med skolios
Q808A  Ichtyosis follicularis
Q808B  Ichtyosis hystrix
Q808C  Ichtyosis linearis circumflexa
Q808D  Ruds syndrom
Q808E  Trikotiodystrofi
Q808W  Annan medf”dd iktyos
Q822A  Urticaria pigmentosa
Q822B  Diffus kutan mastocytos
Q822C  Kutant mastocytom
Q822D  Telangiectasia macularis eruptiva perstans
Q822X  Mastocytos, ospecificerad
Q825A  Jordgubbsnevus
Q825B  Naevus flammeus
Q825C  K„rlnevus UNS
Q825D  Verruk”st nevus
Q825E  Inflammatoriskt line„rt verruk”st epidermalt nevus [ILVEN]
Q825F  Naevus comedonicus
Q825G  Naevus sebaceus [Jadassohn]
Q825H  Naevus syringocystadenomatosus papilliferus
Q825X  Medf”tt icke-neoplastiskt nevus, ospecificerat
Q828B  Cutis laxa (hyperelastica)
Q828D  Familj„r benign pemfigus [Hailey-Hailey]
Q828E  Keratosis follicularis [Darier-White]
Q828F  rftlig keratosis palmaris et plantaris
Q828G  Acanthosis nigricans benigna (medf”dd)
Q828H  Cutis verticis gyrata
Q828J  Elastoma juvenile
Q828K  Erythrokeratolysis hiemalis
Q828L  Hemangiomatos (systemisk)
Q828M  Hidrotisk ektodermal dysplasi
Q828N  Keratosis follicularis spinulosa decalvans
Q828Q  Pseudoxanthoma elasticum
Q828R  Acrokeratosis verruciformis [Hopf]
Q828S  Blooms syndrom
Q828T  Porokeratos [Mibelli]
Q828W  Andra medf”dda missbildningar av huden
Q841A  Monilethrix
Q841B  Pili annulati
Q841C  Pili torti
Q841D  Trichostasis spinulosa (congenita)
Q841E  Woolly hair nevus
Q841W  Andra morfologiska h†rmissbildningar som ej klassificeras annorst„des
Q842A  Kvarvarande lanugoh†r
Q842B  Medf”dd hypertrikos
Q842C  Ulerythema ophryogenes
Q842W  Andra medf”dda h†rmissbildningar
Q846A  Medf”dd klubbnagel
Q846B  Medf”dd koilonyki
Q846C  Medf”dd nagelsk”rhet
Q846D  Medf”dd onychorrhexis
Q846E  Medf”dd onykodysplasi av pekfingernaglar [Iso-Kikuchi]
Q846F  Nagelatrofi (medf”dd)
Q846G  Onychoheterotopia congenita
Q846H  Platyonychia (congenita)
Q846J  Polyunguia
Q846W  Andra medf”dda missbildningar av naglar
Q848A  Aplasia cutis congenita
Q848B  Fokal dermal hypoplasi
Q848C  Bitemporala „rr med onormala ”gonfransar
Q848D  Familj„r fokal facial dermal dysplasi
Q848W  Andra specificerade medf”dda missbildningar av t„ckv„vnad
Q858A  Peutz-Jeghers syndrom
Q858B  Sturge-Weber(-Dimitris) syndrom
Q858C  von Hippel-Lindaus syndrom
Q858W  Andra specificerade fakomatoser
Q870A  Akrocefalopolysyndaktyli
Q870B  Akrocefalosyndaktyli [Apert]
Q870C  Cyklopi
Q870D  Goldenhars syndrom
Q870E  Robins syndrom
Q870G  Orofacialdigitalt syndrom I
Q870J  Dyscephalia mandibulo-oculofacialis
Q870K  Familj„r mandibuloakral dysplasi
Q870L  Tricho-dento-osseous syndrome (TDO-I, TDO-II, TDO-III)
Q870M  Tricho-odonto-onychial dysplasia
Q870N  Oculo-dento-digital dysplasia
Q870W  Andra medf”dda missbildningssyndrom som fr„mst p†verkar ansiktets utseende
Q871A  Aarskogs syndrom
Q871B  Cockaynes syndrom
Q871C  de Langes syndrom
Q871D  Dubowitz syndrom
Q871E  Noonans syndrom
Q871F  Prader-Willis syndrom
Q871G  Russell-Silvers syndrom
Q871J  Seckels syndrom
Q871K  Sj”gren-Larssons syndrom
Q871W  Andra medf”dda missbildningssyndrom som fr„mst „r f”renade med kortv„xthet
Q872B  Klippel-Tr‚naunay-Webers syndrom
Q872C  Nail patella syndrome
Q872D  Rubinstein-Taybis syndrom
Q872W  Andra medf”dda missbildningssyndrom som fr„mst engagerar extremiteter
Q878A  Alports syndrom
Q878B  Laurence-Moon-Biedls syndrom
Q878C  Ushers syndrom
Q878D  Zellwegers syndrom
Q878W  Andra specificerade medf”dda missbildningssyndrom som ej klassificeras annorst„des
Q898A  Autosomalt dominant missbildning som ej klassificeras annorst„des
Q898B  Autosomalt recessiv missbildning som ej klassificeras annorst„des
Q898C  K”nsbunden recessiv missbildning som ej klassificeras annorst„des
Q898D  Medf”dd cysta som ej klassificeras annorst„des
Q898E  Centrofacial lentiginos
Q898F  Kutan lentiginos med f”rmaksmyxom
Q898G  Multiple lentigines syndrome
Q898W  Andra specificerade medf”dda missbildningar
R029A  Dermatitis gangraenosa infantum
R029B  Gangr„n”s cellulit
R029X  Gangr„n som ej klassificeras annorst„des
R104A  Sp„dbarnskolik
R104X  Buksm„rtor UNS
R119A  Illam†ende
R119B  Kr„kningar
R231A  Livedo reticularis
R231B  Idiopatisk livedo reticularis
R231C  Idiopatisk livedo reticularis med systemengagemang
R231D  Naevus anemicus
R231W  Annan och icke specificerad blekhet
R233A  Ekkymoser
R233B  Petekier
R233C  Achenbachs syndrom
R233D  Purpura traumatica pedis
R233E  Pigmented palmar petechiae
R233W  Andra och icke specificerade spontana punktformiga bl”dningar
R234A  Deskvamation av huden
R234B  Induration av huden
R234C  Keratolysis exfoliativa
R234D  Ragad i hud
R234W  Andra och icke specificerade f”r„ndringar i hudstrukturen
R238A  Cutis marmorata
R238B  Bl†sa (hud)
R238C  Papel UNS
R238D  Seborr‚ UNS
R238E  Hudrynkor
R238W  Andra och icke specificerade hudf”r„ndringar
R349A  Anuri
R349B  Oliguri
R359A  Polyuri
R359B  Nykturi
R359C  Pollakisuri
R418A  Lindrig kognitiv st”rning, subjektiv
R418W  Andra och icke specificerade symtom och sjukdomstecken som engagerar uppfattningsf”rm†ga och varseblivning
R470A  Dysfasi och afasi
R470B  Pragmatisk spr†kst”rning
R470C  Annan specificerad spr†kst”rning
R470D  Ospecificerad spr†kst”rning
R471A  Dysartri
R471B  Dysartrofoni
R471W  Annan specificerad dysartri/dysartrofoni
R471X  Dysartri/dysartrofoni, ospecificerad
R478A  Artikulationssv†righeter av anatomisk orsak
R478B  Velofarynxinsufficiens UNS
R478C  Kompensatoriskt artikulationss„tt
R478D  Dysprosodi
R478W  Annan specificerad talst”rning
R478X  Talst”rning, ospecificerad
R482A  Oral apraxi
R482B  Verbal apraxi
R490A  Funktionell barnheshet
R490B  Funktionell dysfoni
R490C  Habituell dysfoni
R490D  ldersbetingad heshet
R490W  Annan specificerad dysfoni
R490X  Dysfoni, ospecificerad
R492A  ™ppen nasalitet
R492B  Blandad nasalitet
R492C  Sluten nasalitet
R492D  Gutturalitet
R492W  Annan specificerad klangst”rning
R492X  Klangst”rning, ospecificerad
R498A  Fonasteni
R498B  M†lbrottsst”rning
R498C  Avvikande r”stl„ge
R498D  S†ngr”stst”rning
R498E  Fickbandsfonation
R498F  R”sttremor
R498W  Andra specificerade r”strubbningar
R498X  R”strubbning, ospecificerad
R568A  Affektkramper
R568X  Krampanfall, ospecificerade
R600A  Ansikts”dem UNS
R600B  Lip”dem (underben)
R600C  Underbens”dem UNS
R600D  Secretans syndrom
R600X  Lokaliserat ”dem, ospecificerat
R610A  Axill„r hyperhidros
R610B  Hyperhidros h„nder och f”tter
R610X  Lokaliserad hyperhidros, ospecificerad
R628A  Failure to thrive
R628B  Infantilism UNS
R628W  Annan ospecificerad tillv„xtrubbning
R730A  Glukostolerans, nedsatt (IGT)
R730B  Diabetes, latent (prediabetes)
R730X  Onormalt glukostoleranstest UNS
R761A  Tuberkulintest (PPD) negativt
R761B  Tuberkulintest (PPD) positivt
R761C  Tuberkulintest (PPD) starkt positivt
R761D  Hudtest avseende andra mykobakterier, positivt
R761E  Hudtest avseende andra mykobakterier, negativt
R931A  Hj„rtr”ntgen, f”rstorat hj„rta
R931B  Ultraljudsunders”kning av hj„rta, onormalt fynd
R931W  Annat onormalt fynd vid radiologisk unders”kning av hj„rtat och koronarcirkulationen
R943A  Elektrokardiogram (EKG) ej normalt
R943B  Fonokardiogram (FKG) ej normalt
R943C  Vektorkardiogram ej normalt
R943W  Annat onormalt fynd vid kardiovaskul„r unders”kning
R948A  Basalmetabolismprov (BMB) ej normalt
R948B  Bl†sfunktionsprov ej normalt
R948X  Annan ej specificerad funktionsunders”kning med icke normalt resultat
S832L  Lateral traumatisk meniskruptur i kn„led
S832M  Medial traumatisk meniskruptur i kn„led
S832X  Traumatisk meniskruptur UNS i kn„led
S833L  Lateral broskskada i kn„led
S833M  Medial broskskada i kn„led
S833Q  Patell„r broskskada i kn„led
S834L  Lateral kollateralligamentdistorsion/ruptur i kn„led
S834M  Medial kollateralligamentdistorsion/ruptur i kn„led
S834X  Kollateralligamentdistorsion/ruptur i kn„led UNS
S835R  Fr„mre korsbandsdistorsion/ruptur
S835S  Bakre korsbandsdistorsion/ruptur
S835X  Korsbandsdistorsion/ruptur UNS
T140A  Hematom, ospecificerat
T140B  Skrubbs†r, ospecificerat
T140C  Exkoriation
T140D  Icke giftigt insektsbett, ospecificerat
T140E  Bl†sbildning, ospecificerad (ej br„nnskada)
T140X  Ospecificerad ytlig skada p† icke specificerad kroppsregion
T141A  Bett av djur, ospecificerat
T141B  ™ppen s†rskada, ospecificerad
T141X  Ospecificerad s†rskada p† icke specificerad kroppsregion
T634A  Getingstick, bistick
T634W  Bett av andra giftiga leddjur
T634X  Insektsbett, giftigt, UNS
T782A  Allergisk chock
T782B  Anafylaxi UNS
T782X  Anafylaktisk chock, ospecificerad
T840B  Mekanisk komplikation av inre ledprotes i axelled
T840C  Mekanisk komplikation av inre ledprotes i armb†ge
T840D  Mekanisk komplikation av inre ledprotes i handled/hand
T840F  Mekanisk komplikation av inre ledprotes i h”ftled
T840G  Mekanisk komplikation av inre ledprotes i kn„led
T840H  Mekanisk komplikation av inre ledprotes i fotled/fot
T840X  Mekanisk komplikation av inre ledprotes med annan eller icke specificerad lokalisation
T841B  Mekanisk komplikation av instrument f”r inre fixation i axelled/”verarm
T841C  Mekanisk komplikation av instrument f”r inre fixation i armb†ge/underarm
T841D  Mekanisk komplikation av instrument f”r inre fixation i handled/hand
T841F  Mekanisk komplikation av instrument f”r inre fixation i h”ftled/l†r
T841G  Mekanisk komplikation av instrument f”r inre fixation i kn„led/underben
T841H  Mekanisk komplikation av instrument f”r inre fixation i fotled/fot
T841X  Mekanisk komplikation av instrument f”r inre fixation av extremitetsben med annan eller icke specificerad lokalisation
T842A  Mekanisk komplikation av instrument f”r inre fixation av andra skelettben i halsryggen
T842E  Mekanisk komplikation av instrument f”r inre fixation av andra skelettben i b„ckenet
T842J  Mekanisk komplikation av instrument f”r inre fixation av andra skelettben i torakalryggen
T842K  Mekanisk komplikation av instrument f”r inre fixation av andra skelettben i l„ndryggen
T842X  Mekanisk komplikation av instrument f”r inre fixation av andra skelettben med icke specificerad lokalisation
T843A  Mekanisk komplikation av andra instrument, implantat och transplantat i halsryggen
T843B  Mekanisk komplikation av andra instrument, implantat och transplantat i axelled/”verarm
T843C  Mekanisk komplikation av andra instrument, implantat och transplantat i armb†ge/underarm
T843D  Mekanisk komplikation av andra instrument, implantat och transplantat i handled/hand
T843E  Mekanisk komplikation av andra instrument, implantat och transplantat i b„ckenet
T843F  Mekanisk komplikation av andra instrument, implantat och transplantat i h”ftled/l†r
T843G  Mekanisk komplikation av andra instrument, implantat och transplantat i kn„led/underben
T843H  Mekanisk komplikation av andra instrument, implantat och transplantat i fotled/fot
T843J  Mekanisk komplikation av andra instrument, implantat och transplantat i torakalryggen
T843K  Mekanisk komplikation av andra instrument, implantat och transplantat i l„ndryggen
T843X  Mekanisk komplikation av andra instrument, implantat och transplantat i skelettben med icke specificerad lokalisation
T845B  Infektion och inflammatorisk reaktion orsakad av inre ledprotes i axelled/”verarm
T845C  Infektion och inflammatorisk reaktion orsakad av inre ledprotes i armb†ge/underarm
T845D  Infektion och inflammatorisk reaktion orsakad av inre ledprotes i handled/hand
T845F  Infektion och inflammatorisk reaktion orsakad av inre ledprotes i h”ftled/l†r
T845G  Infektion och inflammatorisk reaktion orsakad av inre ledprotes i kn„led/underben
T845H  Infektion och inflammatorisk reaktion orsakad av inre ledprotes i fotled/fot
T845X  Infektion och inflammatorisk reaktion orsakad av inre ledprotes med annan eller icke specificerad lokalisation
T846A  Infektion och inflammatorisk reaktion orsakad av inre fixationsinstrument i halsryggen
T846B  Infektion och inflammatorisk reaktion orsakad av inre fixationsinstrument i axelled/”verarm
T846C  Infektion och inflammatorisk reaktion orsakad av inre fixationsinstrument i armb†ge/underarm
T846D  Infektion och inflammatorisk reaktion orsakad av inre fixationsinstrument i handled/hand
T846E  Infektion och inflammatorisk reaktion orsakad av inre fixationsinstrument i b„ckenet
T846F  Infektion och inflammatorisk reaktion orsakad av inre fixationsinstrument i h”ftled/l†r
T846G  Infektion och inflammatorisk reaktion orsakad av inre fixationsinstrument i kn„led/underben
T846H  Infektion och inflammatorisk reaktion orsakad av inre fixationsinstrument i fotled/fot
T846J  Infektion och inflammatorisk reaktion orsakad av inre fixationsinstrument i torakalryggen
T846K  Infektion och inflammatorisk reaktion orsakad av inre fixationsinstrument i l„ndryggen
T846X  Infektion och inflammatorisk reaktion orsakad av inre fixationsinstrument med icke specificerad lokalisation
T847A  Infektion och inflammatorisk reaktion orsakad av andra inre ortopediska proteser, implantat och transplantat i halsryggen
T847B  Infektion och inflammatorisk reaktion orsakad av andra inre ortopediska proteser, implantat och transplantat i axelled/”verarm
T847C  Infektion och inflammatorisk reaktion orsakad av andra inre ortopediska proteser, implantat och transplantat i armb†ge/underarm
T847D  Infektion och inflammatorisk reaktion orsakad av andra inre ortopediska proteser, implantat och transplantat i  handled/hand
T847E  Infektion och inflammatorisk reaktion orsakad av andra inre ortopediska proteser, implantat och transplantat i b„ckenet
T847F  Infektion och inflammatorisk reaktion orsakad av andra inre ortopediska proteser, implantat och transplantat i h”ftled/l†r
T847G  Infektion och inflammatorisk reaktion orsakad av andra inre ortopediska proteser, implantat och transplantat i kn„led/underben
T847H  Infektion och inflammatorisk reaktion orsakad av andra inre ortopediska proteser, implantat och transplantat i fotled/fot
T847J  Infektion och inflammatorisk reaktion orsakad av andra inre ortopediska proteser, implantat och transplantat i torakalryggen
T847K  Infektion och inflammatorisk reaktion orsakad av andra inre ortopediska proteser, implantat och transplantat i l„ndryggen
T847X  Infektion och inflammatorisk reaktion orsakad av andra inre ortopediska proteser, implantat och transplantat med icke specificerad lokalisation
T848A  Annan specificerad komplikation av inre ortopediska proteser, implantat och transplantat i halsryggen
T848B  Annan specificerad komplikation av inre ortopediska proteser, implantat och transplantat i axelled/”verarm
T848C  Annan specificerad komplikation av inre ortopediska proteser, implantat och transplantat i armb†ge/underarm
T848D  Annan specificerad komplikation av inre ortopediska proteser, implantat och transplantat i  handled/hand
T848E  Annan specificerad komplikation av inre ortopediska proteser, implantat och transplantat i b„ckenet
T848F  Annan specificerad komplikation av inre ortopediska proteser, implantat och transplantat i h”ftled/l†r
T848G  Annan specificerad komplikation av inre ortopediska proteser, implantat och transplantat i kn„led/underben
T848H  Annan specificerad komplikation av inre ortopediska proteser, implantat och transplantat i fotled/fot
T848J  Annan specificerad komplikation av inre ortopediska proteser, implantat och transplantat i torakalryggen
T848K  Annan specificerad komplikation av inre ortopediska proteser, implantat och transplantat i l„ndryggen
T848X  Annan specificerad komplikation av inre ortopediska proteser, implantat och transplantat med icke specificerad lokalisation
T860A  Funktionssvikt och avst”tning av transplanterade organ och v„vnader, avst”tning av benm„rgstransplantat
T860B  Funktionssvikt och avst”tning av transplanterade organ och v„vnader, graft-versus-host-sjukdom
T861A  Funktionssvikt eller avst”tning av njurtransplantat, akut cellmedierad avst”tning
T861B  Funktionssvikt eller avst”tning av njurtransplantat, akut vaskul„r avst”tning
T861C  Funktionssvikt eller avst”tning av njurtransplantat, akut icke biopsiverifierad avst”tning
T861D  Funktionssvikt eller avst”tning av njurtransplantat, kronisk rejektion, biopsiverifierad
T861E  Funktionssvikt eller avst”tning av njurtransplantat, kronisk rejektion, icke biopsiverifierad
T861F  Funktionssvikt eller avst”tning av njurtransplantat, †terkomst av grundsjukdom i transplantat
T861W  Funktionssvikt eller avst”tning av njurtransplantat, annan specificerad orsak
T861X  Funktionssvikt eller avst”tning av njurtransplantat, ospecificerad orsak
T862A  Funktionssvikt eller avst”tning av hj„rttransplantat, akut cellmedierad avst”tning
T862B  Funktionssvikt eller avst”tning av hj„rttransplantat, akut vaskul„r avst”tning
T862C  Funktionssvikt eller avst”tning av hj„rttransplantat, akut icke biopsiverifierad avst”tning
T862D  Funktionssvikt eller avst”tning av hj„rttransplantat, objektivt verifierad koronarskleros
T862W  Funktionssvikt eller avst”tning av hj„rttransplantat, annan specificerad orsak
T862X  Funktionssvikt eller avst”tning av hj„rttransplantat, ospecificerad orsak
T863A  Funktionssvikt eller avst”tning av lungtransplantat, akut biopsiverifierad avst”tning
T863B  Funktionssvikt eller avst”tning av lungtransplantat, akut icke biopsiverifierad avst”tning
T863C  Funktionssvikt eller avst”tning av lungtransplantat, obstruktiv bronkiolit
T863W  Funktionssvikt eller avst”tning av lungtransplantat, annan specificerad orsak
T863X  Funktionssvikt eller avst”tning av lungtransplantat, ospecificerad orsak
T864A  Funktionssvikt eller avst”tning av levertransplantat, akut biopsiverifierad avst”tning
T864B  Funktionssvikt eller avst”tning av levertransplantat, icke akut biopsiverifierad avst”tning
T864C  Funktionssvikt eller avst”tning av levertransplantat, vanishing bile duct syndrome
T864D  Funktionssvikt eller avst”tning av levertransplantat, kronisk icke biopsiverifierad avst”tning
T864E  Funktionssvikt eller avst”tning av levertransplantat, †terkomst av grundsjukdom i transplantat
T864W  Funktionssvikt eller avst”tning av levertransplantat, annan specificerad orsak
T864X  Funktionssvikt eller avst”tning av levertransplantat, ospecificerad orsak
T868A  Funktionssvikt eller avst”tning av bukspottk”rteltransplantat, akut avst”tning av vaskulariserat bukspottk”rteltransplantat
T868B  Funktionssvikt eller avst”tning av bukspottk”rteltransplantat, kronisk avst”tning av vaskulariserat bukspottk”rteltransplantat
T868C  Funktionssvikt eller avst”tning av bukspottk”rteltransplantat, akut avst”tning av ”cellstransplantat
T868D  Funktionssvikt eller avst”tning av bukspottk”rteltransplantat, kronisk avst”tning av ”cellstransplantat
T868E  Funktionssvikt eller avst”tning av bukspottk”rteltransplantat, annan specificerad orsak
T868F  Funktionssvikt eller avst”tning av bukspottk”rteltransplantat, annan ospecificerad orsak
T868W  Funktionssvikt eller avst”tning av andra specificerade organ eller v„vnader
T873B  Neurom i amputationsstump, axelled/”verarm
T873C  Neurom i amputationsstump, armb†ge/underarm
T873D  Neurom i amputationsstump, handled/hand
T873F  Neurom i amputationsstump, h”ftled/l†rben
T873G  Neurom i amputationsstump, kn„led/underben
T873H  Neurom i amputationsstump, fotled/fot
T873X  Neurom i amputationsstump, ospecificerad lokalisation
T874B  Infektion i amputationsstump, axelled/”verarm
T874C  Infektion i amputationsstump, armb†ge/underarm
T874D  Infektion i amputationsstump, handled/hand
T874F  Infektion i amputationsstump, h”ftled/l†rben
T874G  Infektion i amputationsstump, kn„led/underben
T874H  Infektion i amputationsstump, fotled/fot
T874X  Infektion i amputationsstump, ospecificerad lokalisation
T875B  Nekros i amputationsstump, axelled/”verarm
T875C  Nekros i amputationsstump, armb†ge/underarm
T875D  Nekros i amputationsstump, handled/hand
T875F  Nekros i amputationsstump, h”ftled/l†rben
T875G  Nekros i amputationsstump, kn„led/underben
T875H  Nekros i amputationsstump, fotled/fot
T875X  Nekros i amputationsstump, ospecificerad lokalisation
T876B  ™dem och andra komplikationer i amputationsstump, axelled/”verarm
T876C  ™dem och andra komplikationer i amputationsstump, armb†ge/underarm
T876D  ™dem och andra komplikationer i amputationsstump, handled/hand
T876F  ™dem och andra komplikationer i amputationsstump, h”ftled/l†rben
T876G  ™dem och andra komplikationer i amputationsstump, kn„led/underben
T876H  ™dem och andra komplikationer i amputationsstump, fotled/fot
T876X  ™dem och andra komplikationer i amputationsstump, ospecificerad lokalisation
T887A  L„kemedelsreaktion pga allergi, idiosynkrasi
T887X  L„kemedelsreaktion UNS
Y071A  Barnmisshandel, fysisk, ut”vad av f”r„lder
Y071B  Barnmisshandel, psykisk, ut”vad av f”r„lder
Y071C  Barnmisshandel, sexuell, ut”vad av f”r„lder
Y071X  Barnmisshandel, ospecificerad form, ut”vad av f”r„lder
Y078A  Barnmisshandel, fysisk, ut”vad av annan „n f”r„lder
Y078B  Barnmisshandel, psykisk, ut”vad av annan „n f”r„lder
Y078C  Barnmisshandel, sexuell, ut”vad av annan „n f”r„lder
Y078X  Barnmisshandel, ospecificerad, ut”vad av annan „n f”r„lder
Y586A  Komplikation av vaccin mot kikhosta, enbart (P)
Y586B  Komplikation av vaccin mot difteri, kikhosta och stelkramp, kombinerat (DPT)
Y586W  Komplikation av annat kombinerat bakterievaccin med kikhostekomponent
Y589A  Komplikation av vaccin mot Haemophilus influenzae B (HIB)
Y589X  Komplikation av andra icke specificerade bakteriella vacciner
Y590A  Komplikation av vaccin mot m„ssling, enbart (M)
Y590B  Komplikation av vaccin mot r”da hund, enbart (R)
Y590C  Komplikation av vaccin mot p†ssjuka, enbart (P)
Y590D  Komplikation av vaccin mot m„ssling, p†ssjuka och r”da hund, kombinerade (MPR)
Y590E  Komplikation av vaccin mot polio
Y590W  Komplikation av annat specificerat virusvaccin
Z015A  Allergologisk intrakutantest (pricktest) som bes”ksorsak
Z015B  Hudtest f”r bakteriesjukdom som bes”ksorsak
Z015C  Fotopatchtest som bes”ksorsak
Z015D  Lapptest standardserie som bes”ksorsak
Z015E  Lapptest dentalserie som bes”ksorsak
Z015W  Annan lapptest som bes”ksorsak
Z015X  Diagnostiska hud- och ”verk„nslighetstest, ospecificerade
Z024A  Unders”kning f”r k”rkort
Z024B  Unders”kning f”r flygcertifikat
Z027A  Utf„rdande av d”dsbevis
Z027B  Utf„rdande av friskintyg
Z030A  Observation/utredning f”r misst„nkt tuberkulos
Z030B  Observation/utredning f”r misst„nkt infektion med atypiska mykobakterier
Z032A  Observation f”r misst„nkt kognitiv st”rning
Z032W  Observation f”r andra misst„nkta sjukdomar och beteendest”rningar
Z038A  Observation/utredning f”r misst„nkt allergi/atopi
Z038B  Observation/utredning f”r misst„nkt infektionssjukdom (bakterier, virus)
Z038C  Observation/utredning f”r misst„nkt protozo- och maskinfektion
Z038D  Observation/utredning f”r misst„nkt urinv„gssjukdom
Z038E  Observation/utredning f”r misst„nkt mag-tarmsjukdom
Z038F  Observation/utredning f”r misst„nkt diabetes
Z038G  Observation/utredning f”r misst„nkt annan endokrin sjukdom
Z038H  Observation/utredning f”r misst„nkt nutritionsrubbning
Z038J  Observation/utredning f”r misst„nkt blodsjukdom eller immunbristtillst†nd
Z038K  Observation/utredning f”r misst„nkt misshandel
Z038L  Observation/utredning f”r misst„nkt medf”dd missbildning eller kromosomavvikelse
Z038W  Observation/utredning f”r misst„nkt annan specificerad sjukdom
Z089A  Kontrollunders”kning efter behandling f”r basalcellscancer
Z089B  Kontrollunders”kning efter behandling f”r skivepitelcancer i huden
Z089C  Kontrollunders”kning efter behandling f”r malignt melanom i huden
Z089X  Kontrollunders”kning efter behandling f”r icke specificerad malign tum”r
Z094A  Kontroll efter fraktur i halsregionen
Z094B  Kontroll efter fraktur p† axel/”verarm
Z094C  Kontroll efter fraktur p† armb†ge/underarm
Z094D  Kontroll efter fraktur p† handled/hand
Z094E  Kontroll efter fraktur i b„ckenregionen
Z094F  Kontroll efter fraktur p† h”ft/l†r
Z094G  Kontroll efter fraktur p† kn„/underben
Z094H  Kontroll efter fraktur p† fotled/fot
Z094J  Kontroll efter fraktur i torakalregionen
Z094K  Kontroll efter fraktur i l„ndregionen
Z094X  Kontroll efter fraktur med icke specificerad lokalisation
Z113A  Riktad h„lsokontroll avseende condyloma acuminatum
Z113B  Riktad h„lsokontroll avseende gonorr‚
Z113C  Riktad h„lsokontroll avseende herpes genitalis
Z113D  Riktad h„lsokontroll avseende syfilis
Z113E  Riktad h„lsokontroll avseende urogenital klamydiainfektion
Z113X  Riktad h„lsokontroll avseende icke specificerad venerisk sjukdom
Z138A  Riktad h„lsokontroll avseende atopisk sjukdom
Z138W  Riktad h„lsokontroll avseende andra specificerade tillst†nd
Z202A  Kontakt med och exponering f”r gonorr‚
Z202B  Kontakt med och exponering f”r klamydia (urogenital)
Z202C  Kontakt med och exponering f”r syfilis
Z202X  Kontakt med och exponering f”r icke specificerad venerisk sjukdom
Z223A  B„rare av streptokocker
Z223B  B„rare av meningokocker
Z223C  B„rare av stafylokocker
Z223W  B„rare av andra specificerade bakterier
Z271A  Vaccination mot difteri + tetanus (DT)
Z271B  Vaccination mot difteri + tetanus + pertussis (DPT)
Z311A  Donatorinsemination
Z311B  Makeinsemination
Z311X  Artificiell insemination, ospecificerad
Z312A  In vitro-fertilisering med utplockning av „gg, befruktning utanf”r kroppen och †terf”rande av befruktade „ggceller
Z312B  In vitro-fertilisering med utplockning av „gg, befruktning genom mikroinjektion av spermie och †terf”rande av befruktade „ggceller
Z312C  In vitro-fertilisering genom †terf”rande av frysta, upptinade befruktade „ggceller
