AA027	Innlegging av intracerebral trykkmåler
NHG40	Artrodese av talokruralledd med intern fiksasjon
NHG41	Artrodese av subtalarledd med intern fiksasjon
NHG42	Trippelartrodese med intern fiksasjon
NHG43	Artrodese av tarsalledd med intern fiksasjon
NHG44	Artrodese av første tarsometatarsalledd med intern fiksasjon
NHG45	Artrodese av annet tarsometatarsalledd med intern fiksasjon
NHG46	Artrodese første metatarsofalangealledd med intern fiksasjon
NHG47	Artrodese av annet tarsometatarsalledd med intern fiksasjon
NHG49	Artrodese av annet ledd i fot med intern fiksasjon
NHG50	Artrodese av talokruralledd med ekstern fiksasjon
NHG51	Artrodese av subtalarledd med ekstern fiksasjon
NHG52	Trippelartrodese med ekstern fiksasjon
NHG53	Artrodese av tarsalledd med ekstern fiksasjon
NHG54	Artrodese første tarsometatarsalledd med ekstern fiksasjon
NHG55	Artrodese av annet tarsometatarsalledd med ekstern fiksasjon
NHG56	Artrodese første metatarsofalangealledd ekstern fiksasjon
NHG57	Artrodese av annet tarsometatarsalledd med ekstern fiksasjon
NHG59	Artrodese av annet ledd i fot med ekstern fiksasjon
NHG90	Annen eksisjon/rekonstruksjon/artrodese av talokruralledd
NHG91	Annen eksisjon/rekonstruksjon/artrodese av subtalarledd
NHG93	Annen eksisjon, rekonstruksjon eller artrodese av tarsalledd
NHG94	Annen eksisjon/rekonstr/artrodese første tarsometatarsalledd
NHG95	Annen eksisjon/rekonstr/artrodese annet tarsometatarsalledd
NHG96	Annen eksisjon/rekonstr/artrodese første metatarsofalangledd
NHG97	Annen eksisjon/rekonstr/artrodese av annet tarsometatarsledd
NHG99	Annen eksisjon/rekonstruksjon/artrodese av annet ledd i fot
NHH00	Lukket reposisjon av ankelluksasjon
NHH02	Åpen reposisjon av ankelluksasjon
NHH10	Lukket reposisjon av luksasjon av annet ledd i fot
NHH12	Åpen reposisjon av luksasjon av annet ledd i fot
NHH20	Lukket reposisjon av proteseluksasjon i ankel eller fot
NHH22	Åpen reposisjon av proteseluksasjon i ankel eller fot
NHH30	Lukket adheranseløsning i ledd i ankel eller fot
NHH31	Endoskopisk adheranseløsning i ledd i ankel eller fot
NHH32	Åpen adheranseløsning i ledd i ankel eller fot
NHH40	Lukket fjerning av fremmed/fritt legeme fra ledd i ankel/fot
NHH41	Endoskopisk fjern fremmed/fritt legeme fra ledd i ankel/fot
NHH42	Åpen fjerning av fremmed/fritt legeme fra ledd i ankel/fot
NHH51	Endoskopisk eksisj intraartik eksostose/osteofytt ankel/fot
NHH52	Åpen eksisjon intraartik eksostose/osteofytt i ankel/fot
NHH72	Operasjon for habituell luksasjon i ankel eller fot
NHH90	Annen lukket operasjon på ledd i ankel eller fot
NHH91	Annen endoskopisk operasjon på ledd i ankel eller fot
NHH92	Annen åpen operasjon på ledd i ankel eller fot
NHJ00	Lukket reposisjon av fraktur i laterale malleol
NHJ01	Lukket reposisjon av fraktur i mediale malleol
NHJ02	Lukket reposisjon av fraktur i begge malleoler
NHJ03	Lukket reposisjon av trippelfraktur i ankel
NHJ04	Lukket reposisjon av talusfraktur
NHJ05	Lukket reposisjon av calcaneusfraktur
NHJ06	Lukket reposisjon av annen fotrotsfraktur
NHJ07	Lukket reposisjon av metatarsfraktur
NHJ08	Lukket reposisjon av tåfraktur
NHJ10	Åpen reposisjon av fraktur i laterale malleol
NHJ11	Åpen reposisjon av fraktur i mediale malleol
NHJ12	Åpen reposisjon av fraktur i begge malleoler
NHJ13	Åpen reposisjon av trippelfraktur i ankel
NHJ14	Åpen reposisjon av talusfraktur
NHJ15	Åpen reposisjon av calcaneusfraktur
NHJ16	Åpen reposisjon av annen fotrotsfraktur
NHJ17	Åpen reposisjon av metatarsfraktur
NHJ18	Åpen reposisjon av tåfraktur
NHJ20	Ekstern fiksasjon av fraktur i laterale malleol
NHJ21	Ekstern fiksasjon av fraktur i mediale malleol
NHJ22	Ekstern fiksasjon av fraktur i begge malleoler
NHJ23	Ekstern fiksasjon av trippelfraktur i ankel
NHJ24	Ekstern fiksasjon av talusfraktur
NHJ25	Ekstern fiksasjon av calcaneusfraktur
NHJ26	Ekstern fiksasjon av annen fotrotsfraktur
NHJ27	Ekstern fiksasjon av metatarsfraktur
NHJ28	Ekstern fiksasjon av tåfraktur
NHJ30	Osteosyntese av fraktur i laterale malleol med bioimplantat
NHJ31	Osteosyntese av fraktur i mediale malleol med bioimplantat
NHJ32	Osteosyntese av fraktur i begge malleoler med bioimplantat
NHJ33	Osteosyntese av trippelfraktur i ankel med bioimplantat
NHJ34	Osteosyntese av talusfraktur med bioimplantat
NHJ35	Osteosyntese av calcaneusfraktur med bioimplantat
NHJ36	Osteosyntese av annen fotrotsfraktur med bioimplantat
NHJ37	Osteosyntese av metatarsfraktur med bioimplantat
NHJ38	Osteosyntese av tåfraktur med bioimplantat
NHJ40	Osteosynt lateral malleolfrakt med metalltråd/cerclage/pinne
NHJ41	Osteosynt medial malleolfrakt med metalltråd/cerclage/pinne
NHJ42	Osteosynt bimalleolarfraktur med metalltråd/cerclage/pinne
NHJ43	Osteosynt trippelfraktur ankel med metalltråd/cerclage/pinne
NHJ44	Osteosyntese av talusfraktur med metalltråd/cerclage/pinne
NHJ45	Osteosynt calcaneusfraktur med metalltråd/cerclage/pinne
NHJ46	Osteosynt annen fotrotsfraktur med metalltråd/cerclage/pinne
NHJ47	Osteosynt metatarsfraktur med metalltråd/cerclage/pinne
NHJ48	Osteosyntese av tåfraktur med metalltråd/cerclage/pinne
NHJ60	Osteosyntese av fraktur i laterale malleol med plate/skruer
NHJ61	Osteosyntese av fraktur i mediale malleol med plate/skruer
NHJ62	Osteosyntese av fraktur i begge malleoler med plate/skruer
NHJ63	Osteosyntese av trippelfraktur i ankel med plate/skruer
NHJ64	Osteosyntese av talusfraktur med plate og skruer
NHJ65	Osteosyntese av calcaneusfraktur med plate og skruer
NHJ66	Osteosyntese av annen fotrotsfraktur med plate og skruer
NHJ67	Osteosyntese av metatarsfraktur med plate og skruer
NHJ68	Osteosyntese av tåfraktur med plate og skruer
NHJ70	Osteosyntese av fraktur i laterale malleol med skruer
NHJ71	Osteosyntese av fraktur i mediale malleol med skruer
NHJ72	Osteosyntese av fraktur i begge malleoler med skruer
NHJ73	Osteosyntese av trippelfraktur i ankel med skruer
NHJ74	Osteosyntese av talusfraktur med skruer
NHJ75	Osteosyntese av calcaneusfraktur med skruer
NHJ76	Osteosyntese av annen fotrotsfraktur med skruer
NHJ77	Osteosyntese av metatarsfraktur med skruer
NHJ78	Osteosyntese av tåfraktur med skruer
NHJ80	Osteosynt lateral malleolfraktur med annet/komb materiale
NHJ81	Osteosynt medial malleolfraktur med annet/komb materiale
NHJ82	Osteosyntese av bimalleolarfraktur med annet/komb materiale
NHJ83	Osteosyntese trippelfraktur i ankel med annet/komb materiale
NHJ84	Osteosyntese av talusfraktur med annet/kombinert materiale
NHJ85	Osteosyntese calcaneusfraktur med annet/kombinert materiale
NHJ86	Osteosyntese annen fotrotsfraktur med annet/komb materiale
NHJ87	Osteosyntese metatarsfraktur med annet/kombinert materiale
NHJ88	Osteosyntese av tåfraktur med annet/kombinert materiale
NHJ90	Annen osteosyntese av fraktur i laterale malleol
NHJ91	Annen osteosyntese av fraktur i mediale malleol
NHJ92	Annen osteosyntese av fraktur i begge malleoler
NHJ93	Annen osteosyntese av trippelfraktur i ankel
NHJ94	Annen osteosyntese av talusfraktur
NHJ95	Annen osteosyntese av calcaneusfraktur
NHJ96	Annen osteosyntese av annen fotrotsfraktur
NHJ97	Annen osteosyntese av metatarsfraktur
NHJ98	Annen osteosyntese av tåfraktur
NHK00	Eksisjon av beinfragment i laterale malleol
NHK01	Eksisjon av beinfragment i mediale malleol
NHK04	Eksisjon av beinfragment i talus
NHK05	Eksisjon av beinfragment i calcaneus
NHK06	Eksisjon av beinfragment i annet fotrotsbein
NHK07	Eksisjon av beinfragment i metatars
NHK08	Eksisjon av beinfragment i tå
NHK10	Reseksjon eller eksisjon av laterale malleol
NHK11	Reseksjon eller eksisjon av mediale malleol
NHK14	Reseksjon eller eksisjon av talus
NHK15	Reseksjon eller eksisjon av calcaneus
NHK16	Reseksjon eller eksisjon av annet fotrotsbein
NHK17	Reseksjon eller eksisjon av metatars
NHK18	Reseksjon eller eksisjon av tå
NHK20	Fenestrasjon eller oppboring av laterale malleol
NHK21	Fenestrasjon eller oppboring av mediale malleol
NHK24	Fenestrasjon eller oppboring av talus
NHK25	Fenestrasjon eller oppboring av calcaneus
NHK26	Fenestrasjon eller oppboring av annet fotrotsbein
NHK27	Fenestrasjon eller oppboring av metatars
NHK28	Fenestrasjon eller oppboring av tå
NHK30	Utskraping av cyste i laterale malleol
NHK31	Utskraping av cyste i mediale malleol
NHK34	Utskraping av cyste i talus
NHK35	Utskraping av cyste i calcaneus
NHK36	Utskraping av cyste i annet fotrotsbein
NHK37	Utskraping av cyste i metatars
NHK38	Utskraping av cyste i tå
NHK40	Epifysiodese i laterale malleol
NHK41	Epifysiodese i mediale malleol
NHK42	Epifysiodese i begge malleoler
NHK43	Epifysiodese i begge malleoler og margo posterior
NHK47	Epifysiodese i metatars
NHK48	Epifysiodese i tå
NHK50	Osteotomi i laterale malleol med aksekorr/rotasjon/forskyv
NHK51	Osteotomi i mediale malleol med aksekorr/rotasjon/forskyv
NHK52	Osteotomi i begge malleoler med aksekorr/rotasjon/forskyv
NHK54	Osteotomi i talus med aksekorreksjon/rotasjon/forskyvning
NHK55	Osteotomi i calcaneus med aksekorr/rotasjon/forskyv
NHK56	Osteotomi i annet fotrotsbein med aksekorr/rotasjon/forskyv
NHK57	Osteotomi i metatars med aksekorreksjon/rotasjon/forskyvning
NHK58	Osteotomi i tå med aksekorreksjon/rotasjon/forskyvning
NHK60	Osteotomi i laterale malleol med forkorting/forlengelse
NHK61	Osteotomi i mediale malleol med forkorting eller forlengelse
NHK62	Osteotomi i begge malleoler med forkorting eller forlengelse
NHK64	Osteotomi i talus med forkorting eller forlengelse
NHK65	Osteotomi i calcaneus med forkorting eller forlengelse
NHK66	Osteotomi i annet fotrotsbein med forkorting/forlengelse
NHK67	Osteotomi i metatars med forkorting eller forlengelse
NHK68	Osteotomi i tå med forkorting eller forlengelse
NHK70	Beintransportoperasjon i laterale malleol
NHK71	Beintransportoperasjon i mediale malleol
NHK72	Beintransportoperasjon i begge malleoler
NHK74	Beintransportoperasjon i talus
NHK75	Beintransportoperasjon i calcaneus
NHK76	Beintransportoperasjon i annet fotrotsbein
NHK77	Beintransportoperasjon i metatars
NHK78	Beintransportoperasjon i tå
NHK80	Epifysedistraksjon på laterale malleol
NHK81	Epifysedistraksjon på mediale malleol
NHK82	Epifysedistraksjon på begge malleoler
NHK84	Epifysedistraksjon på talus
NHK85	Epifysedistraksjon på calcaneus
NHK86	Epifysedistraksjon på annet fotrotsbein
NHK87	Epifysedistraksjon på metatars
NHK88	Epifysedistraksjon på tå
NHK90	Annen operasjon på laterale malleol
NHK91	Annen operasjon på mediale malleol
NHK92	Annen operasjon på begge malleoler
NHK93	Annen operasjon på begge malleoler og margo posterior
NHK94	Annen operasjon på talus
NHK95	Annen operasjon på calcaneus
NHK96	Annen operasjon på annet fotrotsbein
NHK97	Annen operasjon på metatars
NHK98	Annen operasjon på tå
NHL09	Frilegging av muskel i ankel eller fot
NHL19	Sutur eller rekonstruksjon av muskel i ankel eller fot
NHL29	Transposisjon av muskel i ankel eller fot
NHL39	Myotomi eller tenotomi i ankel eller fot
NHL49	Sutur eller reinserering av sene i ankel eller fot
NHL59	Tenolyse eller tenosynovektomi i ankel eller fot
NHL69	Tenodese/forkorting/forlengelse av sene i ankel eller fot
NHL79	Eksisjon av sene i ankel eller fot
NHL89	Transposisjon av sene i ankel eller fot
NHL99	Annen operasjon på muskel eller sene i ankel eller fot
NHM09	Fasciotomi i ankel eller fot
NHM19	Reseksjon eller eksisjon av fascie i ankel eller fot
NHM29	Sutur av fascie i ankel eller fot
NHM39	Eksisjon av synovialt ganglion i ankel eller fot
NHM49	Spalting av seneskjede i ankel eller fot
NHM59	Reseksjon av seneskjede i ankel eller fot
NHM79	Eksisjon av bursa i ankel eller fot
NHM99	Annen op på fascie/ganglion/seneskjede/bursa i ankel/fot
NHN09	Autotransplantasjon av bein til ankel eller fot
NHN19	Allotransplantasjon av bein til ankel eller fot
NHN29	Xenotransplantasjon av bein til ankel eller fot
NHN39	Transplantasjon av sene til ankel eller fot
NHN49	Transplantasjon av brusk/periost/fascie til ankel eller fot
NHN99	Annen transplantasjon til ankel eller fot
NHP09	Replantasjon av tå
NHP19	Autotransplantasjon eller transposisjon av tå
NHP29	Replantasjon av fot
NHP99	Annen replantasjon i ankel eller fot
NHQ00	Talokrural eksartikulasjon
NHQ02	Intertarsal eksartikulasjon
NHQ03	Tarsometatarsal eksartikulasjon
NHQ05	Metatarsofalangeal eksartikulasjon
NHQ09	Annen eksartikulasjon i fot
NHQ11	Talokrural og malleolær amputasjon
NHQ12	Intertarsal amputasjon
NHQ14	Transmetatarsal amputasjon
NHQ16	Total tåamputasjon
NHQ17	Partiell tåamputasjon
NHQ19	Annen amputasjon i fot
NHQ20	Revisjon av talokrural eksartikulasjonsstump
NHQ21	Revisjon av talokrural og malleolær amputasjonsstump
NHQ22	Revisjon av intertarsal amputasjons/eksartikulasjonsstump
NHQ23	Revisjon av tarsometatarsal eksartikulasjonsstump
NHQ24	Revisjon av transmetatarsal amputasjonsstump
NHQ25	Revisjon av metatarsofalangeal eksartikulasjonsstump
NHQ26	Revisjon av total tåamputasjonsstump
NHQ27	Revisjon av partiell tåamputasjonsstump
NHQ29	Revisjon av annen amputasjons/eksartikulasjonsstump i fot
NHQ90	Annen talokrural amputasjon eller tilhørende operasjon
NHQ91	Annen talokrural/malleolær amputasjon/tilhørende operasjon
NHQ92	Annen intertarsal amputasjon eller tilhørende operasjon
NHQ93	Annen tarsometatarsal amputasjon eller tilhørende operasjon
NHQ94	Annen transmetatarsal amputasjon eller tilhørende operasjon
NHQ95	Annen metatarsofalangeal amputasjon/tilhørende operasjon
NHQ96	Annen total amputasjon eller tilhørende operasjon på tå
NHQ97	Annen partiell amputasjon eller tilhørende operasjon på tå
NHQ99	Annen amputasjon eller tilhørende operasjon på fot
NHR09	Reseksjon av bløtdelstumor i ankel eller fot
NHR19	Marginal eksisjon av bløtdelstumor i ankel eller fot
NHR29	Vid eksisjon av bløtdelstumor i ankel eller fot
NHR39	Kompartmentell eksisjon av bløtdelstumor i ankel eller fot
NHR49	Reseksjon av bein/brusktumor i ankel eller fot
NHR59	Marginal eksisjon av bein/brusktumor i ankel eller fot
NHR69	Vid eksisjon av bein/brusktumor i ankel eller fot
NHR79	Kompartmentell eksisjon av bein/brusktumor i ankel eller fot
NHR99	Annen operasjon for tumor i ankel eller fot
NHS09	Incisjon/revisjon ved infeksjon i sene i ankel eller fot
NHS19	Incisjon/revisjon ved leddinfeksjon i ankel eller fot
NHS29	Incisjon/revisjon ved infeksjon i bein i ankel eller fot
NHS39	Incisjon/revisjon/terap subst ved seneinfeksjon i ankel/fot
NHS49	Incisjon/revisjon/terap subst ved leddinfeksjon i ankel/fot
NHS59	Incisjon/revisjon/terap subst ved beininfeksjon i ankel/fot
NHS99	Annen operasjon for infeksjon i sene/ledd/bein i ankel/fot
NHT19	Mobilisering av ledd i ankel eller fot
NHT39	Korrek deformitet i ankel eller fot med muskel/sene/ligament
NHT49	Korrek deformitet i ankel/fot med ekstern/intern fiksasjon
NHT99	Annen operasjon på ankel eller fot
NHU01	Fjerning av proksimal delprotese fra ankelledd
NHU02	Fjerning av distal delprotese fra ankelledd
NHU03	Fjerning av annen delprotese fra ankelledd
NHU10	Fjerning av totalprotese fra ankelledd
NHU11	Fjerning av proksimal del av totalprotese fra ankelledd
NHU12	Fjerning av distal del av totalprotese fra ankelledd
NHU13	Fjerning av annen del av totalprotese fra ankelledd
NHU14	Fjerning av mer enn en del av totalprotese fra ankelledd
NHU20	Fjerning av protese fra annet ledd i fot
NHU21	Fjerning av proksimal del av protese fra annet ledd i fot
NHU22	Fjerning av distal del av protese fra annet ledd i fot
NHU23	Fjerning av annen del av protese fra annet ledd i fot
NHU24	Fjerning av mer enn en del av protese fra annet ledd i fot
NHU39	Fjerning av eksternt fiksasjonsutstyr fra ankel eller fot
NHU49	Fjerning av osteosyntesemateriale fra ankel eller fot
NHU69	Fjerning av ligamentprotese fra ankel eller fot
NHU89	Fjerning av terapeutisk substans etter infekbeh i ankel/fot
NHU99	Fjerning av annet implantat fra ankel eller fot
NHW49	Reoperasjon for sårruptur i ankel eller fot
NHW59	Reoperasjon for overfladisk infeksjon i ankel eller fot
NHW69	Reoperasjon for dyp infeksjon i ankel eller fot
NHW79	Reoperasjon for overfladisk blødning i ankel eller fot
NHW89	Reoperasjon for dyp blødning i ankel eller fot
NHW99	Annen reoperasjon på ankel eller fot
PAA10	Eksplorasjon av truncus brachiocephalicus
PAA20	Eksplorasjon av a.carotis communis
PAA21	Eksplorasjon av a.carotis interna
PAA30	Eksplorasjon av a.subclavia
PAA99	Eksplorasjon av annen arterie fra aortabuen el dens grener
PAB10	Ligatur av truncus brachiocephalicus
PAB20	Ligatur av a.carotis communis
PAB21	Ligatur av a.carotis interna
PAB22	Ligatur av a.carotis externa
PAB30	Ligatur av a.subclavia
PAB40	Ligatur av a.vertebralis
PAB99	Ligatur av annen arterie fra aortabuen eller dens grener
PAC10	Sutur av truncus brachiocephalicus
PAC20	Sutur av a.carotis communis
PAC21	Sutur av a.carotis interna
PAC30	Sutur av a.subclavia
PAC99	Sutur av annen arterie fra aortabuen eller dens grener
PAE10	Trombektomi eller embolektomi i truncus brachiocephalicus
PAE25	Trombektomi eller embolektomi i a.carotis
PAE30	Trombektomi eller embolektomi i a.subclavia
PAE99	Trombect el embolect annen art fra aortabuen el dens grener
PAF10	Trombendarterektomi i truncus brachiocephalicus
PAF20	Trombendarterektomi i a.carotis communis
PAF21	Trombendarterektomi i a.carotis interna
PAF22	Trombendarterektomi i a.carotis externa
PAF30	Trombendarterektomi i a.subclavia
PAF40	Trombendarterektomi i a.vertebralis
PAF99	Trombendarterect i annen art fra aortabuen el dens grener
PAG10	Operasjon for aneurisme i truncus brachiocephalicus
PAG20	Operasjon for aneurisme i a.carotis communis
PAG21	Operasjon for aneurisme i a.carotis interna
PAG30	Operasjon for aneurisme i a.subclavia
PAG99	Op for aneurisme i annen art fra aortabuen el dens grener
PAH10	Bypass fra truncus brachiocephalicus
PAH20	Bypass fra a.carotis communis
PAH21	Bypass fra a.carotis interna
PAH25	Bypass fra a.carotis til a.subclavia
PAH30	Bypass fra a.subclavia
PAH99	Bypass fra annen art utgående fra aortabuen el dens grener
PAJ30	Transposisjon av a.subclavia
PAJ40	Transposisjon av a.vertebralis
PAJ99	Transposisjon av annen arterie fra aortabuen el dens grener
PAK10	Reimplantasjon av arterie i truncus brachiocephalicus
PAK20	Reimplantasjon av arterie i a.carotis communis
PAK21	Reimplantasjon av arterie i a.carotis interna
PAK30	Reimplantasjon av arterie i a.subclavia
PAK40	Reimplantasjon av arterie i a.vertebralis
PAK99	Reimpl av arterie i annen art fra aortabuen el dens grener
PAM21	Lukking av arteriovenøs fistel fra a.carotis interna
PAM22	Lukking av arteriovenøs fistel fra a.carotis externa
PAM30	Lukking av arteriovenøs fistel fra a.subclavia
PAM99	Lukk a-v fistel ann art utg fra aortabuen/dens grener
PAN10	Arterioplastikk på truncus brachiocephalicus
PAN20	Arterioplastikk på a.carotis communis
PAN21	Arterioplastikk på a.carotis interna
PAN30	Arterioplastikk på a.subclavia
PAN40	Arterioplastikk på a.vertebralis
PAN99	Arterioplastikk på annen art fra aortabuen el dens grener
PAP10	Perkutan arterioplastikk på truncus brachiocephalicus
PAP20	Perkutan arterioplastikk på a.carotis communis
PAP21	Perkutan arterioplastikk på a.carotis interna
PAP30	Perkutan arterioplastikk på a.subclavia
PAP99	Perkutan arterioplastikk annen art fra aortabuen/dens grener
PAQ10	Impl av endovaskulær protese i truncus brachiocephalicus
PAQ20	Implantasjon av endovaskulær protese i a.carotis communis
PAQ21	Implantasjon av endovaskulær protese i a.carotis interna
PAQ30	Implantasjon av endovaskulær protese i a.subclavia
PAQ99	Impl endovaskulær protese ann art fra aortabuen/dens grener
PAR10	Fjernelse endovaskulær protese fra truncus brachiocephalicus
PAR20	Fjernelse av endovaskulær protese fra a.carotis communis
PAR21	Fjernelse av endovaskulær protese fra a.carotis interna
PAR30	Fjernelse av endovaskulær protese fra a.subclavia
PAR99	Extr endovaskulær protese ann art fra aortabuen/dens grener
PAT30	Inj av terapeutisk eller skleroserende subst i a.subclavia
PAT99	Inj terap/skleroserende subst ann art aortabuen/dens grener
PAU74	Trombect/embolect i bypass fra a carotis/subclavia/axillaris
PAU88	Excisjon av bypass fra a. carotis, subclavia eller axillaris
PAU99	Ann ny op etter tidl rekonstr art fra aortabuen/dens grener
PAW23	Temporalisbiopsi
PAW99	Annen operasjon på arterier fra aortabuen eller dens grener
PBA10	Eksplorasjon av a.axillaris
PBA20	Eksplorasjon av a.brachialis
PBA30	Eksplorasjon av a.radialis eller ulnaris
PBA99	Eksplorasjon av annen overekstremitetsarterie
PBB10	Ligatur av a.axillaris
PBB20	Ligatur av a.brachialis
PBB30	Ligatur av a.radialis eller ulnaris
PBB99	Ligatur av annen overekstremitetsarterie
PBC10	Sutur av a.axillaris
PBC20	Sutur av a.brachialis
PBC30	Sutur av a.radialis eller ulnaris
PBC99	Sutur av annen overekstremitetsarterie
PBE10	Trombektomi eller embolektomi i a.axillaris
PBE20	Trombektomi eller embolektomi i a.brachialis
PBE30	Trombektomi eller embolektomi i a.radialis eller ulnaris
PBE99	Trombektomi/embolektomi i annen overekstremitetsarterie
PBF10	Trombendarterektomi i a.axillaris
PBF20	Trombendarterektomi i a.brachialis
PBF99	Trombendarterektomi i annen overekstremitetsarterie
PBG10	Operasjon for aneurisme i a.axillaris
PBG20	Operasjon for aneurisme i a.brachialis
PBG99	Operasjon for aneurisme i annen overekstremitetsarterie
PBH10	Bypass fra a.axillaris
PBH20	Bypass fra a.brachialis
PBH99	Bypass fra annen overekstremitetsarterie
PBL10	Konstruksjon av arteriovenøs fistel fra a.axillaris
PBL20	Konstruksjon av arteriovenøs fistel fra a.brachialis
PBL30	Konstruksjon av a-v fistel fra a. radialis eller ulnaris
PBL99	Konstruksjon av annen a-v fistel fra overextr-arterie
PBM10	Lukking av arteriovenøs fistel fra a.axillaris
PBM20	Lukking av arteriovenøs fistel fra a.brachialis
PBM30	Lukking av arteriovenøs fistel fra a.radialis eller ulnaris
PBM99	Lukking av annen arteriovenøs fistel i overekstremitet
PBN10	Arterioplastikk på a.axillaris
PBN20	Arterioplastikk på a.brachialis
PBN99	Arterioplastikk på annen overekstremitetsarterie
PBP10	Perkutan arterioplastikk på a.axillaris
PBP20	Perkutan arterioplastikk på a.brachialis
PBP99	Perkutan arterioplastikk på annen overekstremitetsarterie
PBU74	Trombektomi i arteriovenøs fistel fra overextr-arterie
PBU82	Arterioplastikk på arteriovenøs fistel fra overextr-arterie
PBU88	Perkutan arterioplastikk a-v fistel fra overextr-arterie
PBU89	Excisjon av bypass fra overekstremitetsarterie
PBU99	Ann ny op etter tidligere rekonstruksjon av overextr-arterie
PBW99	Annen operasjon på overekstremitetsarterie
PCA40	Eksplorasjon av a.renalis
PCA99	Eksplorasjon av annen visceralarterie
PCB20	Ligatur av a.coeliaca og dens grener
PCB30	Ligatur av a.mesenterica superior
PCB40	Ligatur av a.renalis
PCB99	Ligatur av annen visceralarterie
PCC10	Sutur av suprarenal eller juxtarenal bukaorta
PCC20	Sutur av a.coeliaca og dens grener
PCC30	Sutur av a.mesenterica superior
PCC40	Sutur av a.renalis
PCC99	Sutur av annen visceralarterie
PCE30	Trombektomi eller embolektomi i a.mesenterica superior
PCE40	Trombektomi eller embolektomi i a.renalis
PCE99	Trombektomi eller embolektomi i annen visceralarterie
PCF20	Trombendarterektomi i a.coeliaca eller dens grener
PCF30	Trombendarterektomi i a.mesenterica superior
PCF40	Trombendarterektomi i a.renalis
PCF99	Trombendarterektomi i annen visceralarterie
PCG10	Op for aneurisme i supracoeliakal eller juxtarenal bukaorta
PCG20	Operasjon for aneurisme i a.coeliaca eller dens grener
PCG30	Operasjon for aneurisme i a.mesenterica superior
PCG40	Operasjon for aneurisme i a.renalis
PCG99	Operasjon for aneurisme i annen visceralarterie
PCH10	Bypass fra supracoeliakal eller juxtarenal bukaorta
PCH20	Bypass til a.coeliaca eller dens grener
PCH30	Bypass til a.mesenterica superior
PCH40	Bypass til a.renalis
PCH99	Bypass til annen visceralarterie
PCJ30	Transposisjon av a.mesenterica superior
PCJ40	Transposisjon av a.renalis
PCJ99	Transposisjon av annen visceralarterie
PCK20	Reimplantasjon av a.coeliaca eller dens grener
PCK30	Reimplantasjon av a.mesenterica superior
PCK40	Reimplantasjon av a.renalis
PCK50	Reimplantasjon av a.mesenterica inferior
PCK99	Reimplantasjon av annen visceralarterie
PCN20	Arterioplastikk på a.coeliaca eller dens grener
PCN30	Arterioplastikk på a.mesenterica superior
PCN40	Arterioplastikk på a.renalis
PCN99	Arterioplastikk på annen visceralarterie
PCP20	Perkutan arterioplastikk på a.coeliaca eller dens grener
PCP30	Perkutan arterioplastikk på a.mesenterica superior
PCP40	Perkutan arterioplastikk på a.renalis
PCP99	Perkutan arterioplastikk på annen visceralarterie
PCQ10	Implantasjon av endovaskulær protese i suprarenale bukaorta
PCQ20	Implant av endovaskulær protese i a.Coeliaca/dens grener
PCQ30	Implantasjon av endovaskulær protese i a.mesenterica sup
PCQ40	Implantasjon av endovaskulær protese i a.renalis
PCQ99	Implantasjon av endovaskulær protese i annen visceralarterie
PCR20	Fjern endovaskulær protese fra a.coeliaca eller dens grener
PCR30	Fjern endovaskulær protese fra a.mesenterica superior
PCR40	Fjernelse av endovaskulær protese fra a.renalis
PCR99	Fjernelse av endovaskulær protese fra annen visceralarterie
PCS40	Endoskopisk operasjon på a.renalis
PCS99	Endoskopisk operasjon på annen visceralarterie
PCT20	Inj av terap/skleroserende subst i a.coeliaca/dens grener
PCT30	Inj av terap/skleroserende subst i a.mesenterica superior
PCT40	Inj av terapeutisk/skleroserende substans i a.renalis
PCT99	Inj av terap/skleroserende subst i annen visceralarterie
PCU74	Trombect/embolect i bypass supraren bukaorta el visceralart
PCU82	Art-plast i bypass fra supraren bukaorta el til visceralart
PCU83	Perkut artplast i byp fra supraren bukaorta el til visc art
PCU84	Impl endovask prot i bypass fra supraren aorta /til visc art
PCU85	Fjern endovask prot fra bypass supraren bukaorta/visceralart
PCU86	Endosk op på bypass fra supraren bukaorta el til visceralart
PCU87	Inj terap/skleros subst bypass supraren bukaorta/visceralart
PCU99	Ann ny op etter tidl rekonstr supraren bukaorta/visceralart
PCW99	Annen op på suprarenale bukaorta eller visceralarterie
PDA10	Eksplorasjon av infrarenale bukaorta
PDA30	Eksplorasjon av iliakalarterie
PDC10	Sutur av infrarenale bukaorta
PDC30	Sutur av iliakalarterie
PDE10	Trombektomi eller embolektomi i infrarenale bukaorta
PDE30	Trombektomi eller embolektomi i iliakalarterie
PDF10	Trombendarterektomi i infrarenale bukaorta
PDF30	Trombendarterektomi i iliakalarterie
PDG10	Operasjon på infrarenale bukaorta for aneurisme
PDG20	Bypass fra aorta til iliakalarterie for aneurisme
PDG21	Bypass fra aorta til bilat iliakalarterier for aneurisme
PDG22	Bypass aorta til iliakalart & kontralat a.fem for aneurisme
PDG23	Bypass fra aorta til a.femoralis for aneurisme
PDG24	Bypass fra aorta til a.femoralis bilateralt for aneurisme
PDG30	Operasjon på iliakalarterie for aneurisme
PDG35	Bypass fra iliakalarterie til a.femoralis for aneurisme
