AA0 27	Innlegging av intracerebral trykkmåler
NHJ 43	Osteosyntese av fraktur i begge malleoler og margo posterior med metalltråd, cerclage eller pinne
NHJ 44	Osteosyntese av talusfraktur med metalltråd, cerclage eller pinne
NHJ 45	Osteosyntese av calcaneusfraktur med metalltråd, cerclage eller pinne
NHJ 46	Osteosyntese av annen fotrotsfraktur med metalltråd, cerclage eller pinne
NHJ 47	Osteosyntese av metatarsfraktur med metalltråd, cerclage eller pinne
NHJ 48	Osteosyntese av tåfraktur med metalltråd, cerclage eller pinne
NHJ 60	Osteosyntese av fraktur i laterale malleol med plate og skruer
NHJ 61	Osteosyntese av fraktur i mediale malleol med plate og skruer
NHJ 62	Osteosyntese av fraktur i begge malleoler med plate og skruer
NHJ 63	Osteosyntese av fraktur i begge malleoler og margo posterior med plate og skruer
NHJ 64	Osteosyntese av talusfraktur med plate og skruer
NHJ 65	Osteosyntese av calcaneusfraktur med plate og skruer
NHJ 66	Osteosyntese av annen fotrotsfraktur med plate og skruer
NHJ 67	Osteosyntese av metatarsfraktur med plate og skruer
NHJ 68	Osteosyntese av tåfraktur med plate og skruer
NHJ 70	Osteosyntese av fraktur i laterale malleol med skruer
NHJ 71	Osteosyntese av fraktur i mediale malleol med skruer
NHJ 72	Osteosyntese av fraktur i begge malleoler med skruer
NHJ 73	Osteosyntese av fraktur i begge malleoler og margo posterior med skruer
NHJ 74	Osteosyntese av talusfraktur med skruer
NHJ 75	Osteosyntese av calcaneusfraktur med skruer
NHJ 76	Osteosyntese av annen fotrotsfraktur med skruer
NHJ 77	Osteosyntese av metatarsfraktur med skruer
NHJ 78	Osteosyntese av tåfraktur med skruer
NHJ 80	Osteosyntese av fraktur i laterale malleol med annet eller kombinert materiale
NHJ 81	Osteosyntese av fraktur i mediale malleol med annet eller kombinert materiale
NHJ 82	Osteosyntese av fraktur i begge malleoler med annet eller kombinert materiale
NHJ 83	Osteosyntese av fraktur i begge malleoler og margo posterior med annet eller kombinert materiale
NHJ 84	Osteosyntese av talusfraktur med annet eller kombinert materiale
NHJ 85	Osteosyntese av calcaneusfraktur med annet eller kombinert materiale
NHJ 86	Osteosyntese av annen fotrotsfraktur med annet eller kombinert materiale
NHJ 87	Osteosyntese av metatarsfraktur med annet eller kombinert materiale
NHJ 88	Osteosyntese av tåfraktur med annet eller kombinert materiale
NHJ 90	Annen osteosyntese av fraktur i laterale malleol
NHJ 91	Annen osteosyntese av fraktur i mediale malleol
NHJ 92	Annen osteosyntese av fraktur i begge malleoler
NHJ 93	Annen osteosyntese av fraktur i begge malleoler og margo posterior
NHJ 94	Annen osteosyntese av talusfraktur
NHJ 95	Annen osteosyntese av calcaneusfraktur
NHJ 96	Annen osteosyntese av annen fotrotsfraktur
NHJ 97	Annen osteosyntese av metatarsfraktur
NHJ 98	Annen osteosyntese av tåfraktur
NHK 00	Eksisjon av beinfragment i laterale malleol
NHK 01	Eksisjon av beinfragment i mediale malleol
NHK 04	Eksisjon av beinfragment i talus
NHK 05	Eksisjon av beinfragment i calcaneus
NHK 06	Eksisjon av beinfragment i annet fotrotsbein
NHK 07	Eksisjon av beinfragment i metatars
NHK 08	Eksisjon av beinfragment i tå
NHK 10	Reseksjon eller eksisjon av laterale malleol
NHK 11	Reseksjon eller eksisjon av mediale malleol
NHK 14	Reseksjon eller eksisjon av talus
NHK 15	Reseksjon eller eksisjon av calcaneus
NHK 16	Reseksjon eller eksisjon av annet fotrotsbein
NHK 17	Reseksjon eller eksisjon av metatars
NHK 18	Reseksjon eller eksisjon av tå
NHK 20	Fenestrasjon eller oppboring av laterale malleol
NHK 21	Fenestrasjon eller oppboring av mediale malleol
NHK 24	Fenestrasjon eller oppboring av talus
NHK 25	Fenestrasjon eller oppboring av calcaneus
NHK 26	Fenestrasjon eller oppboring av annet fotrotsbein
NHK 27	Fenestrasjon eller oppboring av metatars
NHK 28	Fenestrasjon eller oppboring av tå
NHK 30	Utskraping av cyste i laterale malleol
NHK 31	Utskraping av cyste i mediale malleol
NHK 34	Utskraping av cyste i talus
NHK 35	Utskraping av cyste i calcaneus
NHK 36	Utskraping av cyste i annet fotrotsbein
NHK 37	Utskraping av cyste i metatars
NHK 38	Utskraping av cyste i tå
NHK 40	Epifysiodese i laterale malleol
NHK 41	Epifysiodese i mediale malleol
NHK 42	Epifysiodese i begge malleoler
NHK 43	Epifysiodese i begge malleoler og margo posterior
NHK 47	Epifysiodese i metatars
NHK 48	Epifysiodese i tå
NHK 50	Osteotomi i laterale malleol med aksekorreksjon, rotasjon eller forskyvning
NHK 51	Osteotomi i mediale malleol med aksekorreksjon, rotasjon eller forskyvning
NHK 52	Osteotomi i begge malleoler med aksekorreksjon, rotasjon eller forskyvning
NHK 54	Osteotomi i talus med aksekorreksjon, rotasjon eller forskyvning
NHK 55	Osteotomi i calcaneus med aksekorreksjon, rotasjon eller forskyvning
NHK 56	Osteotomi i annet fotrotsbein med aksekorreksjon, rotasjon eller forskyvning
NHK 57	Osteotomi i metatars med aksekorreksjon, rotasjon eller forskyvning
NHK 58	Osteotomi i tå med aksekorreksjon, rotasjon eller forskyvning
NHK 60	Osteotomi i laterale malleol med forkorting eller forlengelse
NHK 61	Osteotomi i mediale malleol med forkorting eller forlengelse
NHK 62	Osteotomi i begge malleoler med forkorting eller forlengelse
NHK 64	Osteotomi i talus med forkorting eller forlengelse
NHK 65	Osteotomi i calcaneus med forkorting eller forlengelse
NHK 66	Osteotomi i annet fotrotsbein med forkorting eller forlengelse
NHK 67	Osteotomi i metatars med forkorting eller forlengelse
NHK 68	Osteotomi i tå med forkorting eller forlengelse
NHK 70	Beintransportoperasjon i laterale malleol
NHK 71	Beintransportoperasjon i mediale malleol
NHK 72	Beintransportoperasjon i begge malleoler
NHK 74	Beintransportoperasjon i talus
NHK 75	Beintransportoperasjon i calcaneus
NHK 76	Beintransportoperasjon i annet fotrotsbein
NHK 77	Beintransportoperasjon i metatars
NHK 78	Beintransportoperasjon i tå
NHK 80	Epifysedistraksjon på laterale malleol
NHK 81	Epifysedistraksjon på mediale malleol
NHK 82	Epifysedistraksjon på begge malleoler
NHK 84	Epifysedistraksjon på talus
NHK 85	Epifysedistraksjon på calcaneus
NHK 86	Epifysedistraksjon på annet fotrotsbein
NHK 87	Epifysedistraksjon på metatars
NHK 88	Epifysedistraksjon på tå
NHK 90	Annen operasjon på laterale malleol
NHK 91	Annen operasjon på mediale malleol
NHK 92	Annen operasjon på begge malleoler
NHK 93	Annen operasjon på begge malleoler og margo posterior
NHK 94	Annen operasjon på talus
NHK 95	Annen operasjon på calcaneus
NHK 96	Annen operasjon på annet fotrotsbein
NHK 97	Annen operasjon på metatars
NHK 98	Annen operasjon på tå
NHL 09	Frilegging av muskel i ankel eller fot
NHL 19	Sutur eller rekonstruksjon av muskel i ankel eller fot
NHL 29	Transposisjon av muskel i ankel eller fot
NHL 39	Myotomi eller tenotomi i ankel eller fot
NHL 49	Sutur eller reinserering av sene i ankel eller fot
NHL 59	Tenolyse eller tenosynovektomi i ankel eller fot
NHL 69	Tenodese, forkorting eller forlengelse av sene i ankel eller fot
NHL 79	Eksisjon av sene i ankel eller fot
NHL 89	Transposisjon av sene i ankel eller fot
NHL 99	Annen operasjon på muskel eller sene i ankel eller fot
NHM 09	Fasciotomi i ankel eller fot
NHM 19	Reseksjon eller eksisjon av fascie i ankel eller fot
NHM 29	Sutur av fascie i ankel eller fot
NHM 39	Eksisjon av synovialt ganglion i ankel eller fot
NHM 49	Spalting av seneskjede i ankel eller fot
NHM 59	Reseksjon av seneskjede i ankel eller fot
NHM 79	Eksisjon av bursa i ankel eller fot
NHM 99	Annen operasjon på fascie, ganglion, seneskjede eller bursa i ankel eller fot
NHN 09	Autotransplantasjon av bein til ankel eller fot
NHN 19	Allotransplantasjon av bein til ankel eller fot
NHN 29	Xenotransplantasjon av bein til ankel eller fot
NHN 39	Transplantasjon av sene til ankel eller fot
NHN 49	Transplantasjon av brusk, periost eller fascie til ankel eller fot
NHN 99	Annen transplantasjon i ankel eller fot
NHP 09	Replantasjon av tå
NHP 19	Autotransplantasjon eller transposisjon av tå
NHP 29	Replantasjon av fot
NHP 99	Annen replantasjon i ankel eller fot
NHQ 00	Talokrural eksartikulasjon
NHQ 02	Intertarsal eksartikulasjon
NHQ 03	Tarsometatarsal eksartikulasjon
NHQ 05	Metatarsofalangeal eksartikulasjon
NHQ 09	Annen eksartikulasjon i fot
NHQ 11	Talokrural og malleolær amputasjon
NHQ 12	Intertarsal amputasjon
NHQ 14	Transmetatarsal amputasjon
NHQ 16	Total tåamputasjon
NHQ 17	Partiell tåamputasjon
NHQ 19	Annen amputasjon i fot
NHQ 20	Revisjon av talokrural eksartikulasjonsstump 
NHQ 21	Revisjon av talokrural og malleolær amputasjonsstump 
NHQ 22	Revisjon av intertarsal amputasjons- eller eksartikulasjonsstump 
NHQ 23	Revisjon av tarsometatarsal eksartikulasjonsstump 
NHQ 24	Revisjon av transmetatarsal amputasjonsstump
NHQ 25	Revisjon av metatarsofalangeal eksartikulasjonsstump
NHQ 26	Revisjon av total tåamputasjonsstump
NHQ 27	Revisjon av partiell tåamputasjonsstump
NHQ 29	Revisjon av annen amputasjons- eller eksartikulasjonsstump i fot
NHQ 90	Annen talokrural amputasjon eller tilhørende operasjon 
NHQ 91	Annen talokrural og malleolær amputasjon eller tilhørende operasjon
NHQ 92	Annen intertarsal amputasjon eller tilhørende operasjon
NHQ 93	Annen tarsometatarsal amputasjon eller tilhørende operasjon
NHQ 94	Annen transmetatarsal amputasjon eller tilhørende operasjon
NHQ 95	Annen metatarsofalangeal amputasjon eller tilhørende operasjon
NHQ 96	Annen total amputasjon eller tilhørende operasjon på tå
NHQ 97	Annen partiell amputasjon eller tilhørende operasjon på tå
NHQ 99	Annen amputasjon eller tilhørende operasjon på fot
NHR 09	Reseksjon av bløtdelstumor i ankel eller fot
NHR 19	Marginal eksisjon av bløtdelstumor i ankel eller fot
NHR 29	Vid eksisjon av bløtdelstumor i ankel eller fot
NHR 39	Kompartmentell eksisjon av bløtdelstumor i ankel eller fot
NHR 49	Reseksjon av bein- eller brusktumor i ankel eller fot
NHR 59	Marginal eksisjon av bein- eller brusktumor i ankel eller fot
NHR 69	Vid eksisjon av bein- eller brusktumor i ankel eller fot
NHR 79	Kompartmentell eksisjon av bein- eller brusktumor i ankel eller fot
NHR 99	Annen operasjon for tumor i ankel eller fot
NHS 09	Incisjon og revisjon ved infeksjon i sene i ankel eller fot
NHS 19	Incisjon og revisjon ved leddinfeksjon i ankel eller fot
NHS 29	Incisjon og revisjon ved infeksjon i bein i ankel eller fot
NHS 39	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i sene i ankel eller fot
NHS 49	Incisjon og revisjon med innlegging av terapeutisk substans ved leddinfeksjon i ankel eller fot
NHS 59	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i bein i ankel eller fot
NHS 99	Annen operasjon for infeksjon i sene, ledd eller bein i ankel eller fot
NHT 19	Mobilisering av ledd i ankel eller fot
NHT 39	Korreksjon av deformitet i ankel eller fot med muskel, sene eller ligament
NHT 49	Korreksjon av deformitet i ankel eller fot med ekstern eller intern fiksasjon
NHT 99	Annen operasjon på ankel eller fot
NHU 01	Fjerning av proksimal delprotese fra ankelledd
NHU 02	Fjerning av distal delprotese fra ankelledd
NHU 03	Fjerning av annen delprotese fra ankelledd
NHU 10	Fjerning av totalprotese fra ankelledd
NHU 11	Fjerning av proksimal del av totalprotese fra ankelledd
NHU 12	Fjerning av distal del av totalprotese fra ankelledd
NHU 13	Fjerning av annen del av totalprotese fra ankelledd
NHU 14	Fjerning av mer enn en del av totalprotese fra ankelledd
NHU 20	Fjerning av protese fra annet ledd i fot
NHU 21	Fjerning av proksimal del av protese fra annet ledd i fot
NHU 22	Fjerning av distal del av protese fra annet ledd i fot
NHU 23	Fjerning av annen del av protese fra annet ledd i fot
NHU 24	Fjerning av mer enn en del av protese fra annet ledd i fot
NHU 39	Fjerning av eksternt fiksasjonsutstyr fra ankel eller fot
NHU 49	Fjerning av osteosyntesemateriale fra ankel eller fot
NHU 69	Fjerning av ligamentprotese fra ankel eller fot
NHU 89	Fjerning av terapeutisk substans etter infeksjonsbehandling i ankel eller fot
NHU 99	Fjerning av annet implantat fra ankel eller fot
NHW 49	Reoperasjon for sårruptur i ankel eller fot
NHW 59	Reoperasjon for overfladisk infeksjon i ankel eller fot
NHW 69	Reoperasjon for dyp infeksjon i ankel eller fot
NHW 79	Reoperasjon for overfladisk blødning i ankel eller fot
NHW 89	Reoperasjon for dyp blødning i ankel eller fot
NHW 99	Annen reoperasjon på ankel eller fot
PAA 10	Eksplorasjon av truncus brachiocephalicus
PAA 20	Eksplorasjon av a. carotis communis
PAA 21	Eksplorasjon av a. carotis interna
PAA 30	Eksplorasjon av a. subclavia
PAA 99	Eksplorasjon av annen arterie fra aortabuen eller dens greiner
PAB 10	Ligatur av truncus brachiocephalicus
PAB 20	Ligatur av a. carotis communis
PAB 21	Ligatur av a. carotis interna
PAB 22	Ligatur av a. carotis externa
PAB 30	Ligatur av a. subclavia
PAB 40	Ligatur av a. vertebralis
PAB 99	Ligatur av annen arterie fra aortabuen eller dens greiner
PAC 10	Sutur av truncus brachiocephalicus
PAC 20	Sutur av a. carotis communis
PAC 21	Sutur av a. carotis interna
PAC 30	Sutur av a. subclavia
PAC 99	Sutur av annen arterie fra aortabuen eller dens greiner
PAE 10	Trombektomi eller embolektomi i truncus brachiocephalicus
PAE 25	Trombektomi eller embolektomi i a. carotis
PAE 30	Trombektomi eller embolektomi i a. subclavia
PAE 99	Trombektomi eller embolektomi i annen arterie fra aortabuen eller dens greiner
PAF 10	Trombendarterektomi i truncus brachiocephalicus
PAF 20	Trombendarterektomi i a. carotis communis
PAF 21	Trombendarterektomi i a. carotis interna
PAF 22	Trombendarterektomi i a. carotis externa
PAF 30	Trombendarterektomi i a. subclavia
PAF 40	Trombendarterektomi i a. vertebralis
PAF 99	Trombendarterektomi i annen arterie fra aortabuen eller dens greiner
PAG 10	Operasjon for aneurisme i truncus brachiocephalicus
PAG 20	Operasjon for aneurisme i a. carotis communis
PAG 21	Operasjon for aneurisme i a. carotis interna
PAG 30	Operasjon for aneurisme i a. subclavia
PAG 99	Operasjon for aneurisme i annen arterie fra aortabuen eller dens greiner
PAH 10	Bypass fra truncus brachiocephalicus
PAH 20	Bypass fra a. carotis communis
PAH 21	Bypass fra a. carotis interna
PAH 25	Bypass fra a. carotis til a. subclavia
PAH 30	Bypass fra a. subclavia
PAH 99	Bypass fra annen arterie utgående fra aortabuen eller dens greiner
PAJ 30	Transposisjon av a. subclavia
PAJ 40	Transposisjon av a. vertebralis
PAJ 99	Transposisjon av annen arterie fra aortabuen eller dens greiner
PAK 10	Reimplantasjon av arterie i truncus brachiocephalicus
PAK 20	Reimplantasjon av arterie i a. carotis communis
PAK 21	Reimplantasjon av arterie i a. carotis interna
PAK 30	Reimplantasjon av arterie i a. subclavia
PAK 40	Reimplantasjon av arterie i a. vertebralis
PAK 99	Reimplantasjon av arterie i annen arterie fra aortabuen eller dens greiner
PAM 21	Lukking av arteriovenøs fistel fra a. carotis interna
PAM 22	Lukking av arteriovenøs fistel fra a. carotis externa
PAM 30	Lukking av arteriovenøs fistel fra a. subclavia
PAM 99	Lukking av arteriovenøs fistel fra annen arterie utgående fra aortabuen eller dens greiner
PAN 10	Arterioplastikk på truncus brachiocephalicus
PAN 20	Arterioplastikk på a. carotis communis
PAN 21	Arterioplastikk på a. carotis interna
PAN 30	Arterioplastikk på a. subclavia
PAN 40	Arterioplastikk på a. vertebralis
PAN 99	Arterioplastikk på annen arterie fra aortabuen eller dens greiner
PAP 10	Perkutan arterioplastikk på truncus brachiocephalicus
PAP 20	Perkutan arterioplastikk på a. carotis communis
PAP 21	Perkutan arterioplastikk på a. carotis interna
PAP 30	Perkutan arterioplastikk på a. subclavia
PAP 99	Perkutan arterioplastikk på annen arterie fra aortabuen eller dens greiner
PAQ 10	Implantasjon av endovaskulær protese i truncus brachiocephalicus
PAQ 20	Implantasjon av endovaskulær protese i a. carotis communis
PAQ 21	Implantasjon av endovaskulær protese i a. carotis interna
PAQ 30	Implantasjon av endovaskulær protese i a. subclavia
PAQ 99	Implantasjon av endovaskulær protese i annen arterie fra aortabuen eller dens greiner
PAR 10	Fjerning av endovaskulær protese fra truncus brachiocephalicus
PAR 20	Fjerning av endovaskulær protese fra a. carotis communis
PAR 21	Fjerning av endovaskulær protese fra a. carotis interna
PAR 30	Fjerning av endovaskulær protese fra a. subclavia
PAR 99	Fjerning av endovaskulær protese fra annen arterie fra aortabuen eller dens greiner
PAT 30	Injeksjon av terapeutisk eller skleroserende substans i a. subclavia
PAT 99	Injeksjon av terapeutisk eller skleroserende substans i annen arterie fra aortabuen eller dens greiner
PAU 74	Trombektomi eller embolektomi i bypass fra a. carotis, subclavia eller axillaris
PAU 88	Eksisjon av bypass fra a. carotis, subclavia eller axillaris
PAU 99	Annen ny operasjon etter tidligere rekonstruksjon av arterie fra aortabuen eller dens greiner
PAW 23	Temporalisbiopsi
PAW 99	Annen operasjon på arterier fra aortabuen eller dens greiner
PBA 10	Eksplorasjon av a. axillaris
PBA 20	Eksplorasjon av a. brachialis
PBA 30	Eksplorasjon av a. radialis eller ulnaris
PBA 99	Eksplorasjon av annen overekstremitetsarterie
PBB 10	Ligatur av a. axillaris
PBB 20	Ligatur av a. brachialis
PBB 30	Ligatur av a. radialis eller ulnaris
PBB 99	Ligatur av annen overekstremitetsarterie
PBC 10	Sutur av a. axillaris
PBC 20	Sutur av a. brachialis
PBC 30	Sutur av a. radialis eller ulnaris
PBC 99	Sutur av annen overekstremitetsarterie
PBE 10	Trombektomi eller embolektomi i a. axillaris
PBE 20	Trombektomi eller embolektomi i a. brachialis
PBE 30	Trombektomi eller embolektomi i a. radialis eller ulnaris
PBE 99	Trombektomi eller embolektomi i annen overekstremitetsarterie
PBF 10	Trombendarterektomi i a. axillaris
PBF 20	Trombendarterektomi i a. brachialis
PBF 99	Trombendarterektomi i annen overekstremitetsarterie
PBG 10	Operasjon for aneurisme i a. axillaris
PBG 20	Operasjon for aneurisme i a. brachialis
PBG 99	Operasjon for aneurisme i annen overekstremitetsarterie
PBH 10	Bypass fra a. axillaris
PBH 20	Bypass fra a. brachialis
PBH 99	Bypass fra annen overekstremitetsarterie
PBL 10	Konstruksjon av arteriovenøs fistel fra a. axillaris
PBL 20	Konstruksjon av arteriovenøs fistel fra a. brachialis
PBL 30	Konstruksjon av arteriovenøs fistel fra a. radialis eller ulnaris
PBL 99	Konstruksjon av annen arteriovenøs fistel fra overekstremitetsarterie
PBM 10	Lukking av arteriovenøs fistel fra a. axillaris
PBM 20	Lukking av arteriovenøs fistel fra a. brachialis
PBM 30	Lukking av arteriovenøs fistel fra a. radialis eller ulnaris
PBM 99	Lukking av annen arteriovenøs fistel i overekstremitet
PBN 10	Arterioplastikk på a. axillaris
PBN 20	Arterioplastikk på a. brachialis
PBN 99	Arterioplastikk på annen overekstremitetsarterie
PBP 10	Perkutan arterioplastikk på a. axillaris
PBP 20	Perkutan arterioplastikk på a. brachialis
PBP 99	Perkutan arterioplastikk på annen overekstremitetsarterie
PBU 74	Trombektomi i arteriovenøs fistel fra overekstremitetsarterie
PBU 82	Arterioplastikk på arteriovenøs fistel fra overekstremitetsarterie
PBU 88	Perkutan arterioplastikk på arteriovenøs fistel fra overekstremitetsarterie
PBU 89	Eksisjon av bypass fra overekstremitetsarterie
PBU 99	Annen ny operasjon etter tidligere rekonstruksjon av overekstremitetsarterie
PBW 99	Annen operasjon på overekstremitetsarterie
PCA 40	Eksplorasjon av a. renalis
PCA 99	Eksplorasjon av annen visceralarterie
PCB 20	Ligatur av a. coeliaca og dens greiner
PCB 30	Ligatur av a. mesenterica superior
PCB 40	Ligatur av a. renalis
PCB 99	Ligatur av annen visceralarterie
PCC 10	Sutur av suprarenal eller jukstarenal bukaorta
PCC 20	Sutur av a. coeliaca og dens greiner
PCC 30	Sutur av a. mesenterica superior
PCC 40	Sutur av a. renalis
PCC 99	Sutur av annen visceralarterie
PCE 30	Trombektomi eller embolektomi i a. mesenterica superior
PCE 40	Trombektomi eller embolektomi i a. renalis
PCE 99	Trombektomi eller embolektomi i annen visceralarterie
PCF 20	Trombendarterektomi i a. coeliaca eller dens greiner
PCF 30	Trombendarterektomi i a. mesenterica superior
PCF 40	Trombendarterektomi i a. renalis
PCF 99	Trombendarterektomi i annen visceralarterie
PCG 10	Operasjon for aneurisme i supracoeliakal eller jukstarenal bukaorta
PCG 20	Operasjon for aneurisme i a. coeliaca eller dens greiner
PCG 30	Operasjon for aneurisme i a. mesenterica superior
PCG 40	Operasjon for aneurisme i a. renalis
PCG 99	Operasjon for aneurisme i annen visceralarterie
PCH 10	Bypass fra supracoeliakal eller jukstarenal bukaorta
PCH 20	Bypass til a. coeliaca eller dens greiner
PCH 30	Bypass til a. mesenterica superior
PCH 40	Bypass til a. renalis
PCH 99	Bypass til annen visceralarterie
PCJ 30	Transposisjon av a. mesenterica superior
PCJ 40	Transposisjon av a. renalis
PCJ 99	Transposisjon av annen visceralarterie
PCK 20	Reimplantasjon av a. coeliaca eller dens greiner
PCK 30	Reimplantasjon av a. mesenterica superior
PCK 40	Reimplantasjon av a. renalis
PCK 50	Reimplantasjon av a. mesenterica inferior
PCK 99	Reimplantasjon av annen visceralarterie
PCN 20	Arterioplastikk på a. coeliaca eller dens greiner
PCN 30	Arterioplastikk på a. mesenterica superior
PCN 40	Arterioplastikk på a. renalis
PCN 99	Arterioplastikk på annen visceralarterie
PCP 20	Perkutan arterioplastikk på a. coeliaca eller dens greiner
PCP 30	Perkutan arterioplastikk på a. mesenterica superior
PCP 40	Perkutan arterioplastikk på a. renalis
PCP 99	Perkutan arterioplastikk på annen visceralarterie
PCQ 10	Implantasjon av endovaskulær protese i suprarenale bukaorta
PCQ 20	Implantasjon av endovaskulær protese i a. coeliaca eller dens greiner
PCQ 30	Implantasjon av endovaskulær protese i a. mesenterica superior
PCQ 40	Implantasjon av endovaskulær protese i a. renalis
PCQ 99	Implantasjon av endovaskulær protese i annen visceralarterie
PCR 20	Fjerning av endovaskulær protese fra a. coeliaca eller dens greiner
PCR 30	Fjerning av endovaskulær protese fra a. mesenterica superior
PCR 40	Fjerning av endovaskulær protese fra a. renalis
PCR 99	Fjerning av endovaskulær protese fra annen visceralarterie
PCS 40	Endoskopisk operasjon på a. renalis
PCS 99	Endoskopisk operasjon på annen visceralarterie
PCT 20	Injeksjon av terapeutisk eller skleroserende substans i a. coeliaca eller dens greiner
PCT 30	Injeksjon av terapeutisk eller skleroserende substans i a. mesenterica superior
PCT 40	Injeksjon av terapeutisk eller skleroserende substans i a. renalis
PCT 99	Injeksjon av terapeutisk eller skleroserende substans i annen visceralarterie
PCU 74	Trombektomi eller embolektomi i bypass fra suprarenale bukaorta eller til visceralarterie
PCU 82	Arterioplastikk i bypass fra suprarenale bukaorta eller til visceralarterie
PCU 83	Perkutan arterioplastikk i bypass fra suprarenale bukaorta eller til visceralarterie
PCU 84	Implantasjon av endovaskulær protese i bypass fra suprarenale bukaorta eller til visceralarterie
PCU 85	Fjerning av endovaskulær protese fra bypass fra suprarenale bukaorta eller til visceralarterie
PCU 86	Endoskopisk operasjon på bypass fra suprarenale bukaorta eller til visceralarterie
PCU 87	Injeksjon av terapeutisk eller skleroserende substans i bypass fra suprarenale bukaorta eller til visceralarterie
PCU 99	Annen ny operasjon etter tidligere rekonstruksjon av suprarenale bukaorta eller visceralarterie
PCW 99	Annen operasjon på suprarenale bukaorta eller visceralarterie
PDA 10	Eksplorasjon av infrarenale bukaorta
PDA 30	Eksplorasjon av iliakalarterie
PDC 10	Sutur av infrarenale bukaorta
PDC 30	Sutur av iliakalarterie
PDE 10	Trombektomi eller embolektomi i infrarenale bukaorta
PDE 30	Trombektomi eller embolektomi i iliakalarterie
PDF 10	Trombendarterektomi i infrarenale bukaorta
PDF 30	Trombendarterektomi i iliakalarterie
PDG 10	Operasjon på infrarenale bukaorta for aneurisme
PDG 20	Bypass fra aorta til iliakalarterie for aneurisme
PDG 21	Bypass fra aorta til bilaterale iliakalarterier for aneurisme
PDG 22	Bypass fra aorta til iliakalarterie og kontralateral a. femoralis for aneurisme
PDG 23	Bypass fra aorta til a. femoralis for aneurisme
PDG 24	Bypass fra aorta til a. femoralis bilateralt for aneurisme
PDG 30	Operasjon på iliakalarterie for aneurisme
PDG 35	Bypass fra iliakalarterie til a. femoralis for aneurisme
PDG 99	Annen operasjon for aneurisme i infrarenale bukaorta eller iliakalarterie
PDH 10	Bypass fra infrarenale bukaorta
PDH 20	Bypass fra aorta til iliakalarterie
PDH 21	Bypass fra aorta til bilaterale iliakalarterier
PDH 22	Bypass fra aorta til iliakal og kontralateral a. femoralis
PDH 23	Bypass fra aorta til a. femoralis
PDH 24	Bilateral bypass fra aorta til a. femoralis
PDH 30	Bypass fra iliakalarterie
PDH 35	Bypass fra iliakal til a. femoralis
PDH 99	Annen bypass fra bukaorta eller iliakalarterie
PDN 10	Arterioplastikk på infrarenale bukaorta
PDN 30	Arterioplastikk på iliakalarterie
PDP 10	Perkutan arterioplastikk på infrarenale bukaorta
PDP 30	Perkutan arterioplastikk på iliakalarterie
PDQ 10	Implantasjon av endovaskulær protese i infrarenale bukaorta
PDQ 30	Implantasjon av endovaskulær protese i iliakalarterie
PDR 10	Fjerning av endovaskulær protese fra infrarenale bukaorta
PDR 30	Fjerning av endovaskulær protese fra iliakalarterie
PDS 10	Endoskopisk operasjon på infrarenale bukaorta
PDS 30	Endoskopisk operasjon på iliakalarterie
PDT 10	Injeksjon av terapeutisk eller skleroserende substans i infrarenale bukaorta
PDT 30	Injeksjon av terapeutisk eller skleroserende substans i iliakalarterie
PDU 74	Trombektomi eller embolektomi i bypass fra infrarenale bukaorta eller iliakalarterie
PDU 82	Arterioplastikk på bypass fra infrarenale bukaorta eller iliakalarterie
PDU 83	Perkutan arterioplastikk på bypass fra infrarenale bukaorta eller iliakalarterie
PDU 84	Implantasjon av endovaskulær protese i bypass fra infrarenale bukaorta eller iliakalarterie
PDU 85	Fjerning av endovaskulær protese fra bypass fra infrarenale bukaorta eller iliakalarterie
PDU 86	Endoskopisk operasjon på bypass fra infrarenale bukaorta eller iliakalarterie
PDU 87	Injeksjon av terapeutisk eller skleroserende substans i bypass fra infrarenale bukaorta eller iliakalarterie
PDU 88	Eksisjon av bypass fra infrarenale bukaorta eller iliakalarterie
PDU 99	Annen ny operasjon etter tidligere rekonstruksjon av infrarenale bukaorta, iliakalarterier eller distal forbindelse
PDW 99	Annen operasjon på infrarenale bukaorta eller iliakalarterie og distal forbindelse
PEA 10	Eksplorasjon av a. femoralis communis
PEA 11	Eksplorasjon av a. profunda femoris
PEA 12	Eksplorasjon av a. femoralis superficialis
PEC 10	Sutur av a. femoralis communis
PEC 11	Sutur av a. profunda femoris
PEC 12	Sutur av a. femoralis superficialis
PEE 10	Trombektomi eller embolektomi i a. femoralis communis
PEE 11	Trombektomi eller embolektomi i a. profunda femoris
PEE 12	Trombektomi eller embolektomi i a. femoralis superficialis
PEF 10	Trombendarterektomi i a. femoralis communis
PEF 11	Trombendarterektomi i a. profunda femoris
PEF 12	Trombendarterektomi i a. femoralis superficialis
PEG 10	Operasjon for aneurisme i a. femoralis communis
PEG 11	Operasjon for aneurisme i a. profunda femoris
PEG 12	Operasjon for aneurisme i a. femoralis superficialis
PEH 10	Bypass fra a. femoralis communis
PEH 11	Bypass fra a. profunda femoris
PEH 12	Bypass fra a. femoralis superficialis
PEH 20	Bypass fra a. femoralis til a. poplitea ovenfor kneleddslinjen
