AAA00	Eksplorativ kraniotomi
NHM19	Reseksjon eller eksisjon av fascie i ankel eller fot
NHM29	Sutur av fascie i ankel eller fot
NHM39	Eksisjon av synovialt ganglion i ankel eller fot
NHM49	Spalting av seneskjede i ankel eller fot
NHM59	Reseksjon av seneskjede i ankel eller fot
NHM79	Eksisjon av bursa i ankel eller fot
NHM99	Annen operasjon på fascie, ganglion, seneskjede eller bursa i ankel eller fot
NHN09	Autotransplantasjon av bein til ankel eller fot
NHN19	Allotransplantasjon av bein til ankel eller fot
NHN29	Xenotransplantasjon av bein til ankel eller fot
NHN39	Transplantasjon av sene til ankel eller fot
NHN49	Transplantasjon av brusk, periost eller fascie til ankel eller fot
NHN99	Annen transplantasjon i ankel eller fot
NHP09	Replantasjon av tå
NHP19	Autotransplantasjon eller transposisjon av tå
NHP29	Replantasjon av fot
NHP99	Annen replantasjon i ankel eller fot
NHQ00	Talokrural eksartikulasjon
NHQ02	Intertarsal eksartikulasjon
NHQ03	Tarsometatarsal eksartikulasjon
NHQ05	Metatarsofalangeal eksartikulasjon
NHQ07	Eksartikulasjon i interfalangealledd på fot
NHQ09	Annen eksartikulasjon i fot
NHQ11	Talokrural og malleolær amputasjon
NHQ12	Intertarsal amputasjon
NHQ14	Transmetatarsal amputasjon
NHQ17	Partiell tåamputasjon
NHQ19	Annen amputasjon i fot
NHQ20	Revisjon av talokrural eksartikulasjonsstump
NHQ21	Revisjon av talokrural og malleolær amputasjonsstump
NHQ22	Revisjon av intertarsal amputasjons- eller eksartikulasjonsstump
NHQ23	Revisjon av tarsometatarsal eksartikulasjonsstump
NHQ24	Revisjon av transmetatarsal amputasjonsstump
NHQ25	Revisjon av metatarsofalangeal eksartikulasjonsstump
NHQ27	Revisjon av partiell tåamputasjonsstump
NHQ29	Revisjon av annen amputasjons- eller eksartikulasjonsstump i fot
NHQ90	Annen talokrural amputasjon eller tilhørende operasjon
NHQ91	Annen talokrural og malleolær amputasjon eller tilhørende operasjon
NHQ92	Annen intertarsal amputasjon eller tilhørende operasjon
NHQ93	Annen tarsometatarsal amputasjon eller tilhørende operasjon
NHQ94	Annen transmetatarsal amputasjon eller tilhørende operasjon
NHQ95	Annen metatarsofalangeal amputasjon eller tilhørende operasjon
NHQ97	Annen partiell amputasjon eller tilhørende operasjon på tå
NHQ99	Annen amputasjon eller tilhørende operasjon på fot
NHR09	Reseksjon av bløtdelstumor i ankel eller fot
NHR19	Marginal eksisjon av bløtdelstumor i ankel eller fot
NHR29	Vid eksisjon av bløtdelstumor i ankel eller fot
NHR39	Kompartmentell eksisjon av bløtdelstumor i ankel eller fot
NHR49	Reseksjon av bein- eller brusktumor i ankel eller fot
NHR59	Marginal eksisjon av bein- eller brusktumor i ankel eller fot
NHR69	Vid eksisjon av bein- eller brusktumor i ankel eller fot
NHR79	Kompartmentell eksisjon av bein- eller brusktumor i ankel eller fot
NHR99	Annen operasjon for tumor i ankel eller fot
NHS09	Incisjon og revisjon ved infeksjon i sene i ankel eller fot
NHS19	Incisjon og revisjon ved leddinfeksjon i ankel eller fot
NHS29	Incisjon og revisjon ved infeksjon i bein i ankel eller fot
NHS39	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i sene i ankel eller fot
NHS49	Incisjon og revisjon med innlegging av terapeutisk substans ved leddinfeksjon i ankel eller fot
NHS59	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i bein i ankel eller fot
NHS99	Annen operasjon for infeksjon i sene, ledd eller bein i ankel eller fot
NHT09	Fjerning av fremmedlegeme fra vev i ankel eller fot
NHT19	Mobilisering av ledd i ankel eller fot
NHT39	Korreksjon av deformitet i ankel eller fot med muskel, sene eller ligament
NHT49	Korreksjon av deformitet i ankel eller fot med ekstern eller intern fiksasjon
NHT99	Annen operasjon på ankel eller fot
NHU01	Fjerning av proksimal delprotese fra ankelledd
NHU02	Fjerning av distal delprotese fra ankelledd
NHU03	Fjerning av annen delprotese fra ankelledd
NHU10	Fjerning av totalprotese fra ankelledd
NHU11	Fjerning av proksimal del av totalprotese fra ankelledd
NHU12	Fjerning av distal del av totalprotese fra ankelledd
NHU13	Fjerning av annen del av totalprotese fra ankelledd
NHU14	Fjerning av mer enn en del av totalprotese fra ankelledd
NHU20	Fjerning av protese fra annet ledd i fot
NHU21	Fjerning av proksimal del av protese fra annet ledd i fot
NHU22	Fjerning av distal del av protese fra annet ledd i fot
NHU23	Fjerning av annen del av protese fra annet ledd i fot
NHU24	Fjerning av mer enn en del av protese fra annet ledd i fot
NHU39	Fjerning av eksternt fiksasjonsutstyr fra ankel eller fot
NHU49	Fjerning av osteosyntesemateriale fra ankel eller fot
NHU69	Fjerning av ligamentprotese fra ankel eller fot
NHU89	Fjerning av terapeutisk substans etter infeksjonsbehandling i ankel eller fot
NHU99	Fjerning av annet implantat fra ankel eller fot
NHW49	Reoperasjon for sårruptur i ankel eller fot
NHW59	Reoperasjon for overfladisk infeksjon i ankel eller fot
NHW69	Reoperasjon for dyp infeksjon i ankel eller fot
NHW79	Reoperasjon for overfladisk blødning i ankel eller fot
NHW89	Reoperasjon for dyp blødning i ankel eller fot
NHW99	Annen reoperasjon på ankel eller fot
PAA10	Eksplorasjon av truncus brachiocephalicus
PAA20	Eksplorasjon av a. carotis communis
PAA21	Eksplorasjon av a. carotis interna
PAA30	Eksplorasjon av a. subclavia
PAA99	Eksplorasjon av annen arterie fra aortabuen eller dens greiner
PAB10	Ligatur av truncus brachiocephalicus
PAB20	Ligatur av a. carotis communis
PAB21	Ligatur av a. carotis interna
PAB22	Ligatur av a. carotis externa
PAB30	Ligatur av a. subclavia
PAB40	Ligatur av a. vertebralis
PAB99	Ligatur av annen arterie fra aortabuen eller dens greiner
PAC10	Sutur av truncus brachiocephalicus
PAC20	Sutur av a. carotis communis
PAC21	Sutur av a. carotis interna
PAC30	Sutur av a. subclavia
PAC99	Sutur av annen arterie fra aortabuen eller dens greiner
PAE10	Trombektomi eller embolektomi i truncus brachiocephalicus
PAE25	Trombektomi eller embolektomi i a. carotis
PAE30	Trombektomi eller embolektomi i a. subclavia
PAE99	Trombektomi eller embolektomi i annen arterie fra aortabuen eller dens greiner
PAF10	Trombendarterektomi i truncus brachiocephalicus
PAF20	Trombendarterektomi i a. carotis communis
PAF21	Trombendarterektomi i a. carotis interna
PAF22	Trombendarterektomi i a. carotis externa
PAF30	Trombendarterektomi i a. subclavia
PAF40	Trombendarterektomi i a. vertebralis
PAF99	Trombendarterektomi i annen arterie fra aortabuen eller dens greiner
PAG10	Operasjon for aneurisme i truncus brachiocephalicus
PAG20	Operasjon for aneurisme i a. carotis communis
PAG21	Operasjon for aneurisme i a. carotis interna
PAG30	Operasjon for aneurisme i a. subclavia
PAG99	Operasjon for aneurisme i annen arterie fra aortabuen eller dens greiner
PAH10	Bypass fra truncus brachiocephalicus
PAH20	Bypass fra a. carotis communis
PAH21	Bypass fra a. carotis interna
PAH25	Bypass fra a. carotis til a. subclavia
PAH30	Bypass fra a. subclavia
PAH99	Bypass fra annen arterie utgående fra aortabuen eller dens greiner
PAJ30	Transposisjon av a. subclavia
PAJ40	Transposisjon av a. vertebralis
PAJ99	Transposisjon av annen arterie fra aortabuen eller dens greiner
PAK10	Reimplantasjon av arterie i truncus brachiocephalicus
PAK20	Reimplantasjon av arterie i a. carotis communis
PAK21	Reimplantasjon av arterie i a. carotis interna
PAK30	Reimplantasjon av arterie i a. subclavia
PAK40	Reimplantasjon av arterie i a. vertebralis
PAK99	Reimplantasjon av arterie i annen arterie fra aortabuen eller dens greiner
PAM21	Lukking av arteriovenøs fistel fra a. carotis interna
PAM22	Lukking av arteriovenøs fistel fra a. carotis externa
PAM30	Lukking av arteriovenøs fistel fra a. subclavia
PAM99	Lukking av arteriovenøs fistel fra annen arterie utgående fra aortabuen eller dens greiner
PAN10	Arterioplastikk på truncus brachiocephalicus
PAN20	Arterioplastikk på a. carotis communis
PAN21	Arterioplastikk på a. carotis interna
PAN30	Arterioplastikk på a. subclavia
PAN40	Arterioplastikk på a. vertebralis
PAN99	Arterioplastikk på annen arterie fra aortabuen eller dens greiner
PAP10	Perkutan arterioplastikk på truncus brachiocephalicus
PAP20	Perkutan arterioplastikk på a. carotis communis
PAP21	Perkutan arterioplastikk på a. carotis interna
PAP30	Perkutan arterioplastikk på a. subclavia
PAP99	Perkutan arterioplastikk på annen arterie fra aortabuen eller dens greiner
PAQ10	Innlegging av stent i truncus brachiocephalicus
PAQ20	Innlegging av stent i a. carotis communis
PAQ21	Innlegging av stent i a. carotis interna
PAQ30	Innlegging av stent i a. subclavia
PAQ99	Innlegging av stent i annen arterie fra aortabuen eller dens greiner
PAR10	Fjerning av stent fra truncus brachiocephalicus
PAR20	Fjerning av stent fra a. carotis communis
PAR21	Fjerning av stent fra a. carotis interna
PAR30	Fjerning av stent fra a. subclavia
PAR99	Fjerning av stent fra annen arterie fra aortabuen eller dens greiner
PAT30	Injeksjon av terapeutisk substans i a. subclavia
PAT99	Injeksjon av terapeutisk substans i annen arterie fra aortabuen eller dens greiner
PAU70	Eksplorasjon av rekonstruksjon av arterie fra aortabuen eller dens greiner
PAU74	Trombektomi eller embolektomi i bypass fra a. carotis, subclavia eller axillaris
PAU80	Perkutan lukking av fistel i bypass fra a. carotis, subclavia eller axillaris
PAU81	Lukking av fistel i bypass fra a. carotis, subclavia eller axillaris
PAU88	Eksisjon av bypass fra a. carotis, subclavia eller axillaris
PAU99	Annen ny operasjon etter tidligere rekonstruksjon av arterie fra aortabuen eller dens greiner
PAW23	Temporalisbiopsi
PAW99	Annen operasjon på arterier fra aortabuen eller dens greiner
PBA10	Eksplorasjon av a. axillaris
PBA20	Eksplorasjon av a. brachialis
PBA30	Eksplorasjon av a. radialis eller ulnaris
PBA99	Eksplorasjon av annen overekstremitetsarterie
PBB10	Ligatur av a. axillaris
PBB20	Ligatur av a. brachialis
PBB30	Ligatur av a. radialis eller ulnaris
PBB99	Ligatur av annen overekstremitetsarterie
PBC10	Sutur av a. axillaris
PBC20	Sutur av a. brachialis
PBC30	Sutur av a. radialis eller ulnaris
PBC99	Sutur av annen overekstremitetsarterie
PBE10	Trombektomi eller embolektomi i a. axillaris
PBE20	Trombektomi eller embolektomi i a. brachialis
PBE30	Trombektomi eller embolektomi i a. radialis eller ulnaris
PBE99	Trombektomi eller embolektomi i annen overekstremitetsarterie
PBF10	Trombendarterektomi i a. axillaris
PBF20	Trombendarterektomi i a. brachialis
PBF99	Trombendarterektomi i annen overekstremitetsarterie
PBG10	Operasjon for aneurisme i a. axillaris
PBG20	Operasjon for aneurisme i a. brachialis
PBG99	Operasjon for aneurisme i annen overekstremitetsarterie
PBH10	Bypass fra a. axillaris
PBH20	Bypass fra a. brachialis
PBH99	Bypass fra annen overekstremitetsarterie
PBL10	Konstruksjon av arteriovenøs fistel fra a. axillaris
PBL20	Konstruksjon av arteriovenøs fistel fra a. brachialis
PBL30	Konstruksjon av arteriovenøs fistel fra a. radialis eller ulnaris
PBL99	Konstruksjon av annen arteriovenøs fistel fra overekstremitetsarterie
PBM10	Lukking av arteriovenøs fistel fra a. axillaris
PBM20	Lukking av arteriovenøs fistel fra a. brachialis
PBM30	Lukking av arteriovenøs fistel fra a. radialis eller ulnaris
PBM99	Lukking av annen arteriovenøs fistel i overekstremitet
PBN10	Arterioplastikk på a. axillaris
PBN20	Arterioplastikk på a. brachialis
PBN99	Arterioplastikk på annen overekstremitetsarterie
PBP10	Perkutan arterioplastikk på a. axillaris
PBP20	Perkutan arterioplastikk på a. brachialis
PBP99	Perkutan arterioplastikk på annen overekstremitetsarterie
PBU70	Eksplorasjon av rekonstruksjon av overekstremitetsarterie
PBU74	Trombektomi i arteriovenøs fistel fra overekstremitetsarterie
PBU80	Perkutan lukking av arteriovenøs fistel i bypass fra overekstremitetsarterie
PBU81	Lukking av arteriovenøs fistel i bypass fra overekstremitetsarterie
PBU82	Arterioplastikk på arteriovenøs fistel fra overekstremitetsarterie
PBU83	Perkutan arterioplastikk på arteriovenøs fistel fra overekstremitetsarterie
PBU87	Injeksjon av terapeutisk substans i arteriovenøs fistel fra overekstremitetsarterie
PBU89	Eksisjon av bypass fra overekstremitetsarterie
PBU99	Annen ny operasjon etter tidligere rekonstruksjon av overekstremitetsarterie
PBW99	Annen operasjon på overekstremitetsarterie
PCA40	Eksplorasjon av a. renalis
PCA99	Eksplorasjon av annen visceralarterie
PCB20	Ligatur av a. coeliaca og dens greiner
PCB30	Ligatur av a. mesenterica superior
PCB40	Ligatur av a. renalis
PCB99	Ligatur av annen visceralarterie
PCC10	Sutur av suprarenal eller jukstarenal bukaorta
PCC20	Sutur av a. coeliaca og dens greiner
PCC30	Sutur av a. mesenterica superior
PCC40	Sutur av a. renalis
PCC99	Sutur av annen visceralarterie
PCE30	Trombektomi eller embolektomi i a. mesenterica superior
PCE40	Trombektomi eller embolektomi i a. renalis
PCE99	Trombektomi eller embolektomi i annen visceralarterie
PCF20	Trombendarterektomi i a. coeliaca eller dens greiner
PCF30	Trombendarterektomi i a. mesenterica superior
PCF40	Trombendarterektomi i a. renalis
PCF99	Trombendarterektomi i annen visceralarterie
PCG10	Operasjon for aneurisme i supracoeliakal eller jukstarenal bukaorta
PCG20	Operasjon for aneurisme i a. coeliaca eller dens greiner
PCG30	Operasjon for aneurisme i a. mesenterica superior
PCG40	Operasjon for aneurisme i a. renalis
PCG99	Operasjon for aneurisme i annen visceralarterie
PCH10	Bypass fra supracoeliakal eller jukstarenal bukaorta
PCH20	Bypass til a. coeliaca eller dens greiner
PCH30	Bypass til a. mesenterica superior
PCH40	Bypass til a. renalis
PCH99	Bypass til annen visceralarterie
PCJ30	Transposisjon av a. mesenterica superior
PCJ40	Transposisjon av a. renalis
PCJ99	Transposisjon av annen visceralarterie
PCK20	Reimplantasjon av a. coeliaca eller dens greiner
PCK30	Reimplantasjon av a. mesenterica superior
PCK40	Reimplantasjon av a. renalis
PCK50	Reimplantasjon av a. mesenterica inferior
PCK99	Reimplantasjon av annen visceralarterie
PCN20	Arterioplastikk på a. coeliaca eller dens greiner
PCN30	Arterioplastikk på a. mesenterica superior
PCN40	Arterioplastikk på a. renalis
PCN99	Arterioplastikk på annen visceralarterie
PCP20	Perkutan arterioplastikk på a. coeliaca eller dens greiner
PCP30	Perkutan arterioplastikk på a. mesenterica superior
PCP40	Perkutan arterioplastikk på a. renalis
PCP99	Perkutan arterioplastikk på annen visceralarterie
PCQ10	Innlegging av stent i suprarenale bukaorta
PCQ20	Innlegging av stent i a. coeliaca eller dens greiner
PCQ30	Innlegging av stent i a. mesenterica superior
PCQ40	Innlegging av stent i a. renalis
PCQ99	Innlegging av stent i annen visceralarterie
PCR10	Fjerning av stent fra suprarenale bukaorta
PCR20	Fjerning av stent fra a. coeliaca eller dens greiner
PCR30	Fjerning av stent fra a. mesenterica superior
PCR40	Fjerning av stent fra a. renalis
PCR99	Fjerning av stent fra annen visceralarterie
PCS40	Endoskopisk operasjon på a. renalis
PCS99	Endoskopisk operasjon på annen visceralarterie
PCT20	Injeksjon av terapeutisk substans i a. coeliaca eller dens greiner
PCT30	Injeksjon av terapeutisk substans i a. mesenterica superior
PCT40	Injeksjon av terapeutisk substans i a. renalis
PCT99	Injeksjon av terapeutisk substans i annen visceralarterie
PCU70	Eksplorasjon av rekonstruksjon av suprarenale aorta eller visceralarterie
PCU74	Trombektomi eller embolektomi i bypass fra suprarenale bukaorta eller til visceralarterie
PCU80	Perkutan lukking av arteriovenøs fistel i bypass fra suprarenale bukaorta eller til visceralarterie
PCU81	Lukking av arteriovenøs fistel i bypass fra suprarenale bukaorta eller til visceralarterie
PCU82	Arterioplastikk i bypass fra suprarenale bukaorta eller til visceralarterie
PCU83	Perkutan arterioplastikk i bypass fra suprarenale bukaorta eller til visceralarterie
PCU84	Innlegging av stent i bypass fra suprarenale bukaorta eller til visceralarterie
PCU85	Fjerning av stent fra bypass fra suprarenale bukaorta eller til visceralarterie
PCU86	Endoskopisk operasjon på bypass fra suprarenale bukaorta eller til visceralarterie
PCU87	Injeksjon av terapeutisk substans i bypass fra suprarenale bukaorta eller til visceralarterie
PCU99	Annen ny operasjon etter tidligere rekonstruksjon av suprarenale bukaorta eller visceralarterie
PCW99	Annen operasjon på suprarenale bukaorta eller visceralarterie
PDA10	Eksplorasjon av infrarenale bukaorta
PDA30	Eksplorasjon av iliakalarterie
PDC10	Sutur av infrarenale bukaorta
PDC30	Sutur av iliakalarterie
PDE10	Trombektomi eller embolektomi i infrarenale bukaorta
PDE30	Trombektomi eller embolektomi i iliakalarterie
PDF10	Trombendarterektomi i infrarenale bukaorta
PDF30	Trombendarterektomi i iliakalarterie
PDG10	Operasjon på infrarenale bukaorta for aneurisme
PDG20	Bypass fra aorta til iliakalarterie for aneurisme
PDG21	Bypass fra aorta til bilaterale iliakalarterier for aneurisme
PDG22	Bypass fra aorta til iliakalarterie og kontralateral a. femoralis for aneurisme
PDG23	Bypass fra aorta til a. femoralis for aneurisme
PDG24	Bypass fra aorta til a. femoralis bilateralt for aneurisme
PDG30	Operasjon på iliakalarterie for aneurisme
PDG35	Bypass fra iliakalarterie til a. femoralis for aneurisme
PDG99	Annen operasjon for aneurisme i infrarenale bukaorta eller iliakalarterie
PDH10	Bypass fra infrarenale bukaorta
PDH20	Bypass fra aorta til iliakalarterie
PDH21	Bypass fra aorta til bilaterale iliakalarterier
PDH22	Bypass fra aorta til iliakal og kontralateral a. femoralis
PDH23	Bypass fra aorta til a. femoralis
PDH24	Bilateral bypass fra aorta til a. femoralis
PDH30	Bypass fra iliakalarterie
PDH35	Bypass fra iliakal til a. femoralis
PDH99	Annen bypass fra bukaorta eller iliakalarterie
PDN10	Arterioplastikk på infrarenale bukaorta
PDN30	Arterioplastikk på iliakalarterie
PDP10	Perkutan arterioplastikk på infrarenale bukaorta
PDP30	Perkutan arterioplastikk på iliakalarterie
PDQ10	Innlegging av stent i infrarenale bukaorta
PDQ30	Innlegging av stent i iliakalarterie
PDR10	Fjerning av stent fra infrarenale bukaorta
PDR30	Fjerning av stent fra iliakalarterie
PDS10	Endoskopisk operasjon på infrarenale bukaorta
PDS30	Endoskopisk operasjon på iliakalarterie
PDT10	Injeksjon av substans i infrarenale bukaorta
PDT30	Injeksjon av substans i iliakalarterie
PDU70	Eksplorasjon av rekonstruksjon av infrarenale aorta eller iliakalarterie
PDU74	Trombektomi eller embolektomi i bypass fra infrarenale bukaorta eller iliakalarterie
PDU80	Perkutan lukking av arteriovenøs fistel i bypass fra infrarenale bukaorta eller iliakalarterie
PDU81	Lukking av arteriovenøs fistel i bypass fra infrarenale bukaorta eller iliakalarterie
PDU82	Arterioplastikk på bypass fra infrarenale bukaorta eller iliakalarterie
PDU83	Perkutan arterioplastikk på bypass fra infrarenale bukaorta eller iliakalarterie
PDU84	Innlegging av stent i bypass fra infrarenale bukaorta eller iliakalarterie
PDU85	Fjerning av stent fra bypass fra infrarenale bukaorta eller iliakalarterie
PDU86	Endoskopisk operasjon på bypass fra infrarenale bukaorta eller iliakalarterie
PDU87	Injeksjon av terapeutisk substans i bypass fra infrarenale bukaorta eller iliakalarterie
PDU88	Eksisjon av bypass fra infrarenale bukaorta eller iliakalarterie
PDU99	Annen ny operasjon etter tidligere rekonstruksjon av infrarenale bukaorta, iliakalarterier eller distal forbindelse
PDW99	Annen operasjon på infrarenale bukaorta eller iliakalarterie og distal forbindelse
PEA10	Eksplorasjon av a. femoralis communis
PEA11	Eksplorasjon av a. profunda femoris
PEA12	Eksplorasjon av a. femoralis superficialis
PEC10	Sutur av a. femoralis communis
PEC11	Sutur av a. profunda femoris
PEC12	Sutur av a. femoralis superficialis
PEE10	Trombektomi eller embolektomi i a. femoralis communis
PEE11	Trombektomi eller embolektomi i a. profunda femoris
PEE12	Trombektomi eller embolektomi i a. femoralis superficialis
PEF10	Trombendarterektomi i a. femoralis communis
PEF11	Trombendarterektomi i a. profunda femoris
PEF12	Trombendarterektomi i a. femoralis superficialis
PEG10	Operasjon for aneurisme i a. femoralis communis
PEG11	Operasjon for aneurisme i a. profunda femoris
PEG12	Operasjon for aneurisme i a. femoralis superficialis
PEH10	Bypass fra a. femoralis communis
PEH11	Bypass fra a. profunda femoris
PEH12	Bypass fra a. femoralis superficialis
PEH20	Bypass fra a. femoralis til a. poplitea ovenfor kneleddslinjen
PEH30	Bypass fra a. femoralis til a. poplitea nedenfor kneleddslinjen
PEL10	Konstruksjon av arteriovenøs fistel fra a. femoralis
PEM10	Lukking av arteriovenøs fistel fra a. femoralis
PEN10	Arterioplastikk på a. femoralis communis
PEN11	Arterioplastikk på a. profunda femoris
PEN12	Arterioplastikk på a. femoralis superficialis
PEP10	Perkutan arterioplastikk på a. femoralis communis
PEP11	Perkutan arterioplastikk på a. profunda femoris
PEP12	Perkutan arterioplastikk på a. femoralis superficialis
PEQ10	Innlegging av stent i a. femoralis communis
PEQ11	Innlegging av stent i a. profunda femoris
PEQ12	Innlegging av stent i a. femoralis superficialis
PER10	Fjerning av stent fra a. femoralis communis
PER11	Fjerning av stent fra a. profunda femoris
PER12	Fjerning av stent fra a. femoralis superficialis
PES10	Endoskopisk operasjon på a. femoralis communis
PES11	Endoskopisk operasjon på a. profunda femoris
PES12	Endoskopisk operasjon på a. femoralis superficialis
PET10	Injeksjon av terapeutisk substans i a. femoralis communis
PET11	Injeksjon av terapeutisk substans i a. profunda femoris
PET12	Injeksjon av terapeutisk substans i a. femoralis superficialis
PEU70	Eksplorasjon av rekonstruksjon av a. femoralis med greiner og forbindelse til a. poplitea
PEU74	Trombektomi eller embolektomi i bypass fra a. femoralis til a. poplitea
PEU76	Operasjon for aneurisme i bypass fra a. femoralis til a. poplitea
PEU80	Perkutan lukking av arteriovenøs fistel fra bypass fra a. femoralis til a. poplitea
PEU81	Lukking av arteriovenøs fistel fra bypass fra a. femoralis til a. poplitea
PEU82	Arterioplastikk på bypass fra a. femoralis til a. poplitea
PEU83	Perkutan arterioplastikk på bypass fra a. femoralis til a. poplitea
PEU84	Innlegging av stent i bypass fra a. femoralis til a. poplitea
PEU85	Fjerning av stent fra bypass fra a. femoralis til a. poplitea
PEU86	Endoskopisk operasjon på bypass fra a. femoralis til a. poplitea
PEU87	Injeksjon av terapeutisk substans i bypass fra a. femoralis til a. poplitea
PEU88	Eksisjon av bypass fra a. femoralis til a. poplitea
PEU89	Ligatur av bypass fra a. femoralis til a. poplitea
PEU99	Annen ny operasjon etter tidligere rekonstruksjon av a. femoralis med greiner eller forbindelse til a. poplitea
PEW99	Annen operasjon på a. femoralis med greiner og forbindelse til a. poplitea
PFA10	Eksplorasjon av a. poplitea
PFA30	Eksplorasjon av arterie i legg eller fot
PFB10	Ligatur av a. poplitea
PFB30	Ligatur av arterie i legg eller fot
PFC10	Sutur av a. poplitea
PFE10	Trombektomi eller embolektomi i a. poplitea
PFE30	Trombektomi eller embolektomi i arterie i legg eller fot
PFG10	Operasjon for aneurisme i a. poplitea
PFH10	Bypass fra a. poplitea
PFH20	Bypass fra a. femoralis eller a. poplitea til arterie i legg
PFH21	Bypass fra a. femoralis eller a. poplitea til proksimale a. tibialis anterior
PFH22	Bypass fra a. femoralis eller a. poplitea til distale a. tibialis anterior
PFH23	Bypass fra a. femoralis eller a. poplitea til truncus tibiofibularis
PFH24	Bypass fra a. femoralis eller a. poplitea til proksimale a. tibialis posterior
PFH25	Bypass fra a. femoralis eller a. poplitea til distale a. tibialis posterior
PFH26	Bypass fra a. femoralis eller a. poplitea til proksimale a. fibularis
PFH27	Bypass fra a. femoralis eller a. poplitea til distale a. fibularis
PFH28	Bypass fra a. femoralis eller a. poplitea til a. dorsalis pedis
PFH29	Bypass fra a. femoralis eller a. poplitea til a. tibialis posterior i fot
PFH99	Annen bypass fra a. femoralis eller a. poplitea til arterie i legg eller fot
PFL90	Konstruksjon av arteriovenøs fistel i legg eller fot
PFL95	Modifikasjon av distal karanastomose i legg eller fot
PFN10	Arterioplastikk på a. poplitea
PFP10	Perkutan arterioplastikk på a. poplitea
PFP30	Perkutan arterioplastikk på arterie i legg
PFQ10	Innlegging av stent i a. poplitea
PFQ30	Innlegging av stent i arterie i legg
PFR10	Fjerning av stent fra a. poplitea
PFR30	Fjerning av stent fra arterie i legg
PFS10	Endoskopisk operasjon på a. poplitea
PFT10	Injeksjon av terapeutisk substans i a. poplitea
PFT30	Injeksjon av terapeutisk substans i arterie i legg
PFU70	Eksplorasjon av rekonstruksjon fra a. femoralis eller a. poplitea eller arterie i legg og fot
PFU74	Trombektomi eller embolektomi i bypass fra a. femoralis eller a. poplitea til arterie i legg eller fot
PFU76	Operasjon for aneurisme i bypass fra a. femoralis eller a. poplitea til arterie i legg eller fot
PFU80	Perkutan lukking av arteriovenøs fistel fra bypass fra a. femoralis eller a. poplitea til arterie i legg eller fot
PFU81	Ligatur av persisterende arteriovenøs fistel fra bypass fra a. femoralis eller a. poplitea til arterie i legg eller fot
PFU82	Arterioplastikk på bypass fra a. femoralis eller a. poplitea til arterie i legg eller fot
PFU83	Perkutan arterioplastikk på bypass fra a. femoralis eller a. poplitea til arterie i legg eller fot
PFU84	Innlegging av stent i bypass fra a. femoralis eller a. poplitea til arterie i legg eller fot
PFU85	Fjerning av stent fra bypass fra a. femoralis eller a. poplitea til arterie i legg eller fot
PFU86	Endoskopisk operasjon på bypass fra a. femoralis eller a. poplitea til arterie i legg eller fot
PFU87	Injeksjon av terapeutisk substans i bypass fra a. femoralis eller a. poplitea til arterie i legg eller fot
PFU88	Eksisjon av bypass fra a. femoralis eller a. poplitea til arterie i legg eller fot
PFU89	Ligatur av bypass fra a. femoralis eller a. poplitea til arterie i legg eller fot
PFU99	Annen ny operasjon etter tidligere bypass fra a. femoralis eller a. poplitea eller rekonstruksjon av a. poplitea eller arterie i legg og fot
PFW99	Annen operasjon på poplitealarterie, arterie i legg eller fot eller rekonstruksjon fra a. femoralis til infrapopliteal arterie
PGH10	Bypass fra a. axillaris til kontralateral a. axillaris
PGH20	Bypass fra a. axillaris til iliakalarterie
PGH21	Bypass fra a. axillaris til bilaterale iliakalarterier
PGH22	Bypass fra a. axillaris til a. femoralis
PGH23	Bypass fra a. axillaris til bilateral a. femoralis
PGH30	Bypass fra iliakalarterie til kontralateral a. femoralis
PGH31	Bypass fra iliakalarterie til a. femoralis gjennom foramen obturatum
PGH40	Bypass fra a. femoralis til kontralateral a. femoralis
PGH99	Annen ekstraanatomisk bypass
PGU70	Eksplorasjon av ekstraanatomisk bypass
PGU74	Trombektomi eller embolektomi i ekstraanatomisk bypass
PGU76	Operasjon for aneurisme i ekstraanatomisk bypass
PGU83	Perkutan arterioplastikk på ekstraanatomisk bypass
PGU84	Innlegging av stent i ekstraanatomisk bypass
PGU85	Fjerning av stent fra ekstraanatomisk bypass
PGU86	Endoskopisk operasjon på ekstraanatomisk bypass
PGU87	Injeksjon av terapeutisk substans i ekstraanatomisk bypass
PGU88	Eksisjon av ekstraanatomisk bypass
PGU89	Ligatur av ekstraanatomisk bypass
PGU99	Annen ny operasjon etter ekstraanatomisk bypass
PGW99	Annen ekstraanatomisk bypassoperasjon
PHB10	Ligatur av v. saphena magna
PHB11	Ligatur av vene på saphenofemoralovergangen
PHB12	Ligatur av v. saphena parva
PHB13	Ligatur av perforantvene på legg
PHB14	Ligatur av perforantvene på lår
PHB23	Ligatur av iliakalvene
PHB30	Ligatur av v. cava inferior
PHB31	Ligatur av v. renalis
PHB32	Ligatur av v. mesenterica eller v. portae
PHB99	Ligatur av annen vene
PHC22	Sutur av v. femoralis
PHC23	Sutur av iliakalvene
PHC30	Sutur av v. cava inferior
PHC31	Sutur av v. renalis
PHC32	Sutur av v. mesenterica eller v. portae
PHC99	Sutur av annen vene
PHD10	Reseksjon av v. saphena magna
